State	CO2	CH4	N2O	CO2e	Annual NOX	Ozone Season NOX	SO2
AK	912.7	0.071	0.010	917.5	5.8	5.9	0.487
AL	787.7	0.055	0.008	791.4	0.2	0.2	0.084
AR	1,055.8	0.084	0.012	1,061.5	0.5	0.6	0.982
AZ	709.1	0.042	0.006	711.9	0.3	0.3	0.142
CA	455.9	0.026	0.003	457.5	0.4	0.4	0.015
CO	1,166.2	0.103	0.015	1,173.1	0.6	0.7	0.360
CT	520.9	0.039	0.005	523.3	0.2	0.2	0.085
DC	554.0	0.017	0.002	554.9	2.9	2.7	0.033
DE	899.3	0.025	0.003	900.8	0.5	0.5	0.191
FL	815.6	0.047	0.006	818.6	0.3	0.3	0.141
GA	737.2	0.059	0.009	741.2	0.3	0.2	0.185
HI	1,453.2	0.151	0.023	1,463.6	4.8	4.7	5.397
IA	617.3	0.062	0.009	621.6	0.5	0.7	0.558
ID	247.9	0.008	0.001	248.4	0.2	0.2	0.055
IL	588.4	0.059	0.008	592.4	0.3	0.3	0.687
IN	1,566.9	0.143	0.021	1,576.6	0.9	0.7	0.765
KS	820.2	0.089	0.013	826.2	0.6	0.7	0.143
KY	1,720.1	0.179	0.026	1,732.3	0.9	0.8	1.310
LA	818.1	0.039	0.005	820.7	0.6	0.6	0.591
MA	851.7	0.118	0.015	859.2	0.6	0.5	0.173
MD	637.1	0.052	0.007	640.5	0.2	0.2	0.214
ME	336.6	0.090	0.013	342.7	0.3	0.3	0.316
MI	1,009.3	0.095	0.014	1,015.7	0.7	0.7	0.756
MN	768.2	0.082	0.012	773.8	0.5	0.6	0.234
MO	1,506.2	0.169	0.025	1,517.8	1.2	0.8	2.403
MS	886.2	0.038	0.005	888.7	0.4	0.5	0.146
MT	1,023.5	0.115	0.017	1,031.4	0.9	0.9	1.041
NC	654.6	0.038	0.005	657.1	0.4	0.4	0.173
ND	1,311.3	0.149	0.022	1,321.4	1.3	1.4	1.498
NE	1,097.1	0.125	0.018	1,105.7	1.0	1.1	2.167
NH	302.9	0.055	0.007	306.5	0.2	0.1	0.074
NJ	486.6	0.031	0.004	488.6	0.2	0.2	0.067
NM	985.8	0.086	0.012	991.6	0.6	0.6	0.134
NV	677.0	0.028	0.004	678.7	0.5	0.5	0.178
NY	489.7	0.028	0.003	491.3	0.2	0.2	0.078
OH	1,156.2	0.089	0.013	1,162.1	0.5	0.3	1.026
OK	686.6	0.038	0.005	689.1	0.5	0.6	0.316
OR	298.2	0.014	0.002	299.1	0.4	0.4	0.020
PA	711.4	0.044	0.006	714.2	0.3	0.2	0.349
PR	1,593.5	0.087	0.014	1,599.9	3.1	3.1	4.262
RI	811.3	0.016	0.002	812.2	0.4	0.4	0.014
SC	556.7	0.047	0.007	559.9	0.3	0.3	0.137
SD	325.1	0.027	0.004	326.9	0.2	0.3	0.083
TN	693.6	0.060	0.009	697.7	0.3	0.3	0.287
TX	818.5	0.052	0.007	821.9	0.5	0.5	0.500
UT	1,514.3	0.147	0.021	1,524.3	1.5	1.6	0.453
VA	587.4	0.053	0.007	590.0	0.2	0.2	0.097
VT	35.6	0.109	0.014	42.6	0.1	0.1	0.030
WA	184.8	0.017	0.002	186.0	0.1	0.1	0.032
WI	1,171.5	0.103	0.015	1,178.4	0.5	0.5	0.183
WV	1,958.9	0.226	0.033	1,974.3	1.1	0.9	1.659
WY	1,804.5	0.192	0.028	1,817.6	1.2	1.3	1.174
U.S.	823.1	0.066	0.009	827.5	0.5	0.5	0.473
