Year,Month,Day,Hour,Minute,DHI,DNI
2015,1,1,0,30,0,0
2015,1,1,1,30,0,0
2015,1,1,2,30,0,0
2015,1,1,3,30,0,0
2015,1,1,4,30,0,0
2015,1,1,5,30,0,0
2015,1,1,6,30,0,0
2015,1,1,7,30,0,0
2015,1,1,8,30,0,0
2015,1,1,9,30,0,0
2015,1,1,10,30,0,0
2015,1,1,11,30,0,0
2015,1,1,12,30,0,0
2015,1,1,13,30,35,525
2015,1,1,14,30,54,756
2015,1,1,15,30,65,851
2015,1,1,16,30,72,894
2015,1,1,17,30,290,282
2015,1,1,18,30,282,50
2015,1,1,19,30,194,569
2015,1,1,20,30,136,4
2015,1,1,21,30,100,11
2015,1,1,22,30,5,0
2015,1,1,23,30,0,0
2015,1,2,0,30,0,0
2015,1,2,1,30,0,0
2015,1,2,2,30,0,0
2015,1,2,3,30,0,0
2015,1,2,4,30,0,0
2015,1,2,5,30,0,0
2015,1,2,6,30,0,0
2015,1,2,7,30,0,0
2015,1,2,8,30,0,0
2015,1,2,9,30,0,0
2015,1,2,10,30,0,0
2015,1,2,11,30,0,0
2015,1,2,12,30,0,0
2015,1,2,13,30,11,0
2015,1,2,14,30,35,0
2015,1,2,15,30,139,12
2015,1,2,16,30,181,15
2015,1,2,17,30,102,1
2015,1,2,18,30,142,4
2015,1,2,19,30,30,0
2015,1,2,20,30,18,0
2015,1,2,21,30,32,0
2015,1,2,22,30,2,0
2015,1,2,23,30,0,0
2015,1,3,0,30,0,0
2015,1,3,1,30,0,0
2015,1,3,2,30,0,0
2015,1,3,3,30,0,0
2015,1,3,4,30,0,0
2015,1,3,5,30,0,0
2015,1,3,6,30,0,0
2015,1,3,7,30,0,0
2015,1,3,8,30,0,0
2015,1,3,9,30,0,0
2015,1,3,10,30,0,0
2015,1,3,11,30,0,0
2015,1,3,12,30,0,0
2015,1,3,13,30,22,0
2015,1,3,14,30,58,0
2015,1,3,15,30,89,0
2015,1,3,16,30,138,0
2015,1,3,17,30,141,4
2015,1,3,18,30,105,2
2015,1,3,19,30,96,2
2015,1,3,20,30,69,1
2015,1,3,21,30,41,1
2015,1,3,22,30,4,0
2015,1,3,23,30,0,0
2015,1,4,0,30,0,0
2015,1,4,1,30,0,0
2015,1,4,2,30,0,0
2015,1,4,3,30,0,0
2015,1,4,4,30,0,0
2015,1,4,5,30,0,0
2015,1,4,6,30,0,0
2015,1,4,7,30,0,0
2015,1,4,8,30,0,0
2015,1,4,9,30,0,0
2015,1,4,10,30,0,0
2015,1,4,11,30,0,0
2015,1,4,12,30,0,0
2015,1,4,13,30,13,0
2015,1,4,14,30,79,6
2015,1,4,15,30,26,0
2015,1,4,16,30,103,1
2015,1,4,17,30,262,182
2015,1,4,18,30,235,291
2015,1,4,19,30,217,278
2015,1,4,20,30,172,45
2015,1,4,21,30,103,78
2015,1,4,22,30,8,0
2015,1,4,23,30,0,0
2015,1,5,0,30,0,0
2015,1,5,1,30,0,0
2015,1,5,2,30,0,0
2015,1,5,3,30,0,0
2015,1,5,4,30,0,0
2015,1,5,5,30,0,0
2015,1,5,6,30,0,0
2015,1,5,7,30,0,0
2015,1,5,8,30,0,0
2015,1,5,9,30,0,0
2015,1,5,10,30,0,0
2015,1,5,11,30,0,0
2015,1,5,12,30,0,0
2015,1,5,13,30,33,604
2015,1,5,14,30,50,831
2015,1,5,15,30,57,928
2015,1,5,16,30,60,975
2015,1,5,17,30,60,984
2015,1,5,18,30,59,980
2015,1,5,19,30,55,950
2015,1,5,20,30,50,881
2015,1,5,21,30,39,734
2015,1,5,22,30,14,321
2015,1,5,23,30,0,0
2015,1,6,0,30,0,0
2015,1,6,1,30,0,0
2015,1,6,2,30,0,0
2015,1,6,3,30,0,0
2015,1,6,4,30,0,0
2015,1,6,5,30,0,0
2015,1,6,6,30,0,0
2015,1,6,7,30,0,0
2015,1,6,8,30,0,0
2015,1,6,9,30,0,0
2015,1,6,10,30,0,0
2015,1,6,11,30,0,0
2015,1,6,12,30,0,0
2015,1,6,13,30,30,585
2015,1,6,14,30,47,800
2015,1,6,15,30,52,895
2015,1,6,16,30,56,936
2015,1,6,17,30,58,952
2015,1,6,18,30,58,944
2015,1,6,19,30,56,912
2015,1,6,20,30,51,846
2015,1,6,21,30,110,117
2015,1,6,22,30,14,295
2015,1,6,23,30,0,0
2015,1,7,0,30,0,0
2015,1,7,1,30,0,0
2015,1,7,2,30,0,0
2015,1,7,3,30,0,0
2015,1,7,4,30,0,0
2015,1,7,5,30,0,0
2015,1,7,6,30,0,0
2015,1,7,7,30,0,0
2015,1,7,8,30,0,0
2015,1,7,9,30,0,0
2015,1,7,10,30,0,0
2015,1,7,11,30,0,0
2015,1,7,12,30,0,0
2015,1,7,13,30,70,63
2015,1,7,14,30,152,15
2015,1,7,15,30,239,194
2015,1,7,16,30,259,35
2015,1,7,17,30,294,299
2015,1,7,18,30,78,908
2015,1,7,19,30,207,564
2015,1,7,20,30,191,255
2015,1,7,21,30,92,2
2015,1,7,22,30,12,0
2015,1,7,23,30,0,0
2015,1,8,0,30,0,0
2015,1,8,1,30,0,0
2015,1,8,2,30,0,0
2015,1,8,3,30,0,0
2015,1,8,4,30,0,0
2015,1,8,5,30,0,0
2015,1,8,6,30,0,0
2015,1,8,7,30,0,0
2015,1,8,8,30,0,0
2015,1,8,9,30,0,0
2015,1,8,10,30,0,0
2015,1,8,11,30,0,0
2015,1,8,12,30,0,0
2015,1,8,13,30,30,671
2015,1,8,14,30,45,885
2015,1,8,15,30,50,978
2015,1,8,16,30,55,1019
2015,1,8,17,30,58,1033
2015,1,8,18,30,59,1026
2015,1,8,19,30,56,998
2015,1,8,20,30,51,918
2015,1,8,21,30,40,779
2015,1,8,22,30,15,386
2015,1,8,23,30,0,0
2015,1,9,0,30,0,0
2015,1,9,1,30,0,0
2015,1,9,2,30,0,0
2015,1,9,3,30,0,0
2015,1,9,4,30,0,0
2015,1,9,5,30,0,0
2015,1,9,6,30,0,0
2015,1,9,7,30,0,0
2015,1,9,8,30,0,0
2015,1,9,9,30,0,0
2015,1,9,10,30,0,0
2015,1,9,11,30,0,0
2015,1,9,12,30,0,0
2015,1,9,13,30,34,559
2015,1,9,14,30,52,790
2015,1,9,15,30,61,886
2015,1,9,16,30,68,928
2015,1,9,17,30,174,571
2015,1,9,18,30,250,285
2015,1,9,19,30,212,346
2015,1,9,20,30,165,360
2015,1,9,21,30,114,48
2015,1,9,22,30,16,1
2015,1,9,23,30,0,0
2015,1,10,0,30,0,0
2015,1,10,1,30,0,0
2015,1,10,2,30,0,0
2015,1,10,3,30,0,0
2015,1,10,4,30,0,0
2015,1,10,5,30,0,0
2015,1,10,6,30,0,0
2015,1,10,7,30,0,0
2015,1,10,8,30,0,0
2015,1,10,9,30,0,0
2015,1,10,10,30,0,0
2015,1,10,11,30,0,0
2015,1,10,12,30,0,0
2015,1,10,13,30,30,672
2015,1,10,14,30,45,885
2015,1,10,15,30,54,974
2015,1,10,16,30,59,1015
2015,1,10,17,30,62,1015
2015,1,10,18,30,62,1009
2015,1,10,19,30,59,980
2015,1,10,20,30,54,914
2015,1,10,21,30,43,775
2015,1,10,22,30,17,383
2015,1,10,23,30,0,0
2015,1,11,0,30,0,0
2015,1,11,1,30,0,0
2015,1,11,2,30,0,0
2015,1,11,3,30,0,0
2015,1,11,4,30,0,0
2015,1,11,5,30,0,0
2015,1,11,6,30,0,0
2015,1,11,7,30,0,0
2015,1,11,8,30,0,0
2015,1,11,9,30,0,0
2015,1,11,10,30,0,0
2015,1,11,11,30,0,0
2015,1,11,12,30,0,0
2015,1,11,13,30,45,0
2015,1,11,14,30,129,27
2015,1,11,15,30,166,20
2015,1,11,16,30,168,9
2015,1,11,17,30,117,2
2015,1,11,18,30,197,16
2015,1,11,19,30,157,1
2015,1,11,20,30,118,10
2015,1,11,21,30,46,1
2015,1,11,22,30,5,0
2015,1,11,23,30,0,0
2015,1,12,0,30,0,0
2015,1,12,1,30,0,0
2015,1,12,2,30,0,0
2015,1,12,3,30,0,0
2015,1,12,4,30,0,0
2015,1,12,5,30,0,0
2015,1,12,6,30,0,0
2015,1,12,7,30,0,0
2015,1,12,8,30,0,0
2015,1,12,9,30,0,0
2015,1,12,10,30,0,0
2015,1,12,11,30,0,0
2015,1,12,12,30,0,0
2015,1,12,13,30,5,0
2015,1,12,14,30,36,0
2015,1,12,15,30,92,2
2015,1,12,16,30,133,3
2015,1,12,17,30,131,3
2015,1,12,18,30,166,12
2015,1,12,19,30,82,0
2015,1,12,20,30,60,1
2015,1,12,21,30,55,0
2015,1,12,22,30,20,198
2015,1,12,23,30,0,0
2015,1,13,0,30,0,0
2015,1,13,1,30,0,0
2015,1,13,2,30,0,0
2015,1,13,3,30,0,0
2015,1,13,4,30,0,0
2015,1,13,5,30,0,0
2015,1,13,6,30,0,0
2015,1,13,7,30,0,0
2015,1,13,8,30,0,0
2015,1,13,9,30,0,0
2015,1,13,10,30,0,0
2015,1,13,11,30,0,0
2015,1,13,12,30,0,0
2015,1,13,13,30,24,0
2015,1,13,14,30,38,0
2015,1,13,15,30,183,40
2015,1,13,16,30,94,1
2015,1,13,17,30,168,6
2015,1,13,18,30,139,4
2015,1,13,19,30,37,0
2015,1,13,20,30,126,9
2015,1,13,21,30,6,0
2015,1,13,22,30,14,0
2015,1,13,23,30,0,0
2015,1,14,0,30,0,0
2015,1,14,1,30,0,0
2015,1,14,2,30,0,0
2015,1,14,3,30,0,0
2015,1,14,4,30,0,0
2015,1,14,5,30,0,0
2015,1,14,6,30,0,0
2015,1,14,7,30,0,0
2015,1,14,8,30,0,0
2015,1,14,9,30,0,0
2015,1,14,10,30,0,0
2015,1,14,11,30,0,0
2015,1,14,12,30,0,0
2015,1,14,13,30,49,379
2015,1,14,14,30,82,645
2015,1,14,15,30,85,0
2015,1,14,16,30,140,0
2015,1,14,17,30,162,0
2015,1,14,18,30,148,0
2015,1,14,19,30,135,0
2015,1,14,20,30,129,16
2015,1,14,21,30,62,4
2015,1,14,22,30,21,1
2015,1,14,23,30,0,0
2015,1,15,0,30,0,0
2015,1,15,1,30,0,0
2015,1,15,2,30,0,0
2015,1,15,3,30,0,0
2015,1,15,4,30,0,0
2015,1,15,5,30,0,0
2015,1,15,6,30,0,0
2015,1,15,7,30,0,0
2015,1,15,8,30,0,0
2015,1,15,9,30,0,0
2015,1,15,10,30,0,0
2015,1,15,11,30,0,0
2015,1,15,12,30,0,0
2015,1,15,13,30,29,0
2015,1,15,14,30,96,7
2015,1,15,15,30,67,0
2015,1,15,16,30,112,1
2015,1,15,17,30,73,0
2015,1,15,18,30,109,1
2015,1,15,19,30,182,14
2015,1,15,20,30,82,1
2015,1,15,21,30,17,0
2015,1,15,22,30,24,2
2015,1,15,23,30,0,0
2015,1,16,0,30,0,0
2015,1,16,1,30,0,0
2015,1,16,2,30,0,0
2015,1,16,3,30,0,0
2015,1,16,4,30,0,0
2015,1,16,5,30,0,0
