Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2010,1,1,0,30,0,0,0
2010,1,1,1,30,0,0,0
2010,1,1,2,30,0,0,0
2010,1,1,3,30,0,0,0
2010,1,1,4,30,0,0,0
2010,1,1,5,30,0,0,0
2010,1,1,6,30,0,0,0
2010,1,1,7,30,0,0,0
2010,1,1,8,30,0,0,0
2010,1,1,9,30,0,0,0
2010,1,1,10,30,0,0,0
2010,1,1,11,30,0,0,0
2010,1,1,12,30,0,0,0
2010,1,1,13,30,58,17,61
2010,1,1,14,30,66,721,281
2010,1,1,15,30,127,483,320
2010,1,1,16,30,184,317,328
2010,1,1,17,30,205,139,270
2010,1,1,18,30,108,0,108
2010,1,1,19,30,82,0,82
2010,1,1,20,30,56,0,56
2010,1,1,21,30,21,0,21
2010,1,1,22,30,0,0,0
2010,1,1,23,30,0,0,0
2010,1,2,0,30,0,0,0
2010,1,2,1,30,0,0,0
2010,1,2,2,30,0,0,0
2010,1,2,3,30,0,0,0
2010,1,2,4,30,0,0,0
2010,1,2,5,30,0,0,0
2010,1,2,6,30,0,0,0
2010,1,2,7,30,0,0,0
2010,1,2,8,30,0,0,0
2010,1,2,9,30,0,0,0
2010,1,2,10,30,0,0,0
2010,1,2,11,30,0,0,0
2010,1,2,12,30,0,0,0
2010,1,2,13,30,60,97,76
2010,1,2,14,30,121,82,145
2010,1,2,15,30,169,196,248
2010,1,2,16,30,200,104,247
2010,1,2,17,30,206,159,280
2010,1,2,18,30,173,288,295
2010,1,2,19,30,141,108,178
2010,1,2,20,30,55,642,193
2010,1,2,21,30,24,297,42
2010,1,2,22,30,0,0,0
2010,1,2,23,30,0,0,0
2010,1,3,0,30,0,0,0
2010,1,3,1,30,0,0,0
2010,1,3,2,30,0,0,0
2010,1,3,3,30,0,0,0
2010,1,3,4,30,0,0,0
2010,1,3,5,30,0,0,0
2010,1,3,6,30,0,0,0
2010,1,3,7,30,0,0,0
2010,1,3,8,30,0,0,0
2010,1,3,9,30,0,0,0
2010,1,3,10,30,0,0,0
2010,1,3,11,30,0,0,0
2010,1,3,12,30,0,0,0
2010,1,3,13,30,42,607,141
2010,1,3,14,30,60,777,293
2010,1,3,15,30,153,334,288
2010,1,3,16,30,189,295,324
2010,1,3,17,30,205,198,297
2010,1,3,18,30,172,301,300
2010,1,3,19,30,21,0,21
2010,1,3,20,30,82,35,89
2010,1,3,21,30,23,41,26
2010,1,3,22,30,0,0,0
2010,1,3,23,30,0,0,0
2010,1,4,0,30,0,0,0
2010,1,4,1,30,0,0,0
2010,1,4,2,30,0,0,0
2010,1,4,3,30,0,0,0
2010,1,4,4,30,0,0,0
2010,1,4,5,30,0,0,0
2010,1,4,6,30,0,0,0
2010,1,4,7,30,0,0,0
2010,1,4,8,30,0,0,0
2010,1,4,9,30,0,0,0
2010,1,4,10,30,0,0,0
2010,1,4,11,30,0,0,0
