Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2019,1,1,0,30,0,0,0
2019,1,1,1,30,0,0,0
2019,1,1,2,30,0,0,0
2019,1,1,3,30,0,0,0
2019,1,1,4,30,0,0,0
2019,1,1,5,30,0,0,0
2019,1,1,6,30,0,0,0
2019,1,1,7,30,0,0,0
2019,1,1,8,30,0,0,0
2019,1,1,9,30,0,0,0
2019,1,1,10,30,0,0,0
2019,1,1,11,30,0,0,0
2019,1,1,12,30,0,0,0
2019,1,1,13,30,12,0,12
2019,1,1,14,30,63,2,64
2019,1,1,15,30,112,5,114
2019,1,1,16,30,133,42,154
2019,1,1,17,30,184,25,198
2019,1,1,18,30,158,6,161
2019,1,1,19,30,143,10,148
2019,1,1,20,30,142,116,185
2019,1,1,21,30,88,116,114
2019,1,1,22,30,12,0,12
2019,1,1,23,30,0,0,0
2019,1,2,0,30,0,0,0
2019,1,2,1,30,0,0,0
2019,1,2,2,30,0,0,0
2019,1,2,3,30,0,0,0
2019,1,2,4,30,0,0,0
2019,1,2,5,30,0,0,0
2019,1,2,6,30,0,0,0
2019,1,2,7,30,0,0,0
2019,1,2,8,30,0,0,0
2019,1,2,9,30,0,0,0
2019,1,2,10,30,0,0,0
2019,1,2,11,30,0,0,0
2019,1,2,12,30,0,0,0
2019,1,2,13,30,13,0,13
2019,1,2,14,30,26,0,26
2019,1,2,15,30,48,0,48
2019,1,2,16,30,47,0,47
2019,1,2,17,30,27,0,27
2019,1,2,18,30,28,0,28
2019,1,2,19,30,35,0,35
2019,1,2,20,30,23,0,23
2019,1,2,21,30,28,0,28
2019,1,2,22,30,5,0,5
2019,1,2,23,30,0,0,0
2019,1,3,0,30,0,0,0
2019,1,3,1,30,0,0,0
2019,1,3,2,30,0,0,0
2019,1,3,3,30,0,0,0
2019,1,3,4,30,0,0,0
2019,1,3,5,30,0,0,0
2019,1,3,6,30,0,0,0
2019,1,3,7,30,0,0,0
2019,1,3,8,30,0,0,0
2019,1,3,9,30,0,0,0
2019,1,3,10,30,0,0,0
2019,1,3,11,30,0,0,0
2019,1,3,12,30,0,0,0
2019,1,3,13,30,8,0,8
2019,1,3,14,30,37,1,37
2019,1,3,15,30,31,0,31
2019,1,3,16,30,27,0,27
2019,1,3,17,30,156,9,161
