Year,Month,Day,Hour,Minute,DHI,DNI
2018,1,1,0,30,0,0
2018,1,1,1,30,0,0
2018,1,1,2,30,0,0
2018,1,1,3,30,0,0
2018,1,1,4,30,0,0
2018,1,1,5,30,0,0
2018,1,1,6,30,0,0
2018,1,1,7,30,0,0
2018,1,1,8,30,0,0
2018,1,1,9,30,0,0
2018,1,1,10,30,0,0
2018,1,1,11,30,0,0
2018,1,1,12,30,18,4
2018,1,1,13,30,81,393
2018,1,1,14,30,146,492
2018,1,1,15,30,215,408
2018,1,1,16,30,238,428
2018,1,1,17,30,235,404
2018,1,1,18,30,200,375
2018,1,1,19,30,129,382
2018,1,1,20,30,74,15
2018,1,1,21,30,0,0
2018,1,1,22,30,0,0
2018,1,1,23,30,0,0
2018,1,2,0,30,0,0
2018,1,2,1,30,0,0
2018,1,2,2,30,0,0
2018,1,2,3,30,0,0
2018,1,2,4,30,0,0
2018,1,2,5,30,0,0
2018,1,2,6,30,0,0
2018,1,2,7,30,0,0
2018,1,2,8,30,0,0
2018,1,2,9,30,0,0
2018,1,2,10,30,0,0
2018,1,2,11,30,0,0
2018,1,2,12,30,18,3
2018,1,2,13,30,95,275
2018,1,2,14,30,152,477
2018,1,2,15,30,216,418
2018,1,2,16,30,238,423
2018,1,2,17,30,236,400
2018,1,2,18,30,183,364
2018,1,2,19,30,108,7
2018,1,2,20,30,71,11
2018,1,2,21,30,0,0
2018,1,2,22,30,0,0
2018,1,2,23,30,0,0
2018,1,3,0,30,0,0
2018,1,3,1,30,0,0
2018,1,3,2,30,0,0
2018,1,3,3,30,0,0
2018,1,3,4,30,0,0
2018,1,3,5,30,0,0
2018,1,3,6,30,0,0
2018,1,3,7,30,0,0
2018,1,3,8,30,0,0
2018,1,3,9,30,0,0
2018,1,3,10,30,0,0
2018,1,3,11,30,0,0
2018,1,3,12,30,16,1
2018,1,3,13,30,115,44
2018,1,3,14,30,143,455
2018,1,3,15,30,210,467
2018,1,3,16,30,236,457
2018,1,3,17,30,178,545
2018,1,3,18,30,187,363
2018,1,3,19,30,157,149
2018,1,3,20,30,74,38
2018,1,3,21,30,1,0
2018,1,3,22,30,0,0
2018,1,3,23,30,0,0
2018,1,4,0,30,0,0
2018,1,4,1,30,0,0
2018,1,4,2,30,0,0
2018,1,4,3,30,0,0
2018,1,4,4,30,0,0
2018,1,4,5,30,0,0
2018,1,4,6,30,0,0
2018,1,4,7,30,0,0
2018,1,4,8,30,0,0
2018,1,4,9,30,0,0
2018,1,4,10,30,0,0
2018,1,4,11,30,0,0
2018,1,4,12,30,9,0
2018,1,4,13,30,30,0
2018,1,4,14,30,60,2
2018,1,4,15,30,143,14
2018,1,4,16,30,137,11
2018,1,4,17,30,157,27
2018,1,4,18,30,181,37
2018,1,4,19,30,90,8
2018,1,4,20,30,33,0
2018,1,4,21,30,1,0
2018,1,4,22,30,0,0
2018,1,4,23,30,0,0
2018,1,5,0,30,0,0
2018,1,5,1,30,0,0
2018,1,5,2,30,0,0
2018,1,5,3,30,0,0
2018,1,5,4,30,0,0
2018,1,5,5,30,0,0
2018,1,5,6,30,0,0
2018,1,5,7,30,0,0
2018,1,5,8,30,0,0
2018,1,5,9,30,0,0
2018,1,5,10,30,0,0
2018,1,5,11,30,0,0
2018,1,5,12,30,14,0
2018,1,5,13,30,78,389
2018,1,5,14,30,112,595
2018,1,5,15,30,195,498
2018,1,5,16,30,213,536
2018,1,5,17,30,249,427
2018,1,5,18,30,207,426
2018,1,5,19,30,130,412
2018,1,5,20,30,83,17
2018,1,5,21,30,1,0
2018,1,5,22,30,0,0
2018,1,5,23,30,0,0
2018,1,6,0,30,0,0
2018,1,6,1,30,0,0
2018,1,6,2,30,0,0
2018,1,6,3,30,0,0
2018,1,6,4,30,0,0
2018,1,6,5,30,0,0
2018,1,6,6,30,0,0
2018,1,6,7,30,0,0
2018,1,6,8,30,0,0
2018,1,6,9,30,0,0
2018,1,6,10,30,0,0
2018,1,6,11,30,0,0
2018,1,6,12,30,16,0
2018,1,6,13,30,77,424
2018,1,6,14,30,101,661
2018,1,6,15,30,184,489
2018,1,6,16,30,237,470
2018,1,6,17,30,245,428
2018,1,6,18,30,209,400
2018,1,6,19,30,113,492
2018,1,6,20,30,83,22
2018,1,6,21,30,2,0
2018,1,6,22,30,0,0
2018,1,6,23,30,0,0
2018,1,7,0,30,0,0
2018,1,7,1,30,0,0
2018,1,7,2,30,0,0
2018,1,7,3,30,0,0
2018,1,7,4,30,0,0
2018,1,7,5,30,0,0
2018,1,7,6,30,0,0
2018,1,7,7,30,0,0
2018,1,7,8,30,0,0
2018,1,7,9,30,0,0
2018,1,7,10,30,0,0
2018,1,7,11,30,0,0
2018,1,7,12,30,17,1
2018,1,7,13,30,74,472
2018,1,7,14,30,145,270
2018,1,7,15,30,198,425
2018,1,7,16,30,197,281
2018,1,7,17,30,214,231
2018,1,7,18,30,201,419
2018,1,7,19,30,104,547
2018,1,7,20,30,82,19
2018,1,7,21,30,1,0
2018,1,7,22,30,0,0
2018,1,7,23,30,0,0
2018,1,8,0,30,0,0
2018,1,8,1,30,0,0
2018,1,8,2,30,0,0
2018,1,8,3,30,0,0
2018,1,8,4,30,0,0
2018,1,8,5,30,0,0
2018,1,8,6,30,0,0
2018,1,8,7,30,0,0
2018,1,8,8,30,0,0
2018,1,8,9,30,0,0
2018,1,8,10,30,0,0
2018,1,8,11,30,0,0
2018,1,8,12,30,10,0
2018,1,8,13,30,87,6
2018,1,8,14,30,172,183
2018,1,8,15,30,153,16
2018,1,8,16,30,229,11
2018,1,8,17,30,194,17
2018,1,8,18,30,216,79
2018,1,8,19,30,121,16
2018,1,8,20,30,40,0
2018,1,8,21,30,2,0
2018,1,8,22,30,0,0
2018,1,8,23,30,0,0
2018,1,9,0,30,0,0
2018,1,9,1,30,0,0
2018,1,9,2,30,0,0
2018,1,9,3,30,0,0
2018,1,9,4,30,0,0
2018,1,9,5,30,0,0
2018,1,9,6,30,0,0
2018,1,9,7,30,0,0
2018,1,9,8,30,0,0
2018,1,9,9,30,0,0
2018,1,9,10,30,0,0
2018,1,9,11,30,0,0
2018,1,9,12,30,8,0
2018,1,9,13,30,69,340
2018,1,9,14,30,63,810
2018,1,9,15,30,69,886
2018,1,9,16,30,181,547
2018,1,9,17,30,207,470
2018,1,9,18,30,163,493
2018,1,9,19,30,55,797
2018,1,9,20,30,48,503
2018,1,9,21,30,6,67
2018,1,9,22,30,0,0
2018,1,9,23,30,0,0
2018,1,10,0,30,0,0
2018,1,10,1,30,0,0
2018,1,10,2,30,0,0
2018,1,10,3,30,0,0
2018,1,10,4,30,0,0
2018,1,10,5,30,0,0
2018,1,10,6,30,0,0
2018,1,10,7,30,0,0
2018,1,10,8,30,0,0
2018,1,10,9,30,0,0
2018,1,10,10,30,0,0
2018,1,10,11,30,0,0
2018,1,10,12,30,16,96
2018,1,10,13,30,61,543
2018,1,10,14,30,100,641
2018,1,10,15,30,102,759
2018,1,10,16,30,105,796
2018,1,10,17,30,105,788
2018,1,10,18,30,88,779
2018,1,10,19,30,68,712
2018,1,10,20,30,39,593
2018,1,10,21,30,6,59
2018,1,10,22,30,0,0
2018,1,10,23,30,0,0
2018,1,11,0,30,0,0
2018,1,11,1,30,0,0
2018,1,11,2,30,0,0
2018,1,11,3,30,0,0
2018,1,11,4,30,0,0
2018,1,11,5,30,0,0
2018,1,11,6,30,0,0
2018,1,11,7,30,0,0
2018,1,11,8,30,0,0
2018,1,11,9,30,0,0
2018,1,11,10,30,0,0
2018,1,11,11,30,0,0
2018,1,11,12,30,11,90
2018,1,11,13,30,60,343
2018,1,11,14,30,182,60
2018,1,11,15,30,209,305
2018,1,11,16,30,196,152
2018,1,11,17,30,248,96
2018,1,11,18,30,108,4
2018,1,11,19,30,99,10
2018,1,11,20,30,59,5
2018,1,11,21,30,3,0
2018,1,11,22,30,0,0
2018,1,11,23,30,0,0
2018,1,12,0,30,0,0
2018,1,12,1,30,0,0
2018,1,12,2,30,0,0
2018,1,12,3,30,0,0
2018,1,12,4,30,0,0
2018,1,12,5,30,0,0
2018,1,12,6,30,0,0
2018,1,12,7,30,0,0
2018,1,12,8,30,0,0
2018,1,12,9,30,0,0
2018,1,12,10,30,0,0
2018,1,12,11,30,0,0
2018,1,12,12,30,10,0
2018,1,12,13,30,42,0
2018,1,12,14,30,99,10
2018,1,12,15,30,188,219
2018,1,12,16,30,237,42
2018,1,12,17,30,137,5
2018,1,12,18,30,119,6
2018,1,12,19,30,99,100
2018,1,12,20,30,37,1
2018,1,12,21,30,2,0
2018,1,12,22,30,0,0
2018,1,12,23,30,0,0
2018,1,13,0,30,0,0
2018,1,13,1,30,0,0
2018,1,13,2,30,0,0
2018,1,13,3,30,0,0
2018,1,13,4,30,0,0
2018,1,13,5,30,0,0
2018,1,13,6,30,0,0
2018,1,13,7,30,0,0
2018,1,13,8,30,0,0
2018,1,13,9,30,0,0
2018,1,13,10,30,0,0
2018,1,13,11,30,0,0
2018,1,13,12,30,16,96
2018,1,13,13,30,56,373
2018,1,13,14,30,87,75
2018,1,13,15,30,147,4
2018,1,13,16,30,177,538
2018,1,13,17,30,114,733
2018,1,13,18,30,91,750
2018,1,13,19,30,66,724
2018,1,13,20,30,40,600
2018,1,13,21,30,8,84
2018,1,13,22,30,0,0
2018,1,13,23,30,0,0
2018,1,14,0,30,0,0
2018,1,14,1,30,0,0
2018,1,14,2,30,0,0
2018,1,14,3,30,0,0
2018,1,14,4,30,0,0
2018,1,14,5,30,0,0
2018,1,14,6,30,0,0
2018,1,14,7,30,0,0
2018,1,14,8,30,0,0
2018,1,14,9,30,0,0
2018,1,14,10,30,0,0
2018,1,14,11,30,0,0
2018,1,14,12,30,19,0
2018,1,14,13,30,115,100
2018,1,14,14,30,203,150
2018,1,14,15,30,214,441
2018,1,14,16,30,273,348
2018,1,14,17,30,270,340
2018,1,14,18,30,272,144
2018,1,14,19,30,200,57
2018,1,14,20,30,75,289
2018,1,14,21,30,8,2
2018,1,14,22,30,0,0
2018,1,14,23,30,0,0
2018,1,15,0,30,0,0
2018,1,15,1,30,0,0
2018,1,15,2,30,0,0
2018,1,15,3,30,0,0
2018,1,15,4,30,0,0
2018,1,15,5,30,0,0
2018,1,15,6,30,0,0
2018,1,15,7,30,0,0
2018,1,15,8,30,0,0
2018,1,15,9,30,0,0
2018,1,15,10,30,0,0
2018,1,15,11,30,0,0
2018,1,15,12,30,16,0
2018,1,15,13,30,107,2
2018,1,15,14,30,129,19
2018,1,15,15,30,164,1
2018,1,15,16,30,123,1
2018,1,15,17,30,183,13
2018,1,15,18,30,123,2
2018,1,15,19,30,67,0
2018,1,15,20,30,76,160
2018,1,15,21,30,7,23
2018,1,15,22,30,0,0
2018,1,15,23,30,0,0
2018,1,16,0,30,0,0
2018,1,16,1,30,0,0
2018,1,16,2,30,0,0
2018,1,16,3,30,0,0
2018,1,16,4,30,0,0
2018,1,16,5,30,0,0
2018,1,16,6,30,0,0
2018,1,16,7,30,0,0
2018,1,16,8,30,0,0
2018,1,16,9,30,0,0
2018,1,16,10,30,0,0
2018,1,16,11,30,0,0
2018,1,16,12,30,19,0
2018,1,16,13,30,58,565
2018,1,16,14,30,151,388
2018,1,16,15,30,245,104
2018,1,16,16,30,259,264
2018,1,16,17,30,299,44
2018,1,16,18,30,241,16
2018,1,16,19,30,154,4
2018,1,16,20,30,76,1
2018,1,16,21,30,6,0
2018,1,16,22,30,0,0
2018,1,16,23,30,0,0
2018,1,17,0,30,0,0
2018,1,17,1,30,0,0
2018,1,17,2,30,0,0
2018,1,17,3,30,0,0
2018,1,17,4,30,0,0
2018,1,17,5,30,0,0
2018,1,17,6,30,0,0
2018,1,17,7,30,0,0
2018,1,17,8,30,0,0
2018,1,17,9,30,0,0
2018,1,17,10,30,0,0
2018,1,17,11,30,0,0
2018,1,17,12,30,10,0
2018,1,17,13,30,48,0
2018,1,17,14,30,91,7
2018,1,17,15,30,113,8
2018,1,17,16,30,232,59
2018,1,17,17,30,229,67
2018,1,17,18,30,177,27
2018,1,17,19,30,71,1
2018,1,17,20,30,54,1
2018,1,17,21,30,6,0
2018,1,17,22,30,0,0
2018,1,17,23,30,0,0
2018,1,18,0,30,0,0
2018,1,18,1,30,0,0
2018,1,18,2,30,0,0
2018,1,18,3,30,0,0
2018,1,18,4,30,0,0
2018,1,18,5,30,0,0
2018,1,18,6,30,0,0
2018,1,18,7,30,0,0
2018,1,18,8,30,0,0
2018,1,18,9,30,0,0
2018,1,18,10,30,0,0
