Year,Month,Day,Hour,Minute,DHI,DNI
2019,1,1,0,30,0,0
2019,1,1,1,30,0,0
2019,1,1,2,30,0,0
2019,1,1,3,30,0,0
2019,1,1,4,30,0,0
2019,1,1,5,30,0,0
2019,1,1,6,30,0,0
2019,1,1,7,30,0,0
2019,1,1,8,30,0,0
2019,1,1,9,30,0,0
2019,1,1,10,30,0,0
2019,1,1,11,30,0,0
2019,1,1,12,30,0,0
2019,1,1,13,30,3,0
2019,1,1,14,30,34,0
2019,1,1,15,30,23,0
2019,1,1,16,30,58,0
2019,1,1,17,30,52,0
2019,1,1,18,30,50,0
2019,1,1,19,30,40,0
2019,1,1,20,30,36,0
2019,1,1,21,30,22,0
2019,1,1,22,30,1,0
2019,1,1,23,30,0,0
2019,1,2,0,30,0,0
2019,1,2,1,30,0,0
2019,1,2,2,30,0,0
2019,1,2,3,30,0,0
2019,1,2,4,30,0,0
2019,1,2,5,30,0,0
2019,1,2,6,30,0,0
2019,1,2,7,30,0,0
2019,1,2,8,30,0,0
2019,1,2,9,30,0,0
2019,1,2,10,30,0,0
2019,1,2,11,30,0,0
2019,1,2,12,30,0,0
2019,1,2,13,30,6,0
2019,1,2,14,30,24,0
2019,1,2,15,30,15,0
2019,1,2,16,30,27,0
2019,1,2,17,30,46,0
2019,1,2,18,30,62,0
2019,1,2,19,30,26,0
2019,1,2,20,30,46,0
2019,1,2,21,30,40,0
2019,1,2,22,30,2,0
2019,1,2,23,30,0,0
2019,1,3,0,30,0,0
2019,1,3,1,30,0,0
2019,1,3,2,30,0,0
2019,1,3,3,30,0,0
2019,1,3,4,30,0,0
2019,1,3,5,30,0,0
2019,1,3,6,30,0,0
2019,1,3,7,30,0,0
2019,1,3,8,30,0,0
2019,1,3,9,30,0,0
2019,1,3,10,30,0,0
2019,1,3,11,30,0,0
2019,1,3,12,30,0,0
2019,1,3,13,30,12,101
2019,1,3,14,30,39,638
2019,1,3,15,30,60,740
2019,1,3,16,30,57,858
2019,1,3,17,30,60,881
2019,1,3,18,30,60,875
2019,1,3,19,30,58,835
2019,1,3,20,30,51,748
2019,1,3,21,30,37,557
2019,1,3,22,30,6,61
