Year,Month,Day,Hour,Minute,DHI,DNI
2021,1,1,0,30,0,0
2021,1,1,1,30,0,0
2021,1,1,2,30,0,0
2021,1,1,3,30,0,0
2021,1,1,4,30,0,0
2021,1,1,5,30,0,0
2021,1,1,6,30,0,0
2021,1,1,7,30,0,0
2021,1,1,8,30,0,0
2021,1,1,9,30,0,0
2021,1,1,10,30,0,0
2021,1,1,11,30,0,0
2021,1,1,12,30,0,0
2021,1,1,13,30,4,12
2021,1,1,14,30,60,27
2021,1,1,15,30,114,4
2021,1,1,16,30,98,1
2021,1,1,17,30,133,0
2021,1,1,18,30,109,0
2021,1,1,19,30,74,0
2021,1,1,20,30,59,0
2021,1,1,21,30,25,0
2021,1,1,22,30,13,0
2021,1,1,23,30,2,0
2021,1,2,0,30,0,0
2021,1,2,1,30,0,0
2021,1,2,2,30,0,0
2021,1,2,3,30,0,0
2021,1,2,4,30,0,0
2021,1,2,5,30,0,0
2021,1,2,6,30,0,0
2021,1,2,7,30,0,0
2021,1,2,8,30,0,0
2021,1,2,9,30,0,0
2021,1,2,10,30,0,0
2021,1,2,11,30,0,0
2021,1,2,12,30,0,0
2021,1,2,13,30,5,40
2021,1,2,14,30,62,11
2021,1,2,15,30,138,317
2021,1,2,16,30,85,816
2021,1,2,17,30,202,501
2021,1,2,18,30,71,937
2021,1,2,19,30,69,930
2021,1,2,20,30,67,887
2021,1,2,21,30,59,799
2021,1,2,22,30,42,621
2021,1,2,23,30,10,106
2021,1,3,0,30,0,0
2021,1,3,1,30,0,0
2021,1,3,2,30,0,0
2021,1,3,3,30,0,0
2021,1,3,4,30,0,0
2021,1,3,5,30,0,0
2021,1,3,6,30,0,0
2021,1,3,7,30,0,0
2021,1,3,8,30,0,0
2021,1,3,9,30,0,0
2021,1,3,10,30,0,0
2021,1,3,11,30,0,0
2021,1,3,12,30,0,0
2021,1,3,13,30,7,58
2021,1,3,14,30,45,590
2021,1,3,15,30,62,797
2021,1,3,16,30,71,889
2021,1,3,17,30,76,928
2021,1,3,18,30,79,938
2021,1,3,19,30,78,921
2021,1,3,20,30,74,876
2021,1,3,21,30,66,780
2021,1,3,22,30,48,584
2021,1,3,23,30,9,84
2021,1,4,0,30,0,0
2021,1,4,1,30,0,0
2021,1,4,2,30,0,0
2021,1,4,3,30,0,0
2021,1,4,4,30,0,0
2021,1,4,5,30,0,0
2021,1,4,6,30,0,0
2021,1,4,7,30,0,0
2021,1,4,8,30,0,0
2021,1,4,9,30,0,0
2021,1,4,10,30,0,0
2021,1,4,11,30,0,0
2021,1,4,12,30,0,0
2021,1,4,13,30,7,58
2021,1,4,14,30,43,590
2021,1,4,15,30,61,791
2021,1,4,16,30,70,885
2021,1,4,17,30,74,930
2021,1,4,18,30,74,945
2021,1,4,19,30,72,933
2021,1,4,20,30,67,897
2021,1,4,21,30,57,821
2021,1,4,22,30,42,649
2021,1,4,23,30,10,121
2021,1,5,0,30,0,0
2021,1,5,1,30,0,0
2021,1,5,2,30,0,0
2021,1,5,3,30,0,0
2021,1,5,4,30,0,0
2021,1,5,5,30,0,0
2021,1,5,6,30,0,0
2021,1,5,7,30,0,0
2021,1,5,8,30,0,0
2021,1,5,9,30,0,0
2021,1,5,10,30,0,0
2021,1,5,11,30,0,0
2021,1,5,12,30,0,0
2021,1,5,13,30,7,73
2021,1,5,14,30,40,621
2021,1,5,15,30,55,811
2021,1,5,16,30,63,895
2021,1,5,17,30,71,927
2021,1,5,18,30,78,927
2021,1,5,19,30,78,911
2021,1,5,20,30,124,692
2021,1,5,21,30,88,663
2021,1,5,22,30,75,370
2021,1,5,23,30,8,1
2021,1,6,0,30,0,0
2021,1,6,1,30,0,0
2021,1,6,2,30,0,0
2021,1,6,3,30,0,0
2021,1,6,4,30,0,0
2021,1,6,5,30,0,0
2021,1,6,6,30,0,0
2021,1,6,7,30,0,0
2021,1,6,8,30,0,0
2021,1,6,9,30,0,0
2021,1,6,10,30,0,0
2021,1,6,11,30,0,0
2021,1,6,12,30,0,0
2021,1,6,13,30,2,0
2021,1,6,14,30,12,0
2021,1,6,15,30,93,89
2021,1,6,16,30,63,2
2021,1,6,17,30,63,4
2021,1,6,18,30,141,15
2021,1,6,19,30,110,800
2021,1,6,20,30,105,753
2021,1,6,21,30,102,570
2021,1,6,22,30,43,53
2021,1,6,23,30,4,0
2021,1,7,0,30,0,0
2021,1,7,1,30,0,0
2021,1,7,2,30,0,0
2021,1,7,3,30,0,0
2021,1,7,4,30,0,0
2021,1,7,5,30,0,0
2021,1,7,6,30,0,0
2021,1,7,7,30,0,0
2021,1,7,8,30,0,0
2021,1,7,9,30,0,0
2021,1,7,10,30,0,0
2021,1,7,11,30,0,0
2021,1,7,12,30,0,0
2021,1,7,13,30,2,0
2021,1,7,14,30,33,100
2021,1,7,15,30,29,0
2021,1,7,16,30,117,0
2021,1,7,17,30,95,0
2021,1,7,18,30,92,0
2021,1,7,19,30,64,0
2021,1,7,20,30,43,0
2021,1,7,21,30,29,0
2021,1,7,22,30,14,0
2021,1,7,23,30,4,0
2021,1,8,0,30,0,0
2021,1,8,1,30,0,0
2021,1,8,2,30,0,0
2021,1,8,3,30,0,0
2021,1,8,4,30,0,0
2021,1,8,5,30,0,0
2021,1,8,6,30,0,0
2021,1,8,7,30,0,0
2021,1,8,8,30,0,0
2021,1,8,9,30,0,0
2021,1,8,10,30,0,0
2021,1,8,11,30,0,0
2021,1,8,12,30,0,0
2021,1,8,13,30,2,0
2021,1,8,14,30,13,0
2021,1,8,15,30,46,0
2021,1,8,16,30,83,0
2021,1,8,17,30,206,4
2021,1,8,18,30,245,214
2021,1,8,19,30,84,906
2021,1,8,20,30,77,870
2021,1,8,21,30,66,794
2021,1,8,22,30,48,624
2021,1,8,23,30,13,139
2021,1,9,0,30,0,0
2021,1,9,1,30,0,0
2021,1,9,2,30,0,0
2021,1,9,3,30,0,0
2021,1,9,4,30,0,0
2021,1,9,5,30,0,0
2021,1,9,6,30,0,0
2021,1,9,7,30,0,0
2021,1,9,8,30,0,0
2021,1,9,9,30,0,0
2021,1,9,10,30,0,0
2021,1,9,11,30,0,0
2021,1,9,12,30,0,0
2021,1,9,13,30,7,56
2021,1,9,14,30,48,572
2021,1,9,15,30,69,769
2021,1,9,16,30,123,712
2021,1,9,17,30,147,719
2021,1,9,18,30,208,494
2021,1,9,19,30,195,525
2021,1,9,20,30,149,601
2021,1,9,21,30,144,428
2021,1,9,22,30,59,554
2021,1,9,23,30,13,121
2021,1,10,0,30,0,0
2021,1,10,1,30,0,0
2021,1,10,2,30,0,0
2021,1,10,3,30,0,0
2021,1,10,4,30,0,0
2021,1,10,5,30,0,0
2021,1,10,6,30,0,0
