Year,Month,Day,Hour,Minute,DHI,DNI
2020,1,1,0,30,0,0
2020,1,1,1,30,0,0
2020,1,1,2,30,0,0
2020,1,1,3,30,0,0
2020,1,1,4,30,0,0
2020,1,1,5,30,0,0
2020,1,1,6,30,0,0
2020,1,1,7,30,0,0
2020,1,1,8,30,0,0
2020,1,1,9,30,0,0
2020,1,1,10,30,0,0
2020,1,1,11,30,0,0
2020,1,1,12,30,0,0
2020,1,1,13,30,32,2
2020,1,1,14,30,56,651
2020,1,1,15,30,56,844
2020,1,1,16,30,200,365
2020,1,1,17,30,97,802
2020,1,1,18,30,72,882
2020,1,1,19,30,63,842
2020,1,1,20,30,50,743
2020,1,1,21,30,29,509
2020,1,1,22,30,0,0
2020,1,1,23,30,0,0
2020,1,2,0,30,0,0
2020,1,2,1,30,0,0
2020,1,2,2,30,0,0
2020,1,2,3,30,0,0
2020,1,2,4,30,0,0
2020,1,2,5,30,0,0
2020,1,2,6,30,0,0
2020,1,2,7,30,0,0
2020,1,2,8,30,0,0
2020,1,2,9,30,0,0
2020,1,2,10,30,0,0
2020,1,2,11,30,0,0
2020,1,2,12,30,0,0
2020,1,2,13,30,10,0
2020,1,2,14,30,65,0
2020,1,2,15,30,165,159
2020,1,2,16,30,193,184
2020,1,2,17,30,195,195
2020,1,2,18,30,128,552
2020,1,2,19,30,129,31
2020,1,2,20,30,73,6
2020,1,2,21,30,32,2
2020,1,2,22,30,0,0
2020,1,2,23,30,0,0
2020,1,3,0,30,0,0
2020,1,3,1,30,0,0
2020,1,3,2,30,0,0
2020,1,3,3,30,0,0
2020,1,3,4,30,0,0
2020,1,3,5,30,0,0
2020,1,3,6,30,0,0
2020,1,3,7,30,0,0
2020,1,3,8,30,0,0
2020,1,3,9,30,0,0
2020,1,3,10,30,0,0
2020,1,3,11,30,0,0
2020,1,3,12,30,0,0
2020,1,3,13,30,11,0
2020,1,3,14,30,80,7
2020,1,3,15,30,137,29
2020,1,3,16,30,101,5
2020,1,3,17,30,147,35
2020,1,3,18,30,99,6
2020,1,3,19,30,43,0
2020,1,3,20,30,54,508
2020,1,3,21,30,35,330
2020,1,3,22,30,0,0
2020,1,3,23,30,0,0
2020,1,4,0,30,0,0
2020,1,4,1,30,0,0
2020,1,4,2,30,0,0
2020,1,4,3,30,0,0
2020,1,4,4,30,0,0
2020,1,4,5,30,0,0
2020,1,4,6,30,0,0
2020,1,4,7,30,0,0
2020,1,4,8,30,0,0
2020,1,4,9,30,0,0
2020,1,4,10,30,0,0
2020,1,4,11,30,0,0
2020,1,4,12,30,0,0
2020,1,4,13,30,10,0
2020,1,4,14,30,41,0
2020,1,4,15,30,29,0
2020,1,4,16,30,85,0
2020,1,4,17,30,94,0
2020,1,4,18,30,92,4
2020,1,4,19,30,99,5
2020,1,4,20,30,36,0
2020,1,4,21,30,13,0
2020,1,4,22,30,0,0
2020,1,4,23,30,0,0
2020,1,5,0,30,0,0
2020,1,5,1,30,0,0
2020,1,5,2,30,0,0
2020,1,5,3,30,0,0
2020,1,5,4,30,0,0
2020,1,5,5,30,0,0
2020,1,5,6,30,0,0
2020,1,5,7,30,0,0
2020,1,5,8,30,0,0
2020,1,5,9,30,0,0
2020,1,5,10,30,0,0
2020,1,5,11,30,0,0
2020,1,5,12,30,0,0
2020,1,5,13,30,24,67
2020,1,5,14,30,101,188
2020,1,5,15,30,156,31
2020,1,5,16,30,80,1
2020,1,5,17,30,109,1
2020,1,5,18,30,100,4
2020,1,5,19,30,112,75
2020,1,5,20,30,47,2
2020,1,5,21,30,22,0
2020,1,5,22,30,0,0
2020,1,5,23,30,0,0
2020,1,6,0,30,0,0
2020,1,6,1,30,0,0
2020,1,6,2,30,0,0
2020,1,6,3,30,0,0
2020,1,6,4,30,0,0
2020,1,6,5,30,0,0
2020,1,6,6,30,0,0
2020,1,6,7,30,0,0
2020,1,6,8,30,0,0
2020,1,6,9,30,0,0
2020,1,6,10,30,0,0
2020,1,6,11,30,0,0
2020,1,6,12,30,0,0
2020,1,6,13,30,22,448
2020,1,6,14,30,41,734
2020,1,6,15,30,55,832
2020,1,6,16,30,58,894
2020,1,6,17,30,57,918
2020,1,6,18,30,54,912
2020,1,6,19,30,50,872
2020,1,6,20,30,43,773
2020,1,6,21,30,28,540
2020,1,6,22,30,0,0
2020,1,6,23,30,0,0
2020,1,7,0,30,0,0
2020,1,7,1,30,0,0
2020,1,7,2,30,0,0
2020,1,7,3,30,0,0
2020,1,7,4,30,0,0
2020,1,7,5,30,0,0
2020,1,7,6,30,0,0
2020,1,7,7,30,0,0
2020,1,7,8,30,0,0
2020,1,7,9,30,0,0
2020,1,7,10,30,0,0
2020,1,7,11,30,0,0
2020,1,7,12,30,0,0
2020,1,7,13,30,24,0
2020,1,7,14,30,97,24
2020,1,7,15,30,121,494
2020,1,7,16,30,204,114
2020,1,7,17,30,126,658
2020,1,7,18,30,242,75
2020,1,7,19,30,139,26
2020,1,7,20,30,95,5
2020,1,7,21,30,38,1
2020,1,7,22,30,0,0
2020,1,7,23,30,0,0
2020,1,8,0,30,0,0
2020,1,8,1,30,0,0
2020,1,8,2,30,0,0
2020,1,8,3,30,0,0
2020,1,8,4,30,0,0
2020,1,8,5,30,0,0
2020,1,8,6,30,0,0
2020,1,8,7,30,0,0
2020,1,8,8,30,0,0
2020,1,8,9,30,0,0
2020,1,8,10,30,0,0
2020,1,8,11,30,0,0
2020,1,8,12,30,0,0
2020,1,8,13,30,22,0
2020,1,8,14,30,55,1
2020,1,8,15,30,135,21
2020,1,8,16,30,199,10
2020,1,8,17,30,137,3
2020,1,8,18,30,262,85
2020,1,8,19,30,118,0
2020,1,8,20,30,131,150
2020,1,8,21,30,50,2
2020,1,8,22,30,0,0
2020,1,8,23,30,0,0
2020,1,9,0,30,0,0
2020,1,9,1,30,0,0
2020,1,9,2,30,0,0
2020,1,9,3,30,0,0
2020,1,9,4,30,0,0
2020,1,9,5,30,0,0
2020,1,9,6,30,0,0
2020,1,9,7,30,0,0
2020,1,9,8,30,0,0
2020,1,9,9,30,0,0
2020,1,9,10,30,0,0
2020,1,9,11,30,0,0
2020,1,9,12,30,0,0
2020,1,9,13,30,31,6
2020,1,9,14,30,88,20
2020,1,9,15,30,156,53
2020,1,9,16,30,161,27
2020,1,9,17,30,219,145
2020,1,9,18,30,208,100
2020,1,9,19,30,185,92
2020,1,9,20,30,117,32
2020,1,9,21,30,35,2
2020,1,9,22,30,0,0
2020,1,9,23,30,0,0
2020,1,10,0,30,0,0
2020,1,10,1,30,0,0
2020,1,10,2,30,0,0
2020,1,10,3,30,0,0
2020,1,10,4,30,0,0
2020,1,10,5,30,0,0
2020,1,10,6,30,0,0
2020,1,10,7,30,0,0
2020,1,10,8,30,0,0
2020,1,10,9,30,0,0
2020,1,10,10,30,0,0
2020,1,10,11,30,0,0
2020,1,10,12,30,0,0
2020,1,10,13,30,11,0
2020,1,10,14,30,46,1
2020,1,10,15,30,21,0
2020,1,10,16,30,37,0
2020,1,10,17,30,18,0
2020,1,10,18,30,26,0
2020,1,10,19,30,22,0
2020,1,10,20,30,35,1
2020,1,10,21,30,19,0
2020,1,10,22,30,0,0
2020,1,10,23,30,0,0
2020,1,11,0,30,0,0
2020,1,11,1,30,0,0
2020,1,11,2,30,0,0
2020,1,11,3,30,0,0
2020,1,11,4,30,0,0
2020,1,11,5,30,0,0
2020,1,11,6,30,0,0
2020,1,11,7,30,0,0
2020,1,11,8,30,0,0
2020,1,11,9,30,0,0
2020,1,11,10,30,0,0
2020,1,11,11,30,0,0
2020,1,11,12,30,0,0
2020,1,11,13,30,6,0
2020,1,11,14,30,9,0
2020,1,11,15,30,11,0
2020,1,11,16,30,25,0
2020,1,11,17,30,34,0
2020,1,11,18,30,20,0
2020,1,11,19,30,28,0
2020,1,11,20,30,14,0
2020,1,11,21,30,7,0
2020,1,11,22,30,0,0
2020,1,11,23,30,0,0
2020,1,12,0,30,0,0
2020,1,12,1,30,0,0
2020,1,12,2,30,0,0
2020,1,12,3,30,0,0
2020,1,12,4,30,0,0
2020,1,12,5,30,0,0
2020,1,12,6,30,0,0
2020,1,12,7,30,0,0
2020,1,12,8,30,0,0
2020,1,12,9,30,0,0
2020,1,12,10,30,0,0
2020,1,12,11,30,0,0
2020,1,12,12,30,0,0
