Year,Month,Day,Hour,Minute,DHI,DNI
2019,1,1,0,30,0,0
2019,1,1,1,30,0,0
2019,1,1,2,30,0,0
2019,1,1,3,30,0,0
2019,1,1,4,30,0,0
2019,1,1,5,30,0,0
2019,1,1,6,30,0,0
2019,1,1,7,30,0,0
2019,1,1,8,30,0,0
2019,1,1,9,30,0,0
2019,1,1,10,30,0,0
2019,1,1,11,30,0,0
2019,1,1,12,30,0,0
2019,1,1,13,30,19,172
2019,1,1,14,30,64,546
2019,1,1,15,30,171,271
2019,1,1,16,30,220,398
2019,1,1,17,30,252,270
2019,1,1,18,30,192,579
2019,1,1,19,30,297,213
2019,1,1,20,30,211,109
2019,1,1,21,30,144,67
2019,1,1,22,30,31,0
2019,1,1,23,30,2,0
2019,1,2,0,30,0,0
2019,1,2,1,30,0,0
2019,1,2,2,30,0,0
2019,1,2,3,30,0,0
2019,1,2,4,30,0,0
2019,1,2,5,30,0,0
2019,1,2,6,30,0,0
2019,1,2,7,30,0,0
2019,1,2,8,30,0,0
2019,1,2,9,30,0,0
2019,1,2,10,30,0,0
2019,1,2,11,30,0,0
2019,1,2,12,30,0,0
2019,1,2,13,30,2,0
2019,1,2,14,30,7,0
2019,1,2,15,30,11,0
2019,1,2,16,30,15,0
2019,1,2,17,30,30,0
2019,1,2,18,30,41,0
2019,1,2,19,30,62,0
2019,1,2,20,30,66,1
2019,1,2,21,30,40,1
2019,1,2,22,30,4,0
2019,1,2,23,30,1,0
2019,1,3,0,30,0,0
2019,1,3,1,30,0,0
2019,1,3,2,30,0,0
2019,1,3,3,30,0,0
2019,1,3,4,30,0,0
2019,1,3,5,30,0,0
2019,1,3,6,30,0,0
2019,1,3,7,30,0,0
2019,1,3,8,30,0,0
2019,1,3,9,30,0,0
2019,1,3,10,30,0,0
2019,1,3,11,30,0,0
2019,1,3,12,30,0,0
2019,1,3,13,30,3,0
2019,1,3,14,30,8,0
2019,1,3,15,30,17,0
2019,1,3,16,30,63,0
2019,1,3,17,30,61,0
2019,1,3,18,30,213,7
2019,1,3,19,30,203,7
2019,1,3,20,30,224,37
2019,1,3,21,30,139,53
2019,1,3,22,30,65,92
