Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2021,1,1,0,30,4,0,4
2021,1,1,1,30,0,0,0
2021,1,1,2,30,0,0,0
2021,1,1,3,30,0,0,0
2021,1,1,4,30,0,0,0
2021,1,1,5,30,0,0,0
2021,1,1,6,30,0,0,0
2021,1,1,7,30,0,0,0
2021,1,1,8,30,0,0,0
2021,1,1,9,30,0,0,0
2021,1,1,10,30,0,0,0
2021,1,1,11,30,0,0,0
2021,1,1,12,30,0,0,0
2021,1,1,13,30,0,0,0
2021,1,1,14,30,0,0,0
2021,1,1,15,30,30,517,83
2021,1,1,16,30,48,783,254
2021,1,1,17,30,58,888,404
2021,1,1,18,30,65,940,512
2021,1,1,19,30,67,963,560
2021,1,1,20,30,67,955,544
2021,1,1,21,30,64,920,465
2021,1,1,22,30,55,845,333
2021,1,1,23,30,42,675,165
2021,1,2,0,30,11,137,13
2021,1,2,1,30,0,0,0
2021,1,2,2,30,0,0,0
2021,1,2,3,30,0,0,0
2021,1,2,4,30,0,0,0
2021,1,2,5,30,0,0,0
2021,1,2,6,30,0,0,0
2021,1,2,7,30,0,0,0
2021,1,2,8,30,0,0,0
2021,1,2,9,30,0,0,0
2021,1,2,10,30,0,0,0
2021,1,2,11,30,0,0,0
2021,1,2,12,30,0,0,0
2021,1,2,13,30,0,0,0
2021,1,2,14,30,0,0,0
2021,1,2,15,30,35,10,36
2021,1,2,16,30,95,229,155
2021,1,2,17,30,62,865,400
2021,1,2,18,30,68,920,506
2021,1,2,19,30,71,937,552
2021,1,2,20,30,70,927,534
2021,1,2,21,30,65,895,457
2021,1,2,22,30,61,775,317
2021,1,2,23,30,63,246,109
2021,1,3,0,30,10,98,12
2021,1,3,1,30,0,0,0
2021,1,3,2,30,0,0,0
2021,1,3,3,30,0,0,0
2021,1,3,4,30,0,0,0
2021,1,3,5,30,0,0,0
2021,1,3,6,30,0,0,0
2021,1,3,7,30,0,0,0
2021,1,3,8,30,0,0,0
2021,1,3,9,30,0,0,0
2021,1,3,10,30,0,0,0
2021,1,3,11,30,0,0,0
2021,1,3,12,30,0,0,0
2021,1,3,13,30,0,0,0
2021,1,3,14,30,0,0,0
2021,1,3,15,30,37,188,56
2021,1,3,16,30,53,716,241
2021,1,3,17,30,64,832,389
2021,1,3,18,30,72,881,492
2021,1,3,19,30,185,471,428
2021,1,3,20,30,151,569,437
2021,1,3,21,30,83,748,413
2021,1,3,22,30,59,764,313
2021,1,3,23,30,43,621,160
2021,1,4,0,30,11,61,12
2021,1,4,1,30,0,0,0
2021,1,4,2,30,0,0,0
2021,1,4,3,30,0,0,0
2021,1,4,4,30,0,0,0
2021,1,4,5,30,0,0,0
2021,1,4,6,30,0,0,0
2021,1,4,7,30,0,0,0
2021,1,4,8,30,0,0,0
2021,1,4,9,30,0,0,0
2021,1,4,10,30,0,0,0
2021,1,4,11,30,0,0,0
2021,1,4,12,30,0,0,0
2021,1,4,13,30,0,0,0
2021,1,4,14,30,0,0,0
2021,1,4,15,30,38,67,45
2021,1,4,16,30,66,594,222
2021,1,4,17,30,62,849,394
2021,1,4,18,30,66,913,502
2021,1,4,19,30,66,937,550
2021,1,4,20,30,68,930,537
2021,1,4,21,30,66,889,460
2021,1,4,22,30,58,807,329
2021,1,4,23,30,46,609,162
2021,1,5,0,30,13,150,16
2021,1,5,1,30,0,0,0
2021,1,5,2,30,0,0,0
2021,1,5,3,30,0,0,0
2021,1,5,4,30,0,0,0
2021,1,5,5,30,0,0,0
2021,1,5,6,30,0,0,0
2021,1,5,7,30,0,0,0
2021,1,5,8,30,0,0,0
2021,1,5,9,30,0,0,0
2021,1,5,10,30,0,0,0
2021,1,5,11,30,0,0,0
2021,1,5,12,30,0,0,0
2021,1,5,13,30,0,0,0
2021,1,5,14,30,0,0,0
2021,1,5,15,30,29,502,81
2021,1,5,16,30,49,777,254
2021,1,5,17,30,60,884,407
2021,1,5,18,30,68,932,515
2021,1,5,19,30,71,956,566
2021,1,5,20,30,71,946,550
2021,1,5,21,30,67,906,470
2021,1,5,22,30,61,824,339
2021,1,5,23,30,47,649,172
2021,1,6,0,30,15,148,18
2021,1,6,1,30,0,0,0
2021,1,6,2,30,0,0,0
2021,1,6,3,30,0,0,0
2021,1,6,4,30,0,0,0
2021,1,6,5,30,0,0,0
2021,1,6,6,30,0,0,0
2021,1,6,7,30,0,0,0
2021,1,6,8,30,0,0,0
2021,1,6,9,30,0,0,0
2021,1,6,10,30,0,0,0
2021,1,6,11,30,0,0,0
2021,1,6,12,30,0,0,0
2021,1,6,13,30,0,0,0
2021,1,6,14,30,0,0,0
2021,1,6,15,30,37,132,51
2021,1,6,16,30,59,699,244
2021,1,6,17,30,139,389,292
2021,1,6,18,30,87,820,481
2021,1,6,19,30,213,287,362
2021,1,6,20,30,222,128,287
2021,1,6,21,30,99,707,415
2021,1,6,22,30,63,788,331
2021,1,6,23,30,48,602,166
2021,1,7,0,30,12,60,14
2021,1,7,1,30,0,0,0
2021,1,7,2,30,0,0,0
2021,1,7,3,30,0,0,0
2021,1,7,4,30,0,0,0
2021,1,7,5,30,0,0,0
2021,1,7,6,30,0,0,0
2021,1,7,7,30,0,0,0
2021,1,7,8,30,0,0,0
2021,1,7,9,30,0,0,0
2021,1,7,10,30,0,0,0
2021,1,7,11,30,0,0,0
2021,1,7,12,30,0,0,0
2021,1,7,13,30,0,0,0
2021,1,7,14,30,0,0,0
2021,1,7,15,30,34,439,79
2021,1,7,16,30,67,637,236
2021,1,7,17,30,139,412,301
2021,1,7,18,30,197,341,361
2021,1,7,19,30,210,381,409
2021,1,7,20,30,227,225,342
2021,1,7,21,30,195,192,281
2021,1,7,22,30,139,129,183
2021,1,7,23,30,71,23,76
2021,1,8,0,30,9,0,9
2021,1,8,1,30,0,0,0
2021,1,8,2,30,0,0,0
2021,1,8,3,30,0,0,0
2021,1,8,4,30,0,0,0
2021,1,8,5,30,0,0,0
2021,1,8,6,30,0,0,0
2021,1,8,7,30,0,0,0
2021,1,8,8,30,0,0,0
2021,1,8,9,30,0,0,0
2021,1,8,10,30,0,0,0
2021,1,8,11,30,0,0,0
2021,1,8,12,30,0,0,0
2021,1,8,13,30,0,0,0
2021,1,8,14,30,0,0,0
2021,1,8,15,30,38,126,51
2021,1,8,16,30,55,741,252
2021,1,8,17,30,63,876,409
2021,1,8,18,30,67,928,516
2021,1,8,19,30,70,947,566
2021,1,8,20,30,70,941,553
2021,1,8,21,30,66,910,478
2021,1,8,22,30,57,853,352
2021,1,8,23,30,49,560,162
2021,1,9,0,30,16,219,23
2021,1,9,1,30,0,0,0
2021,1,9,2,30,0,0,0
2021,1,9,3,30,0,0,0
2021,1,9,4,30,0,0,0
2021,1,9,5,30,0,0,0
2021,1,9,6,30,0,0,0
2021,1,9,7,30,0,0,0
2021,1,9,8,30,0,0,0
2021,1,9,9,30,0,0,0
2021,1,9,10,30,0,0,0
2021,1,9,11,30,0,0,0
2021,1,9,12,30,0,0,0
2021,1,9,13,30,0,0,0
2021,1,9,14,30,0,0,0
2021,1,9,15,30,29,524,84
2021,1,9,16,30,52,771,257
2021,1,9,17,30,64,876,411
2021,1,9,18,30,67,935,521
2021,1,9,19,30,72,952,572
2021,1,9,20,30,71,947,559
2021,1,9,21,30,67,917,484
2021,1,9,22,30,59,846,354
2021,1,9,23,30,45,688,186
2021,1,10,0,30,17,223,25
2021,1,10,1,30,0,0,0
2021,1,10,2,30,0,0,0
2021,1,10,3,30,0,0,0
2021,1,10,4,30,0,0,0
2021,1,10,5,30,0,0,0
2021,1,10,6,30,0,0,0
2021,1,10,7,30,0,0,0
2021,1,10,8,30,0,0,0
2021,1,10,9,30,0,0,0
2021,1,10,10,30,0,0,0
