Year,Month,Day,Hour,Minute,DHI,DNI
2018,1,1,0,30,26,218
2018,1,1,1,30,0,0
2018,1,1,2,30,0,0
2018,1,1,3,30,0,0
2018,1,1,4,30,0,0
2018,1,1,5,30,0,0
2018,1,1,6,30,0,0
2018,1,1,7,30,0,0
2018,1,1,8,30,0,0
2018,1,1,9,30,0,0
2018,1,1,10,30,0,0
2018,1,1,11,30,0,0
2018,1,1,12,30,0,0
2018,1,1,13,30,0,0
2018,1,1,14,30,0,0
2018,1,1,15,30,31,311
2018,1,1,16,30,124,214
2018,1,1,17,30,163,394
2018,1,1,18,30,78,861
2018,1,1,19,30,191,495
2018,1,1,20,30,193,493
2018,1,1,21,30,208,350
2018,1,1,22,30,189,156
2018,1,1,23,30,121,54
2018,1,2,0,30,26,1
2018,1,2,1,30,0,0
2018,1,2,2,30,0,0
2018,1,2,3,30,0,0
2018,1,2,4,30,0,0
2018,1,2,5,30,0,0
2018,1,2,6,30,0,0
2018,1,2,7,30,0,0
2018,1,2,8,30,0,0
2018,1,2,9,30,0,0
2018,1,2,10,30,0,0
2018,1,2,11,30,0,0
2018,1,2,12,30,0,0
2018,1,2,13,30,0,0
2018,1,2,14,30,0,0
2018,1,2,15,30,35,3
2018,1,2,16,30,72,6
2018,1,2,17,30,190,62
2018,1,2,18,30,226,405
2018,1,2,19,30,258,385
2018,1,2,20,30,249,402
2018,1,2,21,30,143,654
2018,1,2,22,30,177,351
2018,1,2,23,30,135,103
2018,1,3,0,30,32,3
2018,1,3,1,30,0,0
2018,1,3,2,30,0,0
2018,1,3,3,30,0,0
2018,1,3,4,30,0,0
2018,1,3,5,30,0,0
2018,1,3,6,30,0,0
2018,1,3,7,30,0,0
2018,1,3,8,30,0,0
2018,1,3,9,30,0,0
2018,1,3,10,30,0,0
2018,1,3,11,30,0,0
2018,1,3,12,30,0,0
2018,1,3,13,30,0,0
2018,1,3,14,30,0,0
2018,1,3,15,30,29,1
2018,1,3,16,30,93,14
2018,1,3,17,30,145,12
2018,1,3,18,30,254,73
2018,1,3,19,30,151,0
2018,1,3,20,30,122,0
2018,1,3,21,30,155,6
2018,1,3,22,30,132,39
2018,1,3,23,30,127,169
2018,1,4,0,30,27,2
2018,1,4,1,30,0,0
2018,1,4,2,30,0,0
2018,1,4,3,30,0,0
2018,1,4,4,30,0,0
2018,1,4,5,30,0,0
2018,1,4,6,30,0,0
2018,1,4,7,30,0,0
2018,1,4,8,30,0,0
2018,1,4,9,30,0,0
2018,1,4,10,30,0,0
2018,1,4,11,30,0,0
2018,1,4,12,30,0,0
2018,1,4,13,30,0,0
2018,1,4,14,30,0,0
2018,1,4,15,30,31,260
2018,1,4,16,30,65,577
2018,1,4,17,30,197,237
2018,1,4,18,30,190,501
2018,1,4,19,30,297,232
2018,1,4,20,30,141,710
2018,1,4,21,30,83,823
2018,1,4,22,30,82,724
2018,1,4,23,30,91,370
2018,1,5,0,30,27,293
2018,1,5,1,30,0,0
2018,1,5,2,30,0,0
2018,1,5,3,30,0,0
2018,1,5,4,30,0,0
2018,1,5,5,30,0,0
2018,1,5,6,30,0,0
2018,1,5,7,30,0,0
2018,1,5,8,30,0,0
2018,1,5,9,30,0,0
2018,1,5,10,30,0,0
2018,1,5,11,30,0,0
2018,1,5,12,30,0,0
2018,1,5,13,30,0,0
2018,1,5,14,30,0,0
2018,1,5,15,30,32,253
2018,1,5,16,30,60,633
2018,1,5,17,30,72,782
2018,1,5,18,30,77,857
2018,1,5,19,30,81,884
2018,1,5,20,30,86,872
2018,1,5,21,30,143,634
2018,1,5,22,30,152,440
2018,1,5,23,30,128,136
2018,1,6,0,30,37,10
2018,1,6,1,30,0,0
2018,1,6,2,30,0,0
2018,1,6,3,30,0,0
2018,1,6,4,30,0,0
2018,1,6,5,30,0,0
2018,1,6,6,30,0,0
2018,1,6,7,30,0,0
2018,1,6,8,30,0,0
2018,1,6,9,30,0,0
2018,1,6,10,30,0,0
2018,1,6,11,30,0,0
2018,1,6,12,30,0,0
2018,1,6,13,30,0,0
2018,1,6,14,30,0,0
2018,1,6,15,30,13,0
2018,1,6,16,30,82,3
2018,1,6,17,30,104,1
2018,1,6,18,30,243,115
2018,1,6,19,30,267,252
2018,1,6,20,30,259,236
2018,1,6,21,30,242,162
2018,1,6,22,30,198,104
2018,1,6,23,30,92,18
2018,1,7,0,30,23,1
2018,1,7,1,30,0,0
2018,1,7,2,30,0,0
2018,1,7,3,30,0,0
2018,1,7,4,30,0,0
2018,1,7,5,30,0,0
2018,1,7,6,30,0,0
