Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2008,1,1,0,30,0,0,0
2008,1,1,1,30,0,0,0
2008,1,1,2,30,0,0,0
2008,1,1,3,30,0,0,0
2008,1,1,4,30,0,0,0
2008,1,1,5,30,0,0,0
2008,1,1,6,30,0,0,0
2008,1,1,7,30,0,0,0
2008,1,1,8,30,0,0,0
2008,1,1,9,30,0,0,0
2008,1,1,10,30,0,0,0
2008,1,1,11,30,0,0,0
2008,1,1,12,30,0,0,0
2008,1,1,13,30,20,371,41
2008,1,1,14,30,48,732,213
2008,1,1,15,30,63,863,378
2008,1,1,16,30,73,911,497
2008,1,1,17,30,76,938,564
2008,1,1,18,30,76,942,568
2008,1,1,19,30,75,911,508
2008,1,1,20,30,69,843,390
2008,1,1,21,30,53,732,232
2008,1,1,22,30,25,450,60
2008,1,1,23,30,0,0,0
2008,1,2,0,30,0,0,0
2008,1,2,1,30,0,0,0
2008,1,2,2,30,0,0,0
2008,1,2,3,30,0,0,0
2008,1,2,4,30,0,0,0
2008,1,2,5,30,0,0,0
2008,1,2,6,30,0,0,0
2008,1,2,7,30,0,0,0
2008,1,2,8,30,0,0,0
2008,1,2,9,30,0,0,0
2008,1,2,10,30,0,0,0
2008,1,2,11,30,0,0,0
2008,1,2,12,30,0,0,0
2008,1,2,13,30,20,390,42
2008,1,2,14,30,47,748,216
2008,1,2,15,30,141,295,249
2008,1,2,16,30,206,171,285
2008,1,2,17,30,74,969,579
2008,1,2,18,30,78,960,582
2008,1,2,19,30,74,938,522
2008,1,2,20,30,66,882,404
2008,1,2,21,30,54,749,239
2008,1,2,22,30,27,435,62
2008,1,2,23,30,0,0,0
2008,1,3,0,30,0,0,0
2008,1,3,1,30,0,0,0
2008,1,3,2,30,0,0,0
2008,1,3,3,30,0,0,0
2008,1,3,4,30,0,0,0
2008,1,3,5,30,0,0,0
2008,1,3,6,30,0,0,0
2008,1,3,7,30,0,0,0
2008,1,3,8,30,0,0,0
2008,1,3,9,30,0,0,0
2008,1,3,10,30,0,0,0
2008,1,3,11,30,0,0,0
2008,1,3,12,30,0,0,0
2008,1,3,13,30,20,355,40
2008,1,3,14,30,48,721,210
2008,1,3,15,30,62,857,375
2008,1,3,16,30,70,920,500
2008,1,3,17,30,73,948,569
2008,1,3,18,30,77,942,573
2008,1,3,19,30,132,596,418
2008,1,3,20,30,91,632,334
2008,1,3,21,30,70,464,186
2008,1,3,22,30,29,86,37
2008,1,3,23,30,0,0,0
2008,1,4,0,30,0,0,0
2008,1,4,1,30,0,0,0
2008,1,4,2,30,0,0,0
2008,1,4,3,30,0,0,0
2008,1,4,4,30,0,0,0
2008,1,4,5,30,0,0,0
2008,1,4,6,30,0,0,0
2008,1,4,7,30,0,0,0
2008,1,4,8,30,0,0,0
2008,1,4,9,30,0,0,0
2008,1,4,10,30,0,0,0
2008,1,4,11,30,0,0,0
2008,1,4,12,30,0,0,0
2008,1,4,13,30,20,336,39
2008,1,4,14,30,48,702,206
2008,1,4,15,30,61,845,371
2008,1,4,16,30,69,909,495
2008,1,4,17,30,174,518,445
2008,1,4,18,30,198,431,426
2008,1,4,19,30,175,431,382
2008,1,4,20,30,127,449,301
2008,1,4,21,30,98,73,117
2008,1,4,22,30,30,112,40
2008,1,4,23,30,0,0,0
2008,1,5,0,30,0,0,0
2008,1,5,1,30,0,0,0
2008,1,5,2,30,0,0,0
2008,1,5,3,30,0,0,0
2008,1,5,4,30,0,0,0
2008,1,5,5,30,0,0,0
2008,1,5,6,30,0,0,0
2008,1,5,7,30,0,0,0
2008,1,5,8,30,0,0,0
2008,1,5,9,30,0,0,0
2008,1,5,10,30,0,0,0
2008,1,5,11,30,0,0,0
2008,1,5,12,30,0,0,0
2008,1,5,13,30,10,0,10
2008,1,5,14,30,11,0,11
2008,1,5,15,30,89,0,89
2008,1,5,16,30,84,0,84
2008,1,5,17,30,41,0,41
2008,1,5,18,30,73,0,73
2008,1,5,19,30,24,0,24
2008,1,5,20,30,128,0,128
2008,1,5,21,30,49,0,49
2008,1,5,22,30,33,230,53
2008,1,5,23,30,0,0,0
2008,1,6,0,30,0,0,0
2008,1,6,1,30,0,0,0
2008,1,6,2,30,0,0,0
2008,1,6,3,30,0,0,0
2008,1,6,4,30,0,0,0
2008,1,6,5,30,0,0,0
2008,1,6,6,30,0,0,0
2008,1,6,7,30,0,0,0
2008,1,6,8,30,0,0,0
2008,1,6,9,30,0,0,0
2008,1,6,10,30,0,0,0
2008,1,6,11,30,0,0,0
2008,1,6,12,30,0,0,0
2008,1,6,13,30,9,0,9
2008,1,6,14,30,68,0,68
2008,1,6,15,30,129,4,130
2008,1,6,16,30,195,297,335
2008,1,6,17,30,213,36,232
2008,1,6,18,30,243,141,318
2008,1,6,19,30,217,183,306
2008,1,6,20,30,116,0,116
2008,1,6,21,30,99,47,111
2008,1,6,22,30,21,0,21
2008,1,6,23,30,0,0,0
2008,1,7,0,30,0,0,0
2008,1,7,1,30,0,0,0
2008,1,7,2,30,0,0,0
2008,1,7,3,30,0,0,0
2008,1,7,4,30,0,0,0
2008,1,7,5,30,0,0,0
2008,1,7,6,30,0,0,0
2008,1,7,7,30,0,0,0
2008,1,7,8,30,0,0,0
2008,1,7,9,30,0,0,0
2008,1,7,10,30,0,0,0
2008,1,7,11,30,0,0,0
2008,1,7,12,30,0,0,0
2008,1,7,13,30,12,0,12
2008,1,7,14,30,49,0,49
2008,1,7,15,30,13,0,13
2008,1,7,16,30,31,0,31
2008,1,7,17,30,123,0,123
2008,1,7,18,30,73,0,73
2008,1,7,19,30,156,0,156
2008,1,7,20,30,148,351,286
2008,1,7,21,30,95,15,99
2008,1,7,22,30,32,46,37
2008,1,7,23,30,0,0,0
2008,1,8,0,30,0,0,0
2008,1,8,1,30,0,0,0
2008,1,8,2,30,0,0,0
2008,1,8,3,30,0,0,0
2008,1,8,4,30,0,0,0
2008,1,8,5,30,0,0,0
2008,1,8,6,30,0,0,0
2008,1,8,7,30,0,0,0
2008,1,8,8,30,0,0,0
2008,1,8,9,30,0,0,0
2008,1,8,10,30,0,0,0
2008,1,8,11,30,0,0,0
2008,1,8,12,30,0,0,0
2008,1,8,13,30,14,0,14
2008,1,8,14,30,48,0,48
2008,1,8,15,30,5,0,5
2008,1,8,16,30,121,0,121
2008,1,8,17,30,201,20,211
2008,1,8,18,30,199,18,208
2008,1,8,19,30,151,0,151
2008,1,8,20,30,11,0,11
2008,1,8,21,30,6,0,6
2008,1,8,22,30,14,0,14
2008,1,8,23,30,0,0,0
2008,1,9,0,30,0,0,0
2008,1,9,1,30,0,0,0
2008,1,9,2,30,0,0,0
2008,1,9,3,30,0,0,0
2008,1,9,4,30,0,0,0
2008,1,9,5,30,0,0,0
2008,1,9,6,30,0,0,0
2008,1,9,7,30,0,0,0
2008,1,9,8,30,0,0,0
2008,1,9,9,30,0,0,0
2008,1,9,10,30,0,0,0
2008,1,9,11,30,0,0,0
2008,1,9,12,30,0,0,0
2008,1,9,13,30,21,325,39
2008,1,9,14,30,51,707,211
2008,1,9,15,30,64,854,380
2008,1,9,16,30,72,922,509
2008,1,9,17,30,75,945,577
2008,1,9,18,30,76,944,584
2008,1,9,19,30,74,914,524
2008,1,9,20,30,84,682,357
2008,1,9,21,30,64,561,213
2008,1,9,22,30,29,432,72
2008,1,9,23,30,0,0,0
2008,1,10,0,30,0,0,0
2008,1,10,1,30,0,0,0
2008,1,10,2,30,0,0,0
2008,1,10,3,30,0,0,0
2008,1,10,4,30,0,0,0
2008,1,10,5,30,0,0,0
2008,1,10,6,30,0,0,0
2008,1,10,7,30,0,0,0
2008,1,10,8,30,0,0,0
2008,1,10,9,30,0,0,0
2008,1,10,10,30,0,0,0
2008,1,10,11,30,0,0,0
2008,1,10,12,30,0,0,0
2008,1,10,13,30,7,0,7
2008,1,10,14,30,15,0,15
2008,1,10,15,30,54,0,54
2008,1,10,16,30,207,235,319
2008,1,10,17,30,136,0,136
2008,1,10,18,30,101,815,541
2008,1,10,19,30,85,845,503
2008,1,10,20,30,70,820,400
2008,1,10,21,30,55,714,246
2008,1,10,22,30,30,438,74
2008,1,10,23,30,0,0,0
2008,1,11,0,30,0,0,0
2008,1,11,1,30,0,0,0
2008,1,11,2,30,0,0,0
2008,1,11,3,30,0,0,0
2008,1,11,4,30,0,0,0
2008,1,11,5,30,0,0,0
2008,1,11,6,30,0,0,0
2008,1,11,7,30,0,0,0
2008,1,11,8,30,0,0,0
2008,1,11,9,30,0,0,0
2008,1,11,10,30,0,0,0
2008,1,11,11,30,0,0,0
2008,1,11,12,30,0,0,0
2008,1,11,13,30,21,340,40
2008,1,11,14,30,63,472,170
2008,1,11,15,30,110,514,301
2008,1,11,16,30,97,725,443
