Year,Month,Day,Hour,Minute,DHI,DNI
2019,1,1,0,30,0,0
2019,1,1,1,30,0,0
2019,1,1,2,30,0,0
2019,1,1,3,30,0,0
2019,1,1,4,30,0,0
2019,1,1,5,30,0,0
2019,1,1,6,30,0,0
2019,1,1,7,30,0,0
2019,1,1,8,30,0,0
2019,1,1,9,30,0,0
2019,1,1,10,30,0,0
2019,1,1,11,30,0,0
2019,1,1,12,30,28,245
2019,1,1,13,30,74,341
2019,1,1,14,30,91,715
2019,1,1,15,30,134,693
2019,1,1,16,30,165,667
2019,1,1,17,30,197,464
2019,1,1,18,30,109,830
2019,1,1,19,30,83,848
2019,1,1,20,30,73,767
2019,1,1,21,30,55,590
2019,1,1,22,30,16,120
2019,1,1,23,30,0,0
2019,1,2,0,30,0,0
2019,1,2,1,30,0,0
2019,1,2,2,30,0,0
2019,1,2,3,30,0,0
2019,1,2,4,30,0,0
2019,1,2,5,30,0,0
2019,1,2,6,30,0,0
2019,1,2,7,30,0,0
2019,1,2,8,30,0,0
2019,1,2,9,30,0,0
2019,1,2,10,30,0,0
2019,1,2,11,30,0,0
2019,1,2,12,30,27,261
2019,1,2,13,30,57,656
2019,1,2,14,30,71,806
2019,1,2,15,30,80,873
2019,1,2,16,30,85,905
2019,1,2,17,30,88,910
2019,1,2,18,30,86,895
2019,1,2,19,30,89,824
2019,1,2,20,30,72,770
2019,1,2,21,30,54,596
2019,1,2,22,30,17,129
2019,1,2,23,30,0,0
2019,1,3,0,30,0,0
2019,1,3,1,30,0,0
2019,1,3,2,30,0,0
2019,1,3,3,30,0,0
2019,1,3,4,30,0,0
2019,1,3,5,30,0,0
2019,1,3,6,30,0,0
2019,1,3,7,30,0,0
2019,1,3,8,30,0,0
2019,1,3,9,30,0,0
2019,1,3,10,30,0,0
2019,1,3,11,30,0,0
2019,1,3,12,30,26,253
2019,1,3,13,30,91,330
2019,1,3,14,30,189,138
2019,1,3,15,30,268,283
2019,1,3,16,30,281,327
2019,1,3,17,30,287,329
2019,1,3,18,30,212,212
2019,1,3,19,30,228,132
2019,1,3,20,30,184,86
2019,1,3,21,30,68,468
2019,1,3,22,30,18,100
