Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2015,1,1,0,30,0,0,0
2015,1,1,1,30,0,0,0
2015,1,1,2,30,0,0,0
2015,1,1,3,30,0,0,0
2015,1,1,4,30,0,0,0
2015,1,1,5,30,0,0,0
2015,1,1,6,30,0,0,0
2015,1,1,7,30,0,0,0
2015,1,1,8,30,0,0,0
2015,1,1,9,30,0,0,0
2015,1,1,10,30,0,0,0
2015,1,1,11,30,0,0,0
2015,1,1,12,30,0,0,0
2015,1,1,13,30,0,0,0
2015,1,1,14,30,57,131,78
2015,1,1,15,30,97,326,187
2015,1,1,16,30,151,185,217
2015,1,1,17,30,128,0,128
2015,1,1,18,30,144,10,148
2015,1,1,19,30,71,0,71
2015,1,1,20,30,79,0,79
2015,1,1,21,30,36,537,108
2015,1,1,22,30,0,0,0
2015,1,1,23,30,0,0,0
2015,1,2,0,30,0,0,0
2015,1,2,1,30,0,0,0
2015,1,2,2,30,0,0,0
2015,1,2,3,30,0,0,0
2015,1,2,4,30,0,0,0
2015,1,2,5,30,0,0,0
2015,1,2,6,30,0,0,0
2015,1,2,7,30,0,0,0
2015,1,2,8,30,0,0,0
2015,1,2,9,30,0,0,0
2015,1,2,10,30,0,0,0
2015,1,2,11,30,0,0,0
2015,1,2,12,30,0,0,0
2015,1,2,13,30,0,0,0
2015,1,2,14,30,53,244,92
2015,1,2,15,30,92,375,196
2015,1,2,16,30,121,429,276
2015,1,2,17,30,57,903,422
2015,1,2,18,30,124,504,326
2015,1,2,19,30,120,406,263
2015,1,2,20,30,95,276,168
2015,1,2,21,30,49,154,70
2015,1,2,22,30,0,0,0
2015,1,2,23,30,0,0,0
2015,1,3,0,30,0,0,0
2015,1,3,1,30,0,0,0
2015,1,3,2,30,0,0,0
2015,1,3,3,30,0,0,0
2015,1,3,4,30,0,0,0
2015,1,3,5,30,0,0,0
2015,1,3,6,30,0,0,0
2015,1,3,7,30,0,0,0
2015,1,3,8,30,0,0,0
2015,1,3,9,30,0,0,0
2015,1,3,10,30,0,0,0
2015,1,3,11,30,0,0,0
2015,1,3,12,30,0,0,0
2015,1,3,13,30,0,0,0
2015,1,3,14,30,33,0,33
2015,1,3,15,30,71,0,71
2015,1,3,16,30,57,0,57
2015,1,3,17,30,49,0,49
2015,1,3,18,30,69,0,69
2015,1,3,19,30,48,0,48
2015,1,3,20,30,26,0,26
2015,1,3,21,30,49,14,50
2015,1,3,22,30,0,0,0
2015,1,3,23,30,0,0,0
2015,1,4,0,30,0,0,0
2015,1,4,1,30,0,0,0
2015,1,4,2,30,0,0,0
2015,1,4,3,30,0,0,0
2015,1,4,4,30,0,0,0
2015,1,4,5,30,0,0,0
2015,1,4,6,30,0,0,0
2015,1,4,7,30,0,0,0
2015,1,4,8,30,0,0,0
2015,1,4,9,30,0,0,0
2015,1,4,10,30,0,0,0
2015,1,4,11,30,0,0,0
2015,1,4,12,30,0,0,0
2015,1,4,13,30,0,0,0
2015,1,4,14,30,41,0,41
2015,1,4,15,30,106,29,114
2015,1,4,16,30,140,25,149
2015,1,4,17,30,148,11,152
2015,1,4,18,30,172,85,206
2015,1,4,19,30,149,100,185
2015,1,4,20,30,90,347,183
2015,1,4,21,30,46,284,86
2015,1,4,22,30,0,0,0
2015,1,4,23,30,0,0,0
2015,1,5,0,30,0,0,0
2015,1,5,1,30,0,0,0
2015,1,5,2,30,0,0,0
2015,1,5,3,30,0,0,0
2015,1,5,4,30,0,0,0
2015,1,5,5,30,0,0,0
2015,1,5,6,30,0,0,0
2015,1,5,7,30,0,0,0
2015,1,5,8,30,0,0,0
2015,1,5,9,30,0,0,0
2015,1,5,10,30,0,0,0
2015,1,5,11,30,0,0,0
2015,1,5,12,30,0,0,0
2015,1,5,13,30,0,0,0
2015,1,5,14,30,38,713,150
2015,1,5,15,30,80,475,213
2015,1,5,16,30,142,293,248
2015,1,5,17,30,159,326,292
2015,1,5,18,30,95,645,357
2015,1,5,19,30,143,256,234
2015,1,5,20,30,97,285,174
2015,1,5,21,30,50,208,80
