Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2004,1,1,0,30,0,0,0
2004,1,1,1,30,0,0,0
2004,1,1,2,30,0,0,0
2004,1,1,3,30,0,0,0
2004,1,1,4,30,0,0,0
2004,1,1,5,30,0,0,0
2004,1,1,6,30,0,0,0
2004,1,1,7,30,0,0,0
2004,1,1,8,30,0,0,0
2004,1,1,9,30,0,0,0
2004,1,1,10,30,0,0,0
2004,1,1,11,30,0,0,0
2004,1,1,12,30,0,0,0
2004,1,1,13,30,0,0,0
2004,1,1,14,30,19,0,19
2004,1,1,15,30,81,54,92
2004,1,1,16,30,126,103,157
2004,1,1,17,30,111,0,111
2004,1,1,18,30,148,37,162
2004,1,1,19,30,11,0,11
2004,1,1,20,30,36,0,36
2004,1,1,21,30,46,544,132
2004,1,1,22,30,6,0,6
2004,1,1,23,30,0,0,0
2004,1,2,0,30,0,0,0
2004,1,2,1,30,0,0,0
2004,1,2,2,30,0,0,0
2004,1,2,3,30,0,0,0
2004,1,2,4,30,0,0,0
2004,1,2,5,30,0,0,0
2004,1,2,6,30,0,0,0
2004,1,2,7,30,0,0,0
2004,1,2,8,30,0,0,0
2004,1,2,9,30,0,0,0
2004,1,2,10,30,0,0,0
2004,1,2,11,30,0,0,0
2004,1,2,12,30,0,0,0
2004,1,2,13,30,0,0,0
2004,1,2,14,30,15,0,15
2004,1,2,15,30,80,47,90
2004,1,2,16,30,120,237,193
2004,1,2,17,30,150,66,174
2004,1,2,18,30,157,209,236
2004,1,2,19,30,144,100,178
2004,1,2,20,30,72,0,72
2004,1,2,21,30,7,0,7
2004,1,2,22,30,12,123,15
2004,1,2,23,30,0,0,0
2004,1,3,0,30,0,0,0
2004,1,3,1,30,0,0,0
2004,1,3,2,30,0,0,0
2004,1,3,3,30,0,0,0
2004,1,3,4,30,0,0,0
2004,1,3,5,30,0,0,0
2004,1,3,6,30,0,0,0
2004,1,3,7,30,0,0,0
2004,1,3,8,30,0,0,0
2004,1,3,9,30,0,0,0
2004,1,3,10,30,0,0,0
2004,1,3,11,30,0,0,0
2004,1,3,12,30,0,0,0
2004,1,3,13,30,0,0,0
2004,1,3,14,30,30,63,36
2004,1,3,15,30,50,741,207
2004,1,3,16,30,59,857,323
2004,1,3,17,30,64,905,394
2004,1,3,18,30,69,905,411
2004,1,3,19,30,67,878,371
2004,1,3,20,30,56,821,280
2004,1,3,21,30,59,157,85
2004,1,3,22,30,11,0,11
2004,1,3,23,30,0,0,0
2004,1,4,0,30,0,0,0
2004,1,4,1,30,0,0,0
2004,1,4,2,30,0,0,0
2004,1,4,3,30,0,0,0
2004,1,4,4,30,0,0,0
2004,1,4,5,30,0,0,0
2004,1,4,6,30,0,0,0
2004,1,4,7,30,0,0,0
2004,1,4,8,30,0,0,0
2004,1,4,9,30,0,0,0
2004,1,4,10,30,0,0,0
2004,1,4,11,30,0,0,0
2004,1,4,12,30,0,0,0
2004,1,4,13,30,0,0,0
2004,1,4,14,30,26,0,26
2004,1,4,15,30,74,281,134
2004,1,4,16,30,115,294,206
2004,1,4,17,30,154,172,216
2004,1,4,18,30,134,397,284
2004,1,4,19,30,119,404,259
2004,1,4,20,30,82,448,206
2004,1,4,21,30,61,112,80
2004,1,4,22,30,9,0,9
2004,1,4,23,30,0,0,0
2004,1,5,0,30,0,0,0
2004,1,5,1,30,0,0,0
2004,1,5,2,30,0,0,0
2004,1,5,3,30,0,0,0
2004,1,5,4,30,0,0,0
2004,1,5,5,30,0,0,0
2004,1,5,6,30,0,0,0
2004,1,5,7,30,0,0,0
2004,1,5,8,30,0,0,0
2004,1,5,9,30,0,0,0
2004,1,5,10,30,0,0,0
2004,1,5,11,30,0,0,0
2004,1,5,12,30,0,0,0
2004,1,5,13,30,0,0,0
2004,1,5,14,30,26,529,72
2004,1,5,15,30,46,774,212
2004,1,5,16,30,58,875,329
2004,1,5,17,30,110,503,295
2004,1,5,18,30,80,681,339
2004,1,5,19,30,67,916,388
2004,1,5,20,30,58,854,295
2004,1,5,21,30,42,718,162
2004,1,5,22,30,15,359,26
2004,1,5,23,30,0,0,0
2004,1,6,0,30,0,0,0
2004,1,6,1,30,0,0,0
2004,1,6,2,30,0,0,0
2004,1,6,3,30,0,0,0
2004,1,6,4,30,0,0,0
2004,1,6,5,30,0,0,0
2004,1,6,6,30,0,0,0
2004,1,6,7,30,0,0,0
2004,1,6,8,30,0,0,0
2004,1,6,9,30,0,0,0
2004,1,6,10,30,0,0,0
2004,1,6,11,30,0,0,0
2004,1,6,12,30,0,0,0
2004,1,6,13,30,0,0,0
2004,1,6,14,30,30,462,70
2004,1,6,15,30,54,732,211
2004,1,6,16,30,66,847,330
2004,1,6,17,30,72,898,403
2004,1,6,18,30,73,908,421
2004,1,6,19,30,69,888,382
2004,1,6,20,30,58,832,291
2004,1,6,21,30,42,679,158
2004,1,6,22,30,15,311,26
2004,1,6,23,30,0,0,0
2004,1,7,0,30,0,0,0
2004,1,7,1,30,0,0,0
2004,1,7,2,30,0,0,0
2004,1,7,3,30,0,0,0
2004,1,7,4,30,0,0,0
2004,1,7,5,30,0,0,0
2004,1,7,6,30,0,0,0
2004,1,7,7,30,0,0,0
2004,1,7,8,30,0,0,0
2004,1,7,9,30,0,0,0
2004,1,7,10,30,0,0,0
2004,1,7,11,30,0,0,0
