Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2002,1,1,0,30,0,0,0
2002,1,1,1,30,0,0,0
2002,1,1,2,30,0,0,0
2002,1,1,3,30,0,0,0
2002,1,1,4,30,0,0,0
2002,1,1,5,30,0,0,0
2002,1,1,6,30,0,0,0
2002,1,1,7,30,0,0,0
2002,1,1,8,30,0,0,0
2002,1,1,9,30,0,0,0
2002,1,1,10,30,0,0,0
2002,1,1,11,30,0,0,0
2002,1,1,12,30,0,0,0
2002,1,1,13,30,5,0,5
2002,1,1,14,30,11,0,11
2002,1,1,15,30,162,19,170
2002,1,1,16,30,140,0,140
2002,1,1,17,30,54,0,54
2002,1,1,18,30,118,0,118
2002,1,1,19,30,170,1,170
2002,1,1,20,30,12,0,12
2002,1,1,21,30,97,0,97
2002,1,1,22,30,35,0,35
2002,1,1,23,30,0,0,0
2002,1,2,0,30,0,0,0
2002,1,2,1,30,0,0,0
2002,1,2,2,30,0,0,0
2002,1,2,3,30,0,0,0
2002,1,2,4,30,0,0,0
2002,1,2,5,30,0,0,0
2002,1,2,6,30,0,0,0
2002,1,2,7,30,0,0,0
2002,1,2,8,30,0,0,0
2002,1,2,9,30,0,0,0
2002,1,2,10,30,0,0,0
2002,1,2,11,30,0,0,0
2002,1,2,12,30,0,0,0
2002,1,2,13,30,23,0,23
2002,1,2,14,30,48,0,48
2002,1,2,15,30,187,145,249
2002,1,2,16,30,241,91,290
2002,1,2,17,30,207,11,214
2002,1,2,18,30,282,158,376
2002,1,2,19,30,222,34,240
2002,1,2,20,30,158,8,162
2002,1,2,21,30,122,187,179
2002,1,2,22,30,45,45,51
2002,1,2,23,30,0,0,0
2002,1,3,0,30,0,0,0
2002,1,3,1,30,0,0,0
2002,1,3,2,30,0,0,0
2002,1,3,3,30,0,0,0
2002,1,3,4,30,0,0,0
2002,1,3,5,30,0,0,0
2002,1,3,6,30,0,0,0
2002,1,3,7,30,0,0,0
2002,1,3,8,30,0,0,0
2002,1,3,9,30,0,0,0
2002,1,3,10,30,0,0,0
2002,1,3,11,30,0,0,0
2002,1,3,12,30,0,0,0
2002,1,3,13,30,35,134,48
2002,1,3,14,30,55,786,275
2002,1,3,15,30,67,909,458
2002,1,3,16,30,72,968,594
2002,1,3,17,30,76,993,668
2002,1,3,18,30,80,986,672
2002,1,3,19,30,75,969,610
2002,1,3,20,30,68,922,484
2002,1,3,21,30,57,814,307
2002,1,3,22,30,35,575,109
2002,1,3,23,30,0,0,0
2002,1,4,0,30,0,0,0
2002,1,4,1,30,0,0,0
2002,1,4,2,30,0,0,0
2002,1,4,3,30,0,0,0
2002,1,4,4,30,0,0,0
2002,1,4,5,30,0,0,0
2002,1,4,6,30,0,0,0
2002,1,4,7,30,0,0,0
2002,1,4,8,30,0,0,0
2002,1,4,9,30,0,0,0
2002,1,4,10,30,0,0,0
2002,1,4,11,30,0,0,0
2002,1,4,12,30,0,0,0
2002,1,4,13,30,35,103,45
2002,1,4,14,30,93,371,197
2002,1,4,15,30,60,929,461
2002,1,4,16,30,67,973,591
2002,1,4,17,30,70,996,665
2002,1,4,18,30,73,994,672
2002,1,4,19,30,71,973,609
2002,1,4,20,30,67,913,480
2002,1,4,21,30,56,807,306
2002,1,4,22,30,35,564,110
2002,1,4,23,30,0,0,0
