Year,Month,Day,Hour,Minute,DHI,DNI
2022,1,1,0,30,0,0
2022,1,1,1,30,0,0
2022,1,1,2,30,0,0
2022,1,1,3,30,0,0
2022,1,1,4,30,0,0
2022,1,1,5,30,0,0
2022,1,1,6,30,0,0
2022,1,1,7,30,0,0
2022,1,1,8,30,0,0
2022,1,1,9,30,0,0
2022,1,1,10,30,0,0
2022,1,1,11,30,0,0
2022,1,1,12,30,3,0
2022,1,1,13,30,14,0
2022,1,1,14,30,12,0
2022,1,1,15,30,32,0
2022,1,1,16,30,34,0
2022,1,1,17,30,46,0
2022,1,1,18,30,41,0
2022,1,1,19,30,21,0
2022,1,1,20,30,12,0
2022,1,1,21,30,2,0
2022,1,1,22,30,0,0
2022,1,1,23,30,0,0
2022,1,2,0,30,0,0
2022,1,2,1,30,0,0
2022,1,2,2,30,0,0
2022,1,2,3,30,0,0
2022,1,2,4,30,0,0
2022,1,2,5,30,0,0
2022,1,2,6,30,0,0
2022,1,2,7,30,0,0
2022,1,2,8,30,0,0
2022,1,2,9,30,0,0
2022,1,2,10,30,0,0
2022,1,2,11,30,0,0
2022,1,2,12,30,2,0
2022,1,2,13,30,15,0
2022,1,2,14,30,42,1
2022,1,2,15,30,60,2
2022,1,2,16,30,73,1
2022,1,2,17,30,100,3
2022,1,2,18,30,131,75
2022,1,2,19,30,77,6
2022,1,2,20,30,46,3
2022,1,2,21,30,4,0
2022,1,2,22,30,0,0
2022,1,2,23,30,0,0
2022,1,3,0,30,0,0
2022,1,3,1,30,0,0
2022,1,3,2,30,0,0
2022,1,3,3,30,0,0
2022,1,3,4,30,0,0
2022,1,3,5,30,0,0
2022,1,3,6,30,0,0
2022,1,3,7,30,0,0
2022,1,3,8,30,0,0
2022,1,3,9,30,0,0
2022,1,3,10,30,0,0
2022,1,3,11,30,0,0
2022,1,3,12,30,3,0
2022,1,3,13,30,13,0
2022,1,3,14,30,22,0
2022,1,3,15,30,16,0
2022,1,3,16,30,20,0
2022,1,3,17,30,45,1
2022,1,3,18,30,53,3
2022,1,3,19,30,24,3
2022,1,3,20,30,8,0
2022,1,3,21,30,9,1
2022,1,3,22,30,0,0
2022,1,3,23,30,0,0
2022,1,4,0,30,0,0
2022,1,4,1,30,0,0
2022,1,4,2,30,0,0
2022,1,4,3,30,0,0
2022,1,4,4,30,0,0
2022,1,4,5,30,0,0
2022,1,4,6,30,0,0
2022,1,4,7,30,0,0
2022,1,4,8,30,0,0
2022,1,4,9,30,0,0
2022,1,4,10,30,0,0
2022,1,4,11,30,0,0
2022,1,4,12,30,9,0
2022,1,4,13,30,60,343
2022,1,4,14,30,105,514
2022,1,4,15,30,139,539
2022,1,4,16,30,154,553
2022,1,4,17,30,153,556
2022,1,4,18,30,129,564
2022,1,4,19,30,130,320
2022,1,4,20,30,78,222
2022,1,4,21,30,11,1
2022,1,4,22,30,0,0
2022,1,4,23,30,0,0
2022,1,5,0,30,0,0
2022,1,5,1,30,0,0
2022,1,5,2,30,0,0
2022,1,5,3,30,0,0
2022,1,5,4,30,0,0
2022,1,5,5,30,0,0
2022,1,5,6,30,0,0
2022,1,5,7,30,0,0
2022,1,5,8,30,0,0
2022,1,5,9,30,0,0
2022,1,5,10,30,0,0
2022,1,5,11,30,0,0
2022,1,5,12,30,5,0
2022,1,5,13,30,26,0
2022,1,5,14,30,17,0
2022,1,5,15,30,18,0
2022,1,5,16,30,33,0
2022,1,5,17,30,86,4
2022,1,5,18,30,86,2
2022,1,5,19,30,100,11
2022,1,5,20,30,40,1
2022,1,5,21,30,5,0
2022,1,5,22,30,0,0
2022,1,5,23,30,0,0
2022,1,6,0,30,0,0
2022,1,6,1,30,0,0
2022,1,6,2,30,0,0
2022,1,6,3,30,0,0
2022,1,6,4,30,0,0
2022,1,6,5,30,0,0
2022,1,6,6,30,0,0
2022,1,6,7,30,0,0
2022,1,6,8,30,0,0
2022,1,6,9,30,0,0
2022,1,6,10,30,0,0
2022,1,6,11,30,0,0
2022,1,6,12,30,6,0
2022,1,6,13,30,66,9
2022,1,6,14,30,135,42
2022,1,6,15,30,130,15
2022,1,6,16,30,118,5
2022,1,6,17,30,185,136
2022,1,6,18,30,142,489
2022,1,6,19,30,137,239
2022,1,6,20,30,88,59
2022,1,6,21,30,14,2
2022,1,6,22,30,0,0
2022,1,6,23,30,0,0
2022,1,7,0,30,0,0
2022,1,7,1,30,0,0
2022,1,7,2,30,0,0
