Year,Month,Day,Hour,Minute,DHI,DNI
2015,1,1,0,30,0,0
2015,1,1,1,30,0,0
2015,1,1,2,30,0,0
2015,1,1,3,30,0,0
2015,1,1,4,30,0,0
2015,1,1,5,30,0,0
2015,1,1,6,30,0,0
2015,1,1,7,30,0,0
2015,1,1,8,30,0,0
2015,1,1,9,30,0,0
2015,1,1,10,30,0,0
2015,1,1,11,30,0,0
2015,1,1,12,30,0,0
2015,1,1,13,30,39,662
2015,1,1,14,30,53,827
2015,1,1,15,30,59,902
2015,1,1,16,30,62,934
2015,1,1,17,30,61,930
2015,1,1,18,30,61,898
2015,1,1,19,30,52,838
2015,1,1,20,30,40,698
2015,1,1,21,30,15,321
2015,1,1,22,30,0,0
2015,1,1,23,30,0,0
2015,1,2,0,30,0,0
2015,1,2,1,30,0,0
2015,1,2,2,30,0,0
2015,1,2,3,30,0,0
2015,1,2,4,30,0,0
2015,1,2,5,30,0,0
2015,1,2,6,30,0,0
2015,1,2,7,30,0,0
2015,1,2,8,30,0,0
2015,1,2,9,30,0,0
2015,1,2,10,30,0,0
2015,1,2,11,30,0,0
2015,1,2,12,30,0,0
2015,1,2,13,30,90,16
2015,1,2,14,30,175,91
2015,1,2,15,30,234,140
2015,1,2,16,30,269,102
2015,1,2,17,30,170,469
2015,1,2,18,30,154,483
2015,1,2,19,30,181,171
2015,1,2,20,30,103,166
2015,1,2,21,30,14,0
2015,1,2,22,30,0,0
2015,1,2,23,30,0,0
2015,1,3,0,30,0,0
2015,1,3,1,30,0,0
2015,1,3,2,30,0,0
2015,1,3,3,30,0,0
2015,1,3,4,30,0,0
2015,1,3,5,30,0,0
2015,1,3,6,30,0,0
2015,1,3,7,30,0,0
2015,1,3,8,30,0,0
2015,1,3,9,30,0,0
2015,1,3,10,30,0,0
2015,1,3,11,30,0,0
2015,1,3,12,30,0,0
2015,1,3,13,30,22,0
2015,1,3,14,30,59,0
2015,1,3,15,30,92,3
2015,1,3,16,30,156,1
2015,1,3,17,30,50,0
2015,1,3,18,30,45,0
2015,1,3,19,30,5,0
2015,1,3,20,30,22,0
2015,1,3,21,30,2,0
2015,1,3,22,30,0,0
2015,1,3,23,30,0,0
2015,1,4,0,30,0,0
2015,1,4,1,30,0,0
2015,1,4,2,30,0,0
2015,1,4,3,30,0,0
2015,1,4,4,30,0,0
2015,1,4,5,30,0,0
2015,1,4,6,30,0,0
2015,1,4,7,30,0,0
2015,1,4,8,30,0,0
2015,1,4,9,30,0,0
2015,1,4,10,30,0,0
2015,1,4,11,30,0,0
2015,1,4,12,30,0,0
2015,1,4,13,30,3,0
2015,1,4,14,30,78,4
2015,1,4,15,30,67,1
2015,1,4,16,30,74,1
2015,1,4,17,30,16,0
2015,1,4,18,30,70,1
2015,1,4,19,30,113,11
2015,1,4,20,30,28,0
2015,1,4,21,30,5,0
2015,1,4,22,30,0,0
2015,1,4,23,30,0,0
2015,1,5,0,30,0,0
2015,1,5,1,30,0,0
2015,1,5,2,30,0,0
2015,1,5,3,30,0,0
2015,1,5,4,30,0,0
2015,1,5,5,30,0,0
2015,1,5,6,30,0,0
2015,1,5,7,30,0,0
2015,1,5,8,30,0,0
2015,1,5,9,30,0,0
2015,1,5,10,30,0,0
2015,1,5,11,30,0,0
2015,1,5,12,30,0,0
2015,1,5,13,30,43,622
2015,1,5,14,30,169,183
2015,1,5,15,30,202,17
2015,1,5,16,30,53,0
2015,1,5,17,30,64,945
2015,1,5,18,30,61,920
2015,1,5,19,30,53,860
2015,1,5,20,30,39,737
2015,1,5,21,30,16,395
2015,1,5,22,30,0,0
2015,1,5,23,30,0,0
2015,1,6,0,30,0,0
2015,1,6,1,30,0,0
2015,1,6,2,30,0,0
2015,1,6,3,30,0,0
2015,1,6,4,30,0,0
2015,1,6,5,30,0,0
2015,1,6,6,30,0,0
2015,1,6,7,30,0,0
2015,1,6,8,30,0,0
2015,1,6,9,30,0,0
2015,1,6,10,30,0,0
2015,1,6,11,30,0,0
2015,1,6,12,30,0,0
2015,1,6,13,30,46,0
2015,1,6,14,30,63,0
2015,1,6,15,30,231,26
2015,1,6,16,30,142,1
2015,1,6,17,30,46,0
2015,1,6,18,30,37,0
2015,1,6,19,30,62,0
2015,1,6,20,30,83,3
2015,1,6,21,30,23,146
2015,1,6,22,30,0,0
2015,1,6,23,30,0,0
2015,1,7,0,30,0,0
2015,1,7,1,30,0,0
2015,1,7,2,30,0,0
2015,1,7,3,30,0,0
2015,1,7,4,30,0,0
2015,1,7,5,30,0,0
2015,1,7,6,30,0,0
2015,1,7,7,30,0,0
2015,1,7,8,30,0,0
2015,1,7,9,30,0,0
2015,1,7,10,30,0,0
2015,1,7,11,30,0,0
2015,1,7,12,30,0,0
2015,1,7,13,30,47,634
2015,1,7,14,30,65,823
2015,1,7,15,30,97,0
2015,1,7,16,30,275,3
2015,1,7,17,30,332,27
2015,1,7,18,30,288,18
2015,1,7,19,30,151,0
2015,1,7,20,30,90,4
2015,1,7,21,30,23,277
2015,1,7,22,30,0,0
2015,1,7,23,30,0,0
2015,1,8,0,30,0,0
2015,1,8,1,30,0,0
2015,1,8,2,30,0,0
2015,1,8,3,30,0,0
2015,1,8,4,30,0,0
2015,1,8,5,30,0,0
2015,1,8,6,30,0,0
2015,1,8,7,30,0,0
2015,1,8,8,30,0,0
2015,1,8,9,30,0,0
2015,1,8,10,30,0,0
2015,1,8,11,30,0,0
2015,1,8,12,30,0,0
2015,1,8,13,30,44,673
2015,1,8,14,30,64,842
2015,1,8,15,30,81,884
2015,1,8,16,30,88,917
2015,1,8,17,30,88,925
2015,1,8,18,30,79,899
2015,1,8,19,30,67,841
2015,1,8,20,30,127,154
2015,1,8,21,30,20,363
2015,1,8,22,30,0,0
2015,1,8,23,30,0,0
2015,1,9,0,30,0,0
2015,1,9,1,30,0,0
2015,1,9,2,30,0,0
2015,1,9,3,30,0,0
2015,1,9,4,30,0,0
2015,1,9,5,30,0,0
2015,1,9,6,30,0,0
2015,1,9,7,30,0,0
2015,1,9,8,30,0,0
2015,1,9,9,30,0,0
2015,1,9,10,30,0,0
2015,1,9,11,30,0,0
2015,1,9,12,30,0,0
2015,1,9,13,30,41,0
2015,1,9,14,30,112,4
2015,1,9,15,30,218,26
2015,1,9,16,30,212,477
2015,1,9,17,30,278,56
2015,1,9,18,30,316,51
2015,1,9,19,30,211,237
2015,1,9,20,30,52,710
2015,1,9,21,30,21,394
2015,1,9,22,30,0,0
2015,1,9,23,30,0,0
2015,1,10,0,30,0,0
2015,1,10,1,30,0,0
2015,1,10,2,30,0,0
2015,1,10,3,30,0,0
2015,1,10,4,30,0,0
2015,1,10,5,30,0,0
2015,1,10,6,30,0,0
2015,1,10,7,30,0,0
2015,1,10,8,30,0,0
2015,1,10,9,30,0,0
2015,1,10,10,30,0,0
2015,1,10,11,30,0,0
2015,1,10,12,30,0,0
2015,1,10,13,30,38,735
2015,1,10,14,30,50,894
2015,1,10,15,30,58,963
2015,1,10,16,30,61,994
2015,1,10,17,30,61,975
2015,1,10,18,30,61,950
2015,1,10,19,30,55,892
2015,1,10,20,30,44,765
2015,1,10,21,30,21,433
2015,1,10,22,30,0,0
2015,1,10,23,30,0,0
2015,1,11,0,30,0,0
2015,1,11,1,30,0,0
2015,1,11,2,30,0,0
2015,1,11,3,30,0,0
2015,1,11,4,30,0,0
2015,1,11,5,30,0,0
2015,1,11,6,30,0,0
2015,1,11,7,30,0,0
2015,1,11,8,30,0,0
2015,1,11,9,30,0,0
2015,1,11,10,30,0,0
2015,1,11,11,30,0,0
2015,1,11,12,30,0,0
2015,1,11,13,30,76,2
2015,1,11,14,30,55,817
2015,1,11,15,30,70,866
2015,1,11,16,30,71,910
2015,1,11,17,30,279,183
2015,1,11,18,30,64,898
2015,1,11,19,30,202,108
2015,1,11,20,30,44,708
2015,1,11,21,30,26,1
2015,1,11,22,30,0,0
2015,1,11,23,30,0,0
2015,1,12,0,30,0,0
2015,1,12,1,30,0,0
2015,1,12,2,30,0,0
2015,1,12,3,30,0,0
2015,1,12,4,30,0,0
2015,1,12,5,30,0,0
2015,1,12,6,30,0,0
2015,1,12,7,30,0,0
2015,1,12,8,30,0,0
2015,1,12,9,30,0,0
2015,1,12,10,30,0,0
2015,1,12,11,30,0,0
2015,1,12,12,30,0,0
2015,1,12,13,30,8,0
2015,1,12,14,30,34,0
2015,1,12,15,30,42,0
2015,1,12,16,30,49,0
2015,1,12,17,30,80,1
2015,1,12,18,30,81,1
2015,1,12,19,30,57,1
2015,1,12,20,30,35,0
2015,1,12,21,30,4,0
2015,1,12,22,30,0,0
2015,1,12,23,30,0,0
2015,1,13,0,30,0,0
2015,1,13,1,30,0,0
2015,1,13,2,30,0,0
2015,1,13,3,30,0,0
2015,1,13,4,30,0,0
2015,1,13,5,30,0,0
2015,1,13,6,30,0,0
2015,1,13,7,30,0,0
2015,1,13,8,30,0,0
2015,1,13,9,30,0,0
2015,1,13,10,30,0,0
2015,1,13,11,30,0,0
2015,1,13,12,30,11,219
2015,1,13,13,30,38,702
2015,1,13,14,30,49,863
2015,1,13,15,30,59,925
2015,1,13,16,30,62,957
2015,1,13,17,30,63,959
2015,1,13,18,30,61,938
2015,1,13,19,30,213,92
2015,1,13,20,30,122,117
2015,1,13,21,30,21,459
2015,1,13,22,30,0,0
2015,1,13,23,30,0,0
2015,1,14,0,30,0,0
2015,1,14,1,30,0,0
2015,1,14,2,30,0,0
2015,1,14,3,30,0,0
2015,1,14,4,30,0,0
2015,1,14,5,30,0,0
2015,1,14,6,30,0,0
2015,1,14,7,30,0,0
2015,1,14,8,30,0,0
2015,1,14,9,30,0,0
2015,1,14,10,30,0,0
2015,1,14,11,30,0,0
2015,1,14,12,30,3,0
2015,1,14,13,30,58,5
2015,1,14,14,30,79,0
2015,1,14,15,30,82,0
2015,1,14,16,30,151,12
2015,1,14,17,30,232,25
2015,1,14,18,30,232,31
2015,1,14,19,30,131,2
2015,1,14,20,30,60,0
2015,1,14,21,30,16,0
2015,1,14,22,30,0,0
2015,1,14,23,30,0,0
2015,1,15,0,30,0,0
2015,1,15,1,30,0,0
2015,1,15,2,30,0,0
2015,1,15,3,30,0,0
2015,1,15,4,30,0,0
2015,1,15,5,30,0,0
2015,1,15,6,30,0,0
2015,1,15,7,30,0,0
2015,1,15,8,30,0,0
2015,1,15,9,30,0,0
2015,1,15,10,30,0,0
2015,1,15,11,30,0,0
2015,1,15,12,30,11,83
2015,1,15,13,30,46,0
2015,1,15,14,30,74,0
2015,1,15,15,30,132,0
2015,1,15,16,30,93,0
2015,1,15,17,30,191,2
2015,1,15,18,30,126,0
2015,1,15,19,30,211,134
2015,1,15,20,30,58,651
2015,1,15,21,30,26,345
2015,1,15,22,30,0,0
2015,1,15,23,30,0,0
2015,1,16,0,30,0,0
2015,1,16,1,30,0,0
2015,1,16,2,30,0,0
2015,1,16,3,30,0,0
2015,1,16,4,30,0,0
2015,1,16,5,30,0,0
