Year,Month,Day,Hour,Minute,DHI,DNI
2016,1,1,0,30,0,0
2016,1,1,1,30,0,0
2016,1,1,2,30,0,0
2016,1,1,3,30,0,0
2016,1,1,4,30,0,0
2016,1,1,5,30,0,0
2016,1,1,6,30,0,0
2016,1,1,7,30,0,0
2016,1,1,8,30,0,0
2016,1,1,9,30,0,0
2016,1,1,10,30,0,0
2016,1,1,11,30,0,0
2016,1,1,12,30,0,0
2016,1,1,13,30,0,0
2016,1,1,14,30,0,0
2016,1,1,15,30,45,546
2016,1,1,16,30,68,748
2016,1,1,17,30,81,840
2016,1,1,18,30,88,885
2016,1,1,19,30,91,897
2016,1,1,20,30,90,882
2016,1,1,21,30,80,849
2016,1,1,22,30,69,754
2016,1,1,23,30,48,551
2016,1,2,0,30,0,0
2016,1,2,1,30,0,0
2016,1,2,2,30,0,0
2016,1,2,3,30,0,0
2016,1,2,4,30,0,0
2016,1,2,5,30,0,0
2016,1,2,6,30,0,0
2016,1,2,7,30,0,0
2016,1,2,8,30,0,0
2016,1,2,9,30,0,0
2016,1,2,10,30,0,0
2016,1,2,11,30,0,0
2016,1,2,12,30,0,0
2016,1,2,13,30,0,0
2016,1,2,14,30,0,0
2016,1,2,15,30,91,74
2016,1,2,16,30,68,749
2016,1,2,17,30,79,850
2016,1,2,18,30,78,913
2016,1,2,19,30,79,929
2016,1,2,20,30,77,919
2016,1,2,21,30,75,867
2016,1,2,22,30,63,785
2016,1,2,23,30,44,595
2016,1,3,0,30,0,0
2016,1,3,1,30,0,0
2016,1,3,2,30,0,0
2016,1,3,3,30,0,0
2016,1,3,4,30,0,0
2016,1,3,5,30,0,0
2016,1,3,6,30,0,0
2016,1,3,7,30,0,0
2016,1,3,8,30,0,0
2016,1,3,9,30,0,0
2016,1,3,10,30,0,0
2016,1,3,11,30,0,0
2016,1,3,12,30,0,0
2016,1,3,13,30,0,0
2016,1,3,14,30,0,0
2016,1,3,15,30,42,562
2016,1,3,16,30,62,770
2016,1,3,17,30,72,863
2016,1,3,18,30,79,902
2016,1,3,19,30,244,562
2016,1,3,20,30,216,450
2016,1,3,21,30,263,195
2016,1,3,22,30,176,99
2016,1,3,23,30,78,2
2016,1,4,0,30,0,0
2016,1,4,1,30,0,0
2016,1,4,2,30,0,0
2016,1,4,3,30,0,0
2016,1,4,4,30,0,0
2016,1,4,5,30,0,0
2016,1,4,6,30,0,0
2016,1,4,7,30,0,0
2016,1,4,8,30,0,0
2016,1,4,9,30,0,0
2016,1,4,10,30,0,0
2016,1,4,11,30,0,0
2016,1,4,12,30,0,0
2016,1,4,13,30,0,0
2016,1,4,14,30,0,0
2016,1,4,15,30,89,54
2016,1,4,16,30,90,4
2016,1,4,17,30,235,73
2016,1,4,18,30,75,0
2016,1,4,19,30,144,3
2016,1,4,20,30,92,1
2016,1,4,21,30,109,2
2016,1,4,22,30,128,2
2016,1,4,23,30,39,1
2016,1,5,0,30,0,0
2016,1,5,1,30,0,0
2016,1,5,2,30,0,0
2016,1,5,3,30,0,0
2016,1,5,4,30,0,0
2016,1,5,5,30,0,0
2016,1,5,6,30,0,0
2016,1,5,7,30,0,0
2016,1,5,8,30,0,0
2016,1,5,9,30,0,0
2016,1,5,10,30,0,0
2016,1,5,11,30,0,0
2016,1,5,12,30,0,0
2016,1,5,13,30,0,0
2016,1,5,14,30,0,0
2016,1,5,15,30,51,447
2016,1,5,16,30,77,670
2016,1,5,17,30,192,47
2016,1,5,18,30,175,1
2016,1,5,19,30,165,0
2016,1,5,20,30,13,0
2016,1,5,21,30,47,0
2016,1,5,22,30,58,0
2016,1,5,23,30,22,0
2016,1,6,0,30,0,0
2016,1,6,1,30,0,0
2016,1,6,2,30,0,0
2016,1,6,3,30,0,0
2016,1,6,4,30,0,0
2016,1,6,5,30,0,0
2016,1,6,6,30,0,0
2016,1,6,7,30,0,0
2016,1,6,8,30,0,0
2016,1,6,9,30,0,0
2016,1,6,10,30,0,0
2016,1,6,11,30,0,0
2016,1,6,12,30,0,0
2016,1,6,13,30,0,0
2016,1,6,14,30,0,0
2016,1,6,15,30,44,549
2016,1,6,16,30,67,748
2016,1,6,17,30,71,864
2016,1,6,18,30,311,184
2016,1,6,19,30,331,188
2016,1,6,20,30,210,31
2016,1,6,21,30,121,3
2016,1,6,22,30,181,205
2016,1,6,23,30,89,3
2016,1,7,0,30,0,0
2016,1,7,1,30,0,0
2016,1,7,2,30,0,0
2016,1,7,3,30,0,0
2016,1,7,4,30,0,0
2016,1,7,5,30,0,0
2016,1,7,6,30,0,0
2016,1,7,7,30,0,0
2016,1,7,8,30,0,0
2016,1,7,9,30,0,0
2016,1,7,10,30,0,0
2016,1,7,11,30,0,0
2016,1,7,12,30,0,0
2016,1,7,13,30,0,0
2016,1,7,14,30,0,0
2016,1,7,15,30,34,0
2016,1,7,16,30,25,0
2016,1,7,17,30,41,0
2016,1,7,18,30,96,840
2016,1,7,19,30,277,121
2016,1,7,20,30,104,825
2016,1,7,21,30,215,82
2016,1,7,22,30,30,0
2016,1,7,23,30,37,0
2016,1,8,0,30,0,0
2016,1,8,1,30,0,0
2016,1,8,2,30,0,0
2016,1,8,3,30,0,0
2016,1,8,4,30,0,0
2016,1,8,5,30,0,0
2016,1,8,6,30,0,0
2016,1,8,7,30,0,0
2016,1,8,8,30,0,0
2016,1,8,9,30,0,0
2016,1,8,10,30,0,0
2016,1,8,11,30,0,0
2016,1,8,12,30,0,0
2016,1,8,13,30,0,0
2016,1,8,14,30,0,0
2016,1,8,15,30,38,0
2016,1,8,16,30,166,13
2016,1,8,17,30,240,28
2016,1,8,18,30,221,2
2016,1,8,19,30,318,51
2016,1,8,20,30,326,188
2016,1,8,21,30,110,755
2016,1,8,22,30,199,29
2016,1,8,23,30,102,10
2016,1,9,0,30,0,0
2016,1,9,1,30,0,0
2016,1,9,2,30,0,0
2016,1,9,3,30,0,0
2016,1,9,4,30,0,0
2016,1,9,5,30,0,0
2016,1,9,6,30,0,0
2016,1,9,7,30,0,0
2016,1,9,8,30,0,0
2016,1,9,9,30,0,0
2016,1,9,10,30,0,0
2016,1,9,11,30,0,0
2016,1,9,12,30,0,0
2016,1,9,13,30,0,0
2016,1,9,14,30,0,0
2016,1,9,15,30,44,541
2016,1,9,16,30,66,756
2016,1,9,17,30,78,853
2016,1,9,18,30,92,877
2016,1,9,19,30,93,895
2016,1,9,20,30,91,886
2016,1,9,21,30,84,847
2016,1,9,22,30,72,762
2016,1,9,23,30,51,580
2016,1,10,0,30,0,0
2016,1,10,1,30,0,0
2016,1,10,2,30,0,0
2016,1,10,3,30,0,0
2016,1,10,4,30,0,0
2016,1,10,5,30,0,0
2016,1,10,6,30,0,0
2016,1,10,7,30,0,0
2016,1,10,8,30,0,0
2016,1,10,9,30,0,0
2016,1,10,10,30,0,0
2016,1,10,11,30,0,0
2016,1,10,12,30,0,0
2016,1,10,13,30,0,0
2016,1,10,14,30,0,0
2016,1,10,15,30,55,0
2016,1,10,16,30,108,1
2016,1,10,17,30,209,41
2016,1,10,18,30,327,113
2016,1,10,19,30,333,69
2016,1,10,20,30,331,167
