Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2013,1,1,0,30,0,0,0
2013,1,1,1,30,0,0,0
2013,1,1,2,30,0,0,0
2013,1,1,3,30,0,0,0
2013,1,1,4,30,0,0,0
2013,1,1,5,30,0,0,0
2013,1,1,6,30,0,0,0
2013,1,1,7,30,0,0,0
2013,1,1,8,30,0,0,0
2013,1,1,9,30,0,0,0
2013,1,1,10,30,0,0,0
2013,1,1,11,30,0,0,0
2013,1,1,12,30,0,0,0
2013,1,1,13,30,28,0,28
2013,1,1,14,30,27,0,27
2013,1,1,15,30,85,0,85
2013,1,1,16,30,82,0,82
2013,1,1,17,30,124,0,124
2013,1,1,18,30,112,0,112
2013,1,1,19,30,74,0,74
2013,1,1,20,30,89,67,105
2013,1,1,21,30,27,0,27
2013,1,1,22,30,0,0,0
2013,1,1,23,30,0,0,0
2013,1,2,0,30,0,0,0
2013,1,2,1,30,0,0,0
2013,1,2,2,30,0,0,0
2013,1,2,3,30,0,0,0
2013,1,2,4,30,0,0,0
2013,1,2,5,30,0,0,0
2013,1,2,6,30,0,0,0
2013,1,2,7,30,0,0,0
2013,1,2,8,30,0,0,0
2013,1,2,9,30,0,0,0
2013,1,2,10,30,0,0,0
2013,1,2,11,30,0,0,0
2013,1,2,12,30,0,0,0
2013,1,2,13,30,39,244,67
2013,1,2,14,30,80,0,80
2013,1,2,15,30,153,93,187
2013,1,2,16,30,177,286,300
2013,1,2,17,30,199,141,262
2013,1,2,18,30,77,927,468
2013,1,2,19,30,100,521,280
2013,1,2,20,30,73,387,163
2013,1,2,21,30,30,202,47
2013,1,2,22,30,0,0,0
2013,1,2,23,30,0,0,0
2013,1,3,0,30,0,0,0
2013,1,3,1,30,0,0,0
2013,1,3,2,30,0,0,0
2013,1,3,3,30,0,0,0
2013,1,3,4,30,0,0,0
2013,1,3,5,30,0,0,0
2013,1,3,6,30,0,0,0
2013,1,3,7,30,0,0,0
2013,1,3,8,30,0,0,0
2013,1,3,9,30,0,0,0
2013,1,3,10,30,0,0,0
2013,1,3,11,30,0,0,0
2013,1,3,12,30,0,0,0
2013,1,3,13,30,38,473,93
2013,1,3,14,30,64,718,249
2013,1,3,15,30,80,824,381
2013,1,3,16,30,86,876,464
2013,1,3,17,30,86,895,490
2013,1,3,18,30,81,882,454
2013,1,3,19,30,132,316,242
2013,1,3,20,30,91,54,103
2013,1,3,21,30,32,387,66
2013,1,3,22,30,0,0,0
2013,1,3,23,30,0,0,0
2013,1,4,0,30,0,0,0
2013,1,4,1,30,0,0,0
2013,1,4,2,30,0,0,0
2013,1,4,3,30,0,0,0
2013,1,4,4,30,0,0,0
2013,1,4,5,30,0,0,0
2013,1,4,6,30,0,0,0
2013,1,4,7,30,0,0,0
2013,1,4,8,30,0,0,0
2013,1,4,9,30,0,0,0
2013,1,4,10,30,0,0,0
2013,1,4,11,30,0,0,0
2013,1,4,12,30,0,0,0
2013,1,4,13,30,25,0,25
2013,1,4,14,30,43,0,43
2013,1,4,15,30,144,35,157
2013,1,4,16,30,147,3,148
2013,1,4,17,30,201,160,273
2013,1,4,18,30,175,51,197
2013,1,4,19,30,121,402,262
2013,1,4,20,30,57,708,226
2013,1,4,21,30,31,424,70
2013,1,4,22,30,0,0,0
2013,1,4,23,30,0,0,0
2013,1,5,0,30,0,0,0
2013,1,5,1,30,0,0,0
2013,1,5,2,30,0,0,0
2013,1,5,3,30,0,0,0
2013,1,5,4,30,0,0,0
2013,1,5,5,30,0,0,0
2013,1,5,6,30,0,0,0
2013,1,5,7,30,0,0,0
2013,1,5,8,30,0,0,0
2013,1,5,9,30,0,0,0
2013,1,5,10,30,0,0,0
2013,1,5,11,30,0,0,0
2013,1,5,12,30,0,0,0
2013,1,5,13,30,37,499,96
2013,1,5,14,30,84,0,84
2013,1,5,15,30,155,105,194
2013,1,5,16,30,89,872,468
2013,1,5,17,30,89,884,491
2013,1,5,18,30,84,868,455
2013,1,5,19,30,74,811,361
2013,1,5,20,30,81,0,81
2013,1,5,21,30,31,425,71
2013,1,5,22,30,0,0,0
2013,1,5,23,30,0,0,0
2013,1,6,0,30,0,0,0
2013,1,6,1,30,0,0,0
2013,1,6,2,30,0,0,0
2013,1,6,3,30,0,0,0
2013,1,6,4,30,0,0,0
2013,1,6,5,30,0,0,0
2013,1,6,6,30,0,0,0
2013,1,6,7,30,0,0,0
2013,1,6,8,30,0,0,0
2013,1,6,9,30,0,0,0
2013,1,6,10,30,0,0,0
2013,1,6,11,30,0,0,0
2013,1,6,12,30,0,0,0
2013,1,6,13,30,25,0,25
2013,1,6,14,30,64,0,64
2013,1,6,15,30,127,1,127
2013,1,6,16,30,137,0,137
2013,1,6,17,30,33,0,33
2013,1,6,18,30,116,0,116
2013,1,6,19,30,105,0,105
2013,1,6,20,30,33,0,33
2013,1,6,21,30,25,0,25
2013,1,6,22,30,0,0,0
2013,1,6,23,30,0,0,0
2013,1,7,0,30,0,0,0
2013,1,7,1,30,0,0,0
2013,1,7,2,30,0,0,0
2013,1,7,3,30,0,0,0
2013,1,7,4,30,0,0,0
2013,1,7,5,30,0,0,0
2013,1,7,6,30,0,0,0
2013,1,7,7,30,0,0,0
2013,1,7,8,30,0,0,0
2013,1,7,9,30,0,0,0
2013,1,7,10,30,0,0,0
2013,1,7,11,30,0,0,0
2013,1,7,12,30,0,0,0
2013,1,7,13,30,30,0,30
2013,1,7,14,30,71,0,71
2013,1,7,15,30,144,30,155
2013,1,7,16,30,79,0,79
2013,1,7,17,30,119,0,119
2013,1,7,18,30,160,16,167
2013,1,7,19,30,106,0,106
2013,1,7,20,30,95,50,107
2013,1,7,21,30,37,408,78
2013,1,7,22,30,0,0,0
2013,1,7,23,30,0,0,0
2013,1,8,0,30,0,0,0
2013,1,8,1,30,0,0,0
2013,1,8,2,30,0,0,0
2013,1,8,3,30,0,0,0
2013,1,8,4,30,0,0,0
2013,1,8,5,30,0,0,0
2013,1,8,6,30,0,0,0
2013,1,8,7,30,0,0,0
2013,1,8,8,30,0,0,0
2013,1,8,9,30,0,0,0
2013,1,8,10,30,0,0,0
2013,1,8,11,30,0,0,0
2013,1,8,12,30,0,0,0
2013,1,8,13,30,41,200,64
2013,1,8,14,30,66,540,208
2013,1,8,15,30,125,432,285
2013,1,8,16,30,100,667,393
2013,1,8,17,30,151,504,383
2013,1,8,18,30,142,488,354
2013,1,8,19,30,123,413,273
2013,1,8,20,30,57,752,244
2013,1,8,21,30,36,81,45
2013,1,8,22,30,0,0,0
2013,1,8,23,30,0,0,0
2013,1,9,0,30,0,0,0
2013,1,9,1,30,0,0,0
2013,1,9,2,30,0,0,0
2013,1,9,3,30,0,0,0
2013,1,9,4,30,0,0,0
2013,1,9,5,30,0,0,0
2013,1,9,6,30,0,0,0
2013,1,9,7,30,0,0,0
2013,1,9,8,30,0,0,0
2013,1,9,9,30,0,0,0
2013,1,9,10,30,0,0,0
2013,1,9,11,30,0,0,0
2013,1,9,12,30,0,0,0
2013,1,9,13,30,29,0,29
2013,1,9,14,30,68,0,68
2013,1,9,15,30,131,5,133
2013,1,9,16,30,49,0,49
2013,1,9,17,30,84,0,84
2013,1,9,18,30,158,415,340
2013,1,9,19,30,132,366,265
2013,1,9,20,30,94,232,152
2013,1,9,21,30,32,490,84
2013,1,9,22,30,0,0,0
2013,1,9,23,30,0,0,0
2013,1,10,0,30,0,0,0
2013,1,10,1,30,0,0,0
2013,1,10,2,30,0,0,0
2013,1,10,3,30,0,0,0
2013,1,10,4,30,0,0,0
2013,1,10,5,30,0,0,0
2013,1,10,6,30,0,0,0
2013,1,10,7,30,0,0,0
2013,1,10,8,30,0,0,0
2013,1,10,9,30,0,0,0
2013,1,10,10,30,0,0,0
2013,1,10,11,30,0,0,0
2013,1,10,12,30,0,0,0
2013,1,10,13,30,42,181,63
2013,1,10,14,30,51,795,261
2013,1,10,15,30,132,393,279
2013,1,10,16,30,175,32,190
2013,1,10,17,30,157,4,159
2013,1,10,18,30,193,130,250
2013,1,10,19,30,154,86,186
2013,1,10,20,30,100,69,117
2013,1,10,21,30,38,28,41
2013,1,10,22,30,0,0,0
2013,1,10,23,30,0,0,0
2013,1,11,0,30,0,0,0
2013,1,11,1,30,0,0,0
2013,1,11,2,30,0,0,0
2013,1,11,3,30,0,0,0
2013,1,11,4,30,0,0,0
2013,1,11,5,30,0,0,0
2013,1,11,6,30,0,0,0
2013,1,11,7,30,0,0,0
2013,1,11,8,30,0,0,0
2013,1,11,9,30,0,0,0
2013,1,11,10,30,0,0,0
2013,1,11,11,30,0,0,0
2013,1,11,12,30,0,0,0
2013,1,11,13,30,11,0,11
2013,1,11,14,30,34,0,34
2013,1,11,15,30,16,0,16
2013,1,11,16,30,47,0,47
2013,1,11,17,30,166,10,170
2013,1,11,18,30,54,0,54
2013,1,11,19,30,79,0,79
2013,1,11,20,30,67,0,67
2013,1,11,21,30,40,64,47
2013,1,11,22,30,0,0,0
2013,1,11,23,30,0,0,0
2013,1,12,0,30,0,0,0
2013,1,12,1,30,0,0,0
2013,1,12,2,30,0,0,0
2013,1,12,3,30,0,0,0
2013,1,12,4,30,0,0,0
2013,1,12,5,30,0,0,0
2013,1,12,6,30,0,0,0
2013,1,12,7,30,0,0,0
2013,1,12,8,30,0,0,0
2013,1,12,9,30,0,0,0
2013,1,12,10,30,0,0,0
2013,1,12,11,30,0,0,0
2013,1,12,12,30,0,0,0
2013,1,12,13,30,44,64,51
2013,1,12,14,30,86,393,191
2013,1,12,15,30,160,97,197
2013,1,12,16,30,195,208,288
2013,1,12,17,30,160,483,387
2013,1,12,18,30,179,320,322
2013,1,12,19,30,158,159,218
2013,1,12,20,30,104,101,130
2013,1,12,21,30,29,0,29
2013,1,12,22,30,0,0,0
2013,1,12,23,30,0,0,0
2013,1,13,0,30,0,0,0
2013,1,13,1,30,0,0,0
2013,1,13,2,30,0,0,0
2013,1,13,3,30,0,0,0
2013,1,13,4,30,0,0,0
2013,1,13,5,30,0,0,0
2013,1,13,6,30,0,0,0
2013,1,13,7,30,0,0,0
2013,1,13,8,30,0,0,0
2013,1,13,9,30,0,0,0
2013,1,13,10,30,0,0,0
2013,1,13,11,30,0,0,0
2013,1,13,12,30,0,0,0
2013,1,13,13,30,13,0,13
2013,1,13,14,30,107,102,135
2013,1,13,15,30,161,101,200
2013,1,13,16,30,138,0,138
2013,1,13,17,30,212,159,287
2013,1,13,18,30,155,6,158
2013,1,13,19,30,147,300,260
2013,1,13,20,30,74,0,74
2013,1,13,21,30,26,0,26
