Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2011,1,1,0,30,0,0,0
2011,1,1,1,30,0,0,0
2011,1,1,2,30,0,0,0
2011,1,1,3,30,0,0,0
2011,1,1,4,30,0,0,0
2011,1,1,5,30,0,0,0
2011,1,1,6,30,0,0,0
2011,1,1,7,30,0,0,0
2011,1,1,8,30,0,0,0
2011,1,1,9,30,0,0,0
2011,1,1,10,30,0,0,0
2011,1,1,11,30,0,0,0
2011,1,1,12,30,0,0,0
2011,1,1,13,30,0,0,0
2011,1,1,14,30,0,0,0
2011,1,1,15,30,0,0,0
2011,1,1,16,30,24,439,61
2011,1,1,17,30,78,30,84
2011,1,1,18,30,111,14,115
2011,1,1,19,30,146,71,171
2011,1,1,20,30,120,0,120
2011,1,1,21,30,116,2,117
2011,1,1,22,30,73,0,73
2011,1,1,23,30,49,272,89
2011,1,2,0,30,0,0,0
2011,1,2,1,30,0,0,0
2011,1,2,2,30,0,0,0
2011,1,2,3,30,0,0,0
2011,1,2,4,30,0,0,0
2011,1,2,5,30,0,0,0
2011,1,2,6,30,0,0,0
2011,1,2,7,30,0,0,0
2011,1,2,8,30,0,0,0
2011,1,2,9,30,0,0,0
2011,1,2,10,30,0,0,0
2011,1,2,11,30,0,0,0
2011,1,2,12,30,0,0,0
2011,1,2,13,30,0,0,0
2011,1,2,14,30,0,0,0
2011,1,2,15,30,0,0,0
2011,1,2,16,30,25,0,25
2011,1,2,17,30,76,224,123
2011,1,2,18,30,81,528,241
2011,1,2,19,30,95,566,296
2011,1,2,20,30,55,849,366
2011,1,2,21,30,54,819,327
2011,1,2,22,30,48,749,243
2011,1,2,23,30,36,588,123
2011,1,3,0,30,0,0,0
2011,1,3,1,30,0,0,0
2011,1,3,2,30,0,0,0
2011,1,3,3,30,0,0,0
2011,1,3,4,30,0,0,0
2011,1,3,5,30,0,0,0
2011,1,3,6,30,0,0,0
2011,1,3,7,30,0,0,0
2011,1,3,8,30,0,0,0
2011,1,3,9,30,0,0,0
2011,1,3,10,30,0,0,0
2011,1,3,11,30,0,0,0
2011,1,3,12,30,0,0,0
2011,1,3,13,30,0,0,0
2011,1,3,14,30,0,0,0
2011,1,3,15,30,0,0,0
2011,1,3,16,30,26,443,63
2011,1,3,17,30,44,693,190
2011,1,3,18,30,53,809,299
2011,1,3,19,30,58,854,363
2011,1,3,20,30,59,856,374
2011,1,3,21,30,56,832,335
2011,1,3,22,30,50,759,248
2011,1,3,23,30,37,597,127
2011,1,4,0,30,0,0,0
2011,1,4,1,30,0,0,0
2011,1,4,2,30,0,0,0
2011,1,4,3,30,0,0,0
2011,1,4,4,30,0,0,0
2011,1,4,5,30,0,0,0
2011,1,4,6,30,0,0,0
2011,1,4,7,30,0,0,0
2011,1,4,8,30,0,0,0
2011,1,4,9,30,0,0,0
2011,1,4,10,30,0,0,0
2011,1,4,11,30,0,0,0
2011,1,4,12,30,0,0,0
2011,1,4,13,30,0,0,0
2011,1,4,14,30,0,0,0
2011,1,4,15,30,0,0,0
2011,1,4,16,30,30,68,36
2011,1,4,17,30,81,78,97
2011,1,4,18,30,87,0,87
2011,1,4,19,30,151,120,194
2011,1,4,20,30,143,303,255
2011,1,4,21,30,134,43,148
2011,1,4,22,30,105,84,127
2011,1,4,23,30,57,110,74
2011,1,5,0,30,5,0,5
2011,1,5,1,30,0,0,0
2011,1,5,2,30,0,0,0
2011,1,5,3,30,0,0,0
2011,1,5,4,30,0,0,0
2011,1,5,5,30,0,0,0
2011,1,5,6,30,0,0,0
2011,1,5,7,30,0,0,0
2011,1,5,8,30,0,0,0
2011,1,5,9,30,0,0,0
2011,1,5,10,30,0,0,0
2011,1,5,11,30,0,0,0
2011,1,5,12,30,0,0,0
2011,1,5,13,30,0,0,0
2011,1,5,14,30,0,0,0
2011,1,5,15,30,0,0,0
2011,1,5,16,30,8,0,8
2011,1,5,17,30,18,0,18
2011,1,5,18,30,56,0,56
2011,1,5,19,30,103,0,103
2011,1,5,20,30,91,0,91
2011,1,5,21,30,62,748,317
2011,1,5,22,30,55,673,235
2011,1,5,23,30,42,0,42
2011,1,6,0,30,4,0,4
2011,1,6,1,30,0,0,0
2011,1,6,2,30,0,0,0
2011,1,6,3,30,0,0,0
2011,1,6,4,30,0,0,0
2011,1,6,5,30,0,0,0
2011,1,6,6,30,0,0,0
2011,1,6,7,30,0,0,0
2011,1,6,8,30,0,0,0
2011,1,6,9,30,0,0,0
