Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2002,1,1,0,30,0,0,0
2002,1,1,1,30,0,0,0
2002,1,1,2,30,0,0,0
2002,1,1,3,30,0,0,0
2002,1,1,4,30,0,0,0
2002,1,1,5,30,0,0,0
2002,1,1,6,30,0,0,0
2002,1,1,7,30,0,0,0
2002,1,1,8,30,0,0,0
2002,1,1,9,30,0,0,0
2002,1,1,10,30,0,0,0
2002,1,1,11,30,0,0,0
2002,1,1,12,30,0,0,0
2002,1,1,13,30,45,644,161
2002,1,1,14,30,63,823,332
2002,1,1,15,30,72,904,468
2002,1,1,16,30,77,939,550
2002,1,1,17,30,78,947,569
2002,1,1,18,30,74,924,521
2002,1,1,19,30,67,877,417
2002,1,1,20,30,55,771,266
2002,1,1,21,30,33,529,94
2002,1,1,22,30,0,0,0
2002,1,1,23,30,0,0,0
2002,1,2,0,30,0,0,0
2002,1,2,1,30,0,0,0
2002,1,2,2,30,0,0,0
2002,1,2,3,30,0,0,0
2002,1,2,4,30,0,0,0
2002,1,2,5,30,0,0,0
2002,1,2,6,30,0,0,0
2002,1,2,7,30,0,0,0
2002,1,2,8,30,0,0,0
2002,1,2,9,30,0,0,0
2002,1,2,10,30,0,0,0
2002,1,2,11,30,0,0,0
2002,1,2,12,30,0,0,0
2002,1,2,13,30,67,58,77
2002,1,2,14,30,119,326,226
2002,1,2,15,30,156,424,342
2002,1,2,16,30,224,95,272
2002,1,2,17,30,213,40,233
2002,1,2,18,30,215,196,310
2002,1,2,19,30,170,85,204
2002,1,2,20,30,106,38,116
2002,1,2,21,30,12,0,12
2002,1,2,22,30,0,0,0
2002,1,2,23,30,0,0,0
2002,1,3,0,30,0,0,0
2002,1,3,1,30,0,0,0
2002,1,3,2,30,0,0,0
2002,1,3,3,30,0,0,0
2002,1,3,4,30,0,0,0
2002,1,3,5,30,0,0,0
2002,1,3,6,30,0,0,0
2002,1,3,7,30,0,0,0
2002,1,3,8,30,0,0,0
2002,1,3,9,30,0,0,0
2002,1,3,10,30,0,0,0
2002,1,3,11,30,0,0,0
2002,1,3,12,30,0,0,0
2002,1,3,13,30,51,553,151
2002,1,3,14,30,76,744,320
2002,1,3,15,30,128,0,128
2002,1,3,16,30,158,0,158
2002,1,3,17,30,207,30,222
2002,1,3,18,30,158,1,158
2002,1,3,19,30,148,13,153
2002,1,3,20,30,110,62,127
2002,1,3,21,30,32,0,32
2002,1,3,22,30,0,0,0
2002,1,3,23,30,0,0,0
2002,1,4,0,30,0,0,0
2002,1,4,1,30,0,0,0
2002,1,4,2,30,0,0,0
2002,1,4,3,30,0,0,0
2002,1,4,4,30,0,0,0
2002,1,4,5,30,0,0,0
2002,1,4,6,30,0,0,0
2002,1,4,7,30,0,0,0
2002,1,4,8,30,0,0,0
2002,1,4,9,30,0,0,0
2002,1,4,10,30,0,0,0
2002,1,4,11,30,0,0,0
2002,1,4,12,30,0,0,0
2002,1,4,13,30,42,708,169
2002,1,4,14,30,60,873,347
2002,1,4,15,30,75,928,483
2002,1,4,16,30,80,955,564
2002,1,4,17,30,80,966,585
2002,1,4,18,30,74,955,541
2002,1,4,19,30,67,910,436
2002,1,4,20,30,53,814,282
2002,1,4,21,30,32,599,105
2002,1,4,22,30,0,0,0
2002,1,4,23,30,0,0,0
