Year,Month,Day,Hour,Minute,DHI,DNI
2015,1,1,0,30,21,0
2015,1,1,1,30,0,0
2015,1,1,2,30,0,0
2015,1,1,3,30,0,0
2015,1,1,4,30,0,0
2015,1,1,5,30,0,0
2015,1,1,6,30,0,0
2015,1,1,7,30,0,0
2015,1,1,8,30,0,0
2015,1,1,9,30,0,0
2015,1,1,10,30,0,0
2015,1,1,11,30,0,0
2015,1,1,12,30,0,0
2015,1,1,13,30,0,0
2015,1,1,14,30,0,0
2015,1,1,15,30,27,541
2015,1,1,16,30,48,815
2015,1,1,17,30,60,909
2015,1,1,18,30,69,956
2015,1,1,19,30,72,977
2015,1,1,20,30,71,976
2015,1,1,21,30,70,943
2015,1,1,22,30,62,869
2015,1,1,23,30,49,727
2015,1,2,0,30,21,350
2015,1,2,1,30,0,0
2015,1,2,2,30,0,0
2015,1,2,3,30,0,0
2015,1,2,4,30,0,0
2015,1,2,5,30,0,0
2015,1,2,6,30,0,0
2015,1,2,7,30,0,0
2015,1,2,8,30,0,0
2015,1,2,9,30,0,0
2015,1,2,10,30,0,0
2015,1,2,11,30,0,0
2015,1,2,12,30,0,0
2015,1,2,13,30,0,0
2015,1,2,14,30,0,0
2015,1,2,15,30,28,490
2015,1,2,16,30,51,767
2015,1,2,17,30,63,882
2015,1,2,18,30,71,933
2015,1,2,19,30,74,955
2015,1,2,20,30,74,952
2015,1,2,21,30,66,937
2015,1,2,22,30,59,873
2015,1,2,23,30,47,726
2015,1,3,0,30,20,358
2015,1,3,1,30,0,0
2015,1,3,2,30,0,0
2015,1,3,3,30,0,0
2015,1,3,4,30,0,0
2015,1,3,5,30,0,0
2015,1,3,6,30,0,0
2015,1,3,7,30,0,0
2015,1,3,8,30,0,0
2015,1,3,9,30,0,0
2015,1,3,10,30,0,0
2015,1,3,11,30,0,0
2015,1,3,12,30,0,0
2015,1,3,13,30,0,0
2015,1,3,14,30,0,0
2015,1,3,15,30,28,471
2015,1,3,16,30,50,759
2015,1,3,17,30,62,873
2015,1,3,18,30,69,921
2015,1,3,19,30,73,941
2015,1,3,20,30,74,935
2015,1,3,21,30,72,897
2015,1,3,22,30,65,830
2015,1,3,23,30,51,686
2015,1,4,0,30,22,318
2015,1,4,1,30,0,0
2015,1,4,2,30,0,0
2015,1,4,3,30,0,0
2015,1,4,4,30,0,0
2015,1,4,5,30,0,0
2015,1,4,6,30,0,0
2015,1,4,7,30,0,0
2015,1,4,8,30,0,0
2015,1,4,9,30,0,0
2015,1,4,10,30,0,0
2015,1,4,11,30,0,0
2015,1,4,12,30,0,0
2015,1,4,13,30,0,0
2015,1,4,14,30,0,0
2015,1,4,15,30,28,463
2015,1,4,16,30,51,747
2015,1,4,17,30,63,860
2015,1,4,18,30,67,922
2015,1,4,19,30,71,942
2015,1,4,20,30,282,337
2015,1,4,21,30,202,405
2015,1,4,22,30,198,84
2015,1,4,23,30,123,202
2015,1,5,0,30,21,362
2015,1,5,1,30,0,0
2015,1,5,2,30,0,0
2015,1,5,3,30,0,0
2015,1,5,4,30,0,0
2015,1,5,5,30,0,0
2015,1,5,6,30,0,0
2015,1,5,7,30,0,0
2015,1,5,8,30,0,0
2015,1,5,9,30,0,0
2015,1,5,10,30,0,0
2015,1,5,11,30,0,0
2015,1,5,12,30,0,0
2015,1,5,13,30,0,0
2015,1,5,14,30,0,0
2015,1,5,15,30,44,2
2015,1,5,16,30,44,781
2015,1,5,17,30,54,892
2015,1,5,18,30,62,939
2015,1,5,19,30,65,959
2015,1,5,20,30,66,956
2015,1,5,21,30,60,936
2015,1,5,22,30,54,870
2015,1,5,23,30,44,740
2015,1,6,0,30,28,1
2015,1,6,1,30,0,0
2015,1,6,2,30,0,0
2015,1,6,3,30,0,0
2015,1,6,4,30,0,0
2015,1,6,5,30,0,0
2015,1,6,6,30,0,0
2015,1,6,7,30,0,0
2015,1,6,8,30,0,0
2015,1,6,9,30,0,0
2015,1,6,10,30,0,0
2015,1,6,11,30,0,0
2015,1,6,12,30,0,0
2015,1,6,13,30,0,0
2015,1,6,14,30,0,0
2015,1,6,15,30,27,502
2015,1,6,16,30,48,785
2015,1,6,17,30,59,898
2015,1,6,18,30,60,961
2015,1,6,19,30,63,980
2015,1,6,20,30,63,972
2015,1,6,21,30,62,944
2015,1,6,22,30,56,884
2015,1,6,23,30,45,754
2015,1,7,0,30,22,416
2015,1,7,1,30,0,0
2015,1,7,2,30,0,0
2015,1,7,3,30,0,0
2015,1,7,4,30,0,0
2015,1,7,5,30,0,0
2015,1,7,6,30,0,0
2015,1,7,7,30,0,0
2015,1,7,8,30,0,0
2015,1,7,9,30,0,0
2015,1,7,10,30,0,0
2015,1,7,11,30,0,0
2015,1,7,12,30,0,0
2015,1,7,13,30,0,0
2015,1,7,14,30,0,0
2015,1,7,15,30,29,452
2015,1,7,16,30,55,736
2015,1,7,17,30,67,857
2015,1,7,18,30,236,295
2015,1,7,19,30,73,945
2015,1,7,20,30,153,732
2015,1,7,21,30,222,350
2015,1,7,22,30,189,359
2015,1,7,23,30,101,454
2015,1,8,0,30,37,12
2015,1,8,1,30,0,0
2015,1,8,2,30,0,0
2015,1,8,3,30,0,0
2015,1,8,4,30,0,0
2015,1,8,5,30,0,0
2015,1,8,6,30,0,0
2015,1,8,7,30,0,0
2015,1,8,8,30,0,0
2015,1,8,9,30,0,0
2015,1,8,10,30,0,0
2015,1,8,11,30,0,0
2015,1,8,12,30,0,0
2015,1,8,13,30,0,0
