Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2008,1,1,0,30,0,0,0
2008,1,1,1,30,0,0,0
2008,1,1,2,30,0,0,0
2008,1,1,3,30,0,0,0
2008,1,1,4,30,0,0,0
2008,1,1,5,30,0,0,0
2008,1,1,6,30,0,0,0
2008,1,1,7,30,0,0,0
2008,1,1,8,30,0,0,0
2008,1,1,9,30,0,0,0
2008,1,1,10,30,0,0,0
2008,1,1,11,30,0,0,0
2008,1,1,12,30,0,0,0
2008,1,1,13,30,26,0,26
2008,1,1,14,30,94,85,115
2008,1,1,15,30,18,0,18
2008,1,1,16,30,145,15,151
2008,1,1,17,30,85,0,85
2008,1,1,18,30,42,0,42
2008,1,1,19,30,105,8,107
2008,1,1,20,30,46,0,46
2008,1,1,21,30,6,0,6
2008,1,1,22,30,0,0,0
2008,1,1,23,30,0,0,0
2008,1,2,0,30,0,0,0
2008,1,2,1,30,0,0,0
2008,1,2,2,30,0,0,0
2008,1,2,3,30,0,0,0
2008,1,2,4,30,0,0,0
2008,1,2,5,30,0,0,0
2008,1,2,6,30,0,0,0
2008,1,2,7,30,0,0,0
2008,1,2,8,30,0,0,0
2008,1,2,9,30,0,0,0
2008,1,2,10,30,0,0,0
2008,1,2,11,30,0,0,0
2008,1,2,12,30,0,0,0
2008,1,2,13,30,39,154,56
2008,1,2,14,30,87,267,151
2008,1,2,15,30,133,248,217
2008,1,2,16,30,166,189,241
2008,1,2,17,30,158,315,286
2008,1,2,18,30,147,42,163
2008,1,2,19,30,106,10,109
2008,1,2,20,30,41,695,164
2008,1,2,21,30,14,0,14
2008,1,2,22,30,0,0,0
2008,1,2,23,30,0,0,0
2008,1,3,0,30,0,0,0
2008,1,3,1,30,0,0,0
2008,1,3,2,30,0,0,0
2008,1,3,3,30,0,0,0
2008,1,3,4,30,0,0,0
2008,1,3,5,30,0,0,0
2008,1,3,6,30,0,0,0
2008,1,3,7,30,0,0,0
2008,1,3,8,30,0,0,0
2008,1,3,9,30,0,0,0
2008,1,3,10,30,0,0,0
2008,1,3,11,30,0,0,0
2008,1,3,12,30,0,0,0
2008,1,3,13,30,32,585,97
2008,1,3,14,30,52,801,245
2008,1,3,15,30,67,865,359
2008,1,3,16,30,165,74,194
2008,1,3,17,30,137,441,316
2008,1,3,18,30,71,890,402
2008,1,3,19,30,62,823,305
2008,1,3,20,30,46,661,165
2008,1,3,21,30,17,257,27
2008,1,3,22,30,0,0,0
2008,1,3,23,30,0,0,0
2008,1,4,0,30,0,0,0
2008,1,4,1,30,0,0,0
2008,1,4,2,30,0,0,0
2008,1,4,3,30,0,0,0
2008,1,4,4,30,0,0,0
2008,1,4,5,30,0,0,0
2008,1,4,6,30,0,0,0
2008,1,4,7,30,0,0,0
2008,1,4,8,30,0,0,0
2008,1,4,9,30,0,0,0
2008,1,4,10,30,0,0,0
2008,1,4,11,30,0,0,0
2008,1,4,12,30,0,0,0
2008,1,4,13,30,39,119,53
2008,1,4,14,30,25,0,25
2008,1,4,15,30,100,0,100
2008,1,4,16,30,37,0,37
2008,1,4,17,30,80,0,80
2008,1,4,18,30,154,64,178
2008,1,4,19,30,110,282,194
2008,1,4,20,30,61,508,153
2008,1,4,21,30,19,129,24
2008,1,4,22,30,0,0,0
2008,1,4,23,30,0,0,0
2008,1,5,0,30,0,0,0
2008,1,5,1,30,0,0,0
2008,1,5,2,30,0,0,0
2008,1,5,3,30,0,0,0
2008,1,5,4,30,0,0,0
2008,1,5,5,30,0,0,0
2008,1,5,6,30,0,0,0
2008,1,5,7,30,0,0,0
2008,1,5,8,30,0,0,0
2008,1,5,9,30,0,0,0
2008,1,5,10,30,0,0,0
2008,1,5,11,30,0,0,0
2008,1,5,12,30,0,0,0
2008,1,5,13,30,29,0,29
2008,1,5,14,30,92,38,101
2008,1,5,15,30,112,0,112
2008,1,5,16,30,68,0,68
2008,1,5,17,30,96,0,96
2008,1,5,18,30,87,0,87
2008,1,5,19,30,41,0,41
2008,1,5,20,30,10,0,10
2008,1,5,21,30,8,0,8
2008,1,5,22,30,0,0,0
2008,1,5,23,30,0,0,0
2008,1,6,0,30,0,0,0
2008,1,6,1,30,0,0,0
2008,1,6,2,30,0,0,0
2008,1,6,3,30,0,0,0
2008,1,6,4,30,0,0,0
2008,1,6,5,30,0,0,0
2008,1,6,6,30,0,0,0
2008,1,6,7,30,0,0,0
2008,1,6,8,30,0,0,0
2008,1,6,9,30,0,0,0
2008,1,6,10,30,0,0,0
2008,1,6,11,30,0,0,0
2008,1,6,12,30,0,0,0
2008,1,6,13,30,40,362,81
2008,1,6,14,30,68,613,217
2008,1,6,15,30,79,0,79
2008,1,6,16,30,107,0,107
2008,1,6,17,30,96,0,96
2008,1,6,18,30,107,0,107
2008,1,6,19,30,51,0,51
2008,1,6,20,30,55,545,156
2008,1,6,21,30,11,0,11
2008,1,6,22,30,0,0,0
2008,1,6,23,30,0,0,0
2008,1,7,0,30,0,0,0
2008,1,7,1,30,0,0,0
2008,1,7,2,30,0,0,0
2008,1,7,3,30,0,0,0
2008,1,7,4,30,0,0,0
2008,1,7,5,30,0,0,0
2008,1,7,6,30,0,0,0
2008,1,7,7,30,0,0,0
2008,1,7,8,30,0,0,0
2008,1,7,9,30,0,0,0
2008,1,7,10,30,0,0,0
2008,1,7,11,30,0,0,0
2008,1,7,12,30,0,0,0
2008,1,7,13,30,37,339,75
2008,1,7,14,30,89,12,92
2008,1,7,15,30,83,0,83
2008,1,7,16,30,171,94,208
2008,1,7,17,30,168,278,283
2008,1,7,18,30,83,0,83
2008,1,7,19,30,92,0,92
2008,1,7,20,30,24,0,24
2008,1,7,21,30,5,0,5
2008,1,7,22,30,0,0,0
2008,1,7,23,30,0,0,0
2008,1,8,0,30,0,0,0
2008,1,8,1,30,0,0,0
2008,1,8,2,30,0,0,0
2008,1,8,3,30,0,0,0
2008,1,8,4,30,0,0,0
2008,1,8,5,30,0,0,0
2008,1,8,6,30,0,0,0
2008,1,8,7,30,0,0,0
2008,1,8,8,30,0,0,0
2008,1,8,9,30,0,0,0
2008,1,8,10,30,0,0,0
2008,1,8,11,30,0,0,0
2008,1,8,12,30,0,0,0
2008,1,8,13,30,32,0,32
2008,1,8,14,30,95,175,138
2008,1,8,15,30,126,341,243
2008,1,8,16,30,167,239,263
2008,1,8,17,30,91,0,91
2008,1,8,18,30,162,175,229
2008,1,8,19,30,116,270,199
2008,1,8,20,30,56,0,56
2008,1,8,21,30,12,0,12
2008,1,8,22,30,0,0,0
2008,1,8,23,30,0,0,0
2008,1,9,0,30,0,0,0
2008,1,9,1,30,0,0,0
2008,1,9,2,30,0,0,0
2008,1,9,3,30,0,0,0
2008,1,9,4,30,0,0,0
2008,1,9,5,30,0,0,0
2008,1,9,6,30,0,0,0
2008,1,9,7,30,0,0,0
2008,1,9,8,30,0,0,0
2008,1,9,9,30,0,0,0
2008,1,9,10,30,0,0,0
2008,1,9,11,30,0,0,0
2008,1,9,12,30,0,0,0
2008,1,9,13,30,17,0,17
2008,1,9,14,30,51,0,51
2008,1,9,15,30,97,0,97
2008,1,9,16,30,161,299,282
2008,1,9,17,30,129,0,129
2008,1,9,18,30,159,60,182
2008,1,9,19,30,125,170,178
2008,1,9,20,30,45,663,174
2008,1,9,21,30,20,327,37
2008,1,9,22,30,0,0,0
2008,1,9,23,30,0,0,0
2008,1,10,0,30,0,0,0
2008,1,10,1,30,0,0,0
2008,1,10,2,30,0,0,0
2008,1,10,3,30,0,0,0
2008,1,10,4,30,0,0,0
2008,1,10,5,30,0,0,0
2008,1,10,6,30,0,0,0
2008,1,10,7,30,0,0,0
2008,1,10,8,30,0,0,0
2008,1,10,9,30,0,0,0
2008,1,10,10,30,0,0,0
2008,1,10,11,30,0,0,0
2008,1,10,12,30,0,0,0
2008,1,10,13,30,40,40,45
2008,1,10,14,30,97,126,129
2008,1,10,15,30,144,174,204
2008,1,10,16,30,148,387,305
2008,1,10,17,30,179,205,265
2008,1,10,18,30,128,455,304
2008,1,10,19,30,109,356,220
2008,1,10,20,30,73,192,111
2008,1,10,21,30,20,0,20
2008,1,10,22,30,0,0,0
2008,1,10,23,30,0,0,0
2008,1,11,0,30,0,0,0
2008,1,11,1,30,0,0,0
2008,1,11,2,30,0,0,0
2008,1,11,3,30,0,0,0
2008,1,11,4,30,0,0,0
2008,1,11,5,30,0,0,0
2008,1,11,6,30,0,0,0
2008,1,11,7,30,0,0,0
2008,1,11,8,30,0,0,0
2008,1,11,9,30,0,0,0
2008,1,11,10,30,0,0,0
2008,1,11,11,30,0,0,0
2008,1,11,12,30,0,0,0
2008,1,11,13,30,22,0,22
2008,1,11,14,30,64,0,64
2008,1,11,15,30,144,72,169
2008,1,11,16,30,137,1,138
