Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2011,1,1,0,30,0,0,0
2011,1,1,1,30,0,0,0
2011,1,1,2,30,0,0,0
2011,1,1,3,30,0,0,0
2011,1,1,4,30,0,0,0
2011,1,1,5,30,0,0,0
2011,1,1,6,30,0,0,0
2011,1,1,7,30,0,0,0
2011,1,1,8,30,0,0,0
2011,1,1,9,30,0,0,0
2011,1,1,10,30,0,0,0
2011,1,1,11,30,0,0,0
2011,1,1,12,30,0,0,0
2011,1,1,13,30,0,0,0
2011,1,1,14,30,43,635,162
2011,1,1,15,30,60,821,353
2011,1,1,16,30,71,903,513
2011,1,1,17,30,76,944,620
2011,1,1,18,30,75,963,663
2011,1,1,19,30,74,955,637
2011,1,1,20,30,69,924,547
2011,1,1,21,30,60,866,401
2011,1,1,22,30,46,722,214
2011,1,1,23,30,17,314,32
2011,1,2,0,30,0,0,0
2011,1,2,1,30,0,0,0
2011,1,2,2,30,0,0,0
2011,1,2,3,30,0,0,0
2011,1,2,4,30,0,0,0
2011,1,2,5,30,0,0,0
2011,1,2,6,30,0,0,0
2011,1,2,7,30,0,0,0
2011,1,2,8,30,0,0,0
2011,1,2,9,30,0,0,0
2011,1,2,10,30,0,0,0
2011,1,2,11,30,0,0,0
2011,1,2,12,30,0,0,0
2011,1,2,13,30,0,0,0
2011,1,2,14,30,41,654,164
2011,1,2,15,30,57,838,356
2011,1,2,16,30,66,916,515
2011,1,2,17,30,71,956,622
2011,1,2,18,30,71,972,665
2011,1,2,19,30,71,964,641
2011,1,2,20,30,68,926,548
2011,1,2,21,30,61,855,401
2011,1,2,22,30,48,711,215
2011,1,2,23,30,18,303,33
2011,1,3,0,30,0,0,0
2011,1,3,1,30,0,0,0
2011,1,3,2,30,0,0,0
2011,1,3,3,30,0,0,0
2011,1,3,4,30,0,0,0
2011,1,3,5,30,0,0,0
2011,1,3,6,30,0,0,0
2011,1,3,7,30,0,0,0
2011,1,3,8,30,0,0,0
2011,1,3,9,30,0,0,0
2011,1,3,10,30,0,0,0
2011,1,3,11,30,0,0,0
2011,1,3,12,30,0,0,0
2011,1,3,13,30,0,0,0
2011,1,3,14,30,19,0,19
2011,1,3,15,30,30,0,30
2011,1,3,16,30,71,0,71
2011,1,3,17,30,92,0,92
2011,1,3,18,30,101,0,101
2011,1,3,19,30,173,2,174
2011,1,3,20,30,136,0,136
2011,1,3,21,30,71,0,71
2011,1,3,22,30,56,0,56
2011,1,3,23,30,21,183,30
2011,1,4,0,30,0,0,0
2011,1,4,1,30,0,0,0
2011,1,4,2,30,0,0,0
2011,1,4,3,30,0,0,0
2011,1,4,4,30,0,0,0
2011,1,4,5,30,0,0,0
2011,1,4,6,30,0,0,0
2011,1,4,7,30,0,0,0
2011,1,4,8,30,0,0,0
2011,1,4,9,30,0,0,0
2011,1,4,10,30,0,0,0
2011,1,4,11,30,0,0,0
2011,1,4,12,30,0,0,0
2011,1,4,13,30,0,0,0
2011,1,4,14,30,50,0,50
2011,1,4,15,30,37,0,37
2011,1,4,16,30,97,0,97
2011,1,4,17,30,216,19,227
2011,1,4,18,30,119,0,119
2011,1,4,19,30,134,0,134
2011,1,4,20,30,63,0,63
2011,1,4,21,30,144,9,148
2011,1,4,22,30,59,0,59
2011,1,4,23,30,15,0,15
2011,1,5,0,30,0,0,0
2011,1,5,1,30,0,0,0
2011,1,5,2,30,0,0,0
2011,1,5,3,30,0,0,0
2011,1,5,4,30,0,0,0
2011,1,5,5,30,0,0,0
2011,1,5,6,30,0,0,0
2011,1,5,7,30,0,0,0
2011,1,5,8,30,0,0,0
2011,1,5,9,30,0,0,0
2011,1,5,10,30,0,0,0
2011,1,5,11,30,0,0,0
2011,1,5,12,30,0,0,0
2011,1,5,13,30,0,0,0
2011,1,5,14,30,43,614,157
2011,1,5,15,30,58,815,349
2011,1,5,16,30,64,912,512
2011,1,5,17,30,187,555,509
2011,1,5,18,30,167,663,575
2011,1,5,19,30,280,213,407
2011,1,5,20,30,226,60,258
2011,1,5,21,30,162,290,279
2011,1,5,22,30,84,310,160
2011,1,5,23,30,21,17,21
2011,1,6,0,30,0,0,0
2011,1,6,1,30,0,0,0
2011,1,6,2,30,0,0,0
2011,1,6,3,30,0,0,0
2011,1,6,4,30,0,0,0
2011,1,6,5,30,0,0,0
2011,1,6,6,30,0,0,0
2011,1,6,7,30,0,0,0
2011,1,6,8,30,0,0,0
2011,1,6,9,30,0,0,0
