Year,Month,Day,Hour,Minute,DHI,DNI
2019,1,1,0,30,27,435
2019,1,1,1,30,0,0
2019,1,1,2,30,0,0
2019,1,1,3,30,0,0
2019,1,1,4,30,0,0
2019,1,1,5,30,0,0
2019,1,1,6,30,0,0
2019,1,1,7,30,0,0
2019,1,1,8,30,0,0
2019,1,1,9,30,0,0
2019,1,1,10,30,0,0
2019,1,1,11,30,0,0
2019,1,1,12,30,0,0
2019,1,1,13,30,0,0
2019,1,1,14,30,0,0
2019,1,1,15,30,7,76
2019,1,1,16,30,44,609
2019,1,1,17,30,55,818
2019,1,1,18,30,58,911
2019,1,1,19,30,70,915
2019,1,1,20,30,62,941
2019,1,1,21,30,61,915
2019,1,1,22,30,88,752
2019,1,1,23,30,58,661
2019,1,2,0,30,32,222
2019,1,2,1,30,0,0
2019,1,2,2,30,0,0
2019,1,2,3,30,0,0
2019,1,2,4,30,0,0
2019,1,2,5,30,0,0
2019,1,2,6,30,0,0
2019,1,2,7,30,0,0
2019,1,2,8,30,0,0
2019,1,2,9,30,0,0
2019,1,2,10,30,0,0
2019,1,2,11,30,0,0
2019,1,2,12,30,0,0
2019,1,2,13,30,0,0
2019,1,2,14,30,0,0
2019,1,2,15,30,9,111
2019,1,2,16,30,40,616
2019,1,2,17,30,52,796
2019,1,2,18,30,58,877
2019,1,2,19,30,61,911
2019,1,2,20,30,64,913
2019,1,2,21,30,63,888
2019,1,2,22,30,58,831
2019,1,2,23,30,48,708
2019,1,3,0,30,27,403
2019,1,3,1,30,0,0
2019,1,3,2,30,0,0
2019,1,3,3,30,0,0
2019,1,3,4,30,0,0
2019,1,3,5,30,0,0
2019,1,3,6,30,0,0
2019,1,3,7,30,0,0
2019,1,3,8,30,0,0
2019,1,3,9,30,0,0
2019,1,3,10,30,0,0
2019,1,3,11,30,0,0
2019,1,3,12,30,0,0
2019,1,3,13,30,0,0
2019,1,3,14,30,0,0
2019,1,3,15,30,9,94
2019,1,3,16,30,54,476
2019,1,3,17,30,57,776
2019,1,3,18,30,65,861
2019,1,3,19,30,70,892
2019,1,3,20,30,203,387
2019,1,3,21,30,187,356
2019,1,3,22,30,141,434
2019,1,3,23,30,82,500
2019,1,4,0,30,37,5
2019,1,4,1,30,0,0
2019,1,4,2,30,0,0
2019,1,4,3,30,0,0
2019,1,4,4,30,0,0
2019,1,4,5,30,0,0
2019,1,4,6,30,0,0
2019,1,4,7,30,0,0
2019,1,4,8,30,0,0
2019,1,4,9,30,0,0
2019,1,4,10,30,0,0
