Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2006,1,1,0,30,30,261,51
2006,1,1,1,30,0,0,0
2006,1,1,2,30,0,0,0
2006,1,1,3,30,0,0,0
2006,1,1,4,30,0,0,0
2006,1,1,5,30,0,0,0
2006,1,1,6,30,0,0,0
2006,1,1,7,30,0,0,0
2006,1,1,8,30,0,0,0
2006,1,1,9,30,0,0,0
2006,1,1,10,30,0,0,0
2006,1,1,11,30,0,0,0
2006,1,1,12,30,0,0,0
2006,1,1,13,30,0,0,0
2006,1,1,14,30,0,0,0
2006,1,1,15,30,0,0,0
2006,1,1,16,30,3,0,3
2006,1,1,17,30,19,0,19
2006,1,1,18,30,42,0,42
2006,1,1,19,30,36,0,36
2006,1,1,20,30,54,0,54
2006,1,1,21,30,45,0,45
2006,1,1,22,30,40,0,40
2006,1,1,23,30,23,0,23
2006,1,2,0,30,9,0,9
2006,1,2,1,30,0,0,0
2006,1,2,2,30,0,0,0
2006,1,2,3,30,0,0,0
2006,1,2,4,30,0,0,0
2006,1,2,5,30,0,0,0
2006,1,2,6,30,0,0,0
2006,1,2,7,30,0,0,0
2006,1,2,8,30,0,0,0
2006,1,2,9,30,0,0,0
2006,1,2,10,30,0,0,0
2006,1,2,11,30,0,0,0
2006,1,2,12,30,0,0,0
2006,1,2,13,30,0,0,0
2006,1,2,14,30,0,0,0
2006,1,2,15,30,0,0,0
2006,1,2,16,30,68,86,84
2006,1,2,17,30,119,15,124
2006,1,2,18,30,27,0,27
2006,1,2,19,30,22,0,22
2006,1,2,20,30,32,0,32
2006,1,2,21,30,39,0,39
2006,1,2,22,30,7,0,7
2006,1,2,23,30,52,0,52
2006,1,3,0,30,17,0,17
2006,1,3,1,30,0,0,0
2006,1,3,2,30,0,0,0
2006,1,3,3,30,0,0,0
2006,1,3,4,30,0,0,0
2006,1,3,5,30,0,0,0
2006,1,3,6,30,0,0,0
2006,1,3,7,30,0,0,0
2006,1,3,8,30,0,0,0
2006,1,3,9,30,0,0,0
2006,1,3,10,30,0,0,0
2006,1,3,11,30,0,0,0
2006,1,3,12,30,0,0,0
2006,1,3,13,30,0,0,0
2006,1,3,14,30,0,0,0
2006,1,3,15,30,0,0,0
2006,1,3,16,30,9,0,9
2006,1,3,17,30,41,0,41
2006,1,3,18,30,174,47,194
2006,1,3,19,30,173,10,178
2006,1,3,20,30,95,0,95
2006,1,3,21,30,65,0,65
2006,1,3,22,30,72,0,72
2006,1,3,23,30,53,0,53
2006,1,4,0,30,20,0,20
2006,1,4,1,30,0,0,0
2006,1,4,2,30,0,0,0
2006,1,4,3,30,0,0,0
2006,1,4,4,30,0,0,0
2006,1,4,5,30,0,0,0
2006,1,4,6,30,0,0,0
2006,1,4,7,30,0,0,0
2006,1,4,8,30,0,0,0
2006,1,4,9,30,0,0,0
2006,1,4,10,30,0,0,0
2006,1,4,11,30,0,0,0
2006,1,4,12,30,0,0,0
2006,1,4,13,30,0,0,0
2006,1,4,14,30,0,0,0
2006,1,4,15,30,0,0,0
2006,1,4,16,30,68,87,84
2006,1,4,17,30,93,498,254
2006,1,4,18,30,66,827,420
2006,1,4,19,30,69,864,491
2006,1,4,20,30,71,866,503
2006,1,4,21,30,68,844,456
2006,1,4,22,30,61,789,356
2006,1,4,23,30,50,672,215
2006,1,5,0,30,26,391,60
2006,1,5,1,30,0,0,0
2006,1,5,2,30,0,0,0
2006,1,5,3,30,0,0,0
2006,1,5,4,30,0,0,0
2006,1,5,5,30,0,0,0
2006,1,5,6,30,0,0,0
2006,1,5,7,30,0,0,0
2006,1,5,8,30,0,0,0
2006,1,5,9,30,0,0,0
2006,1,5,10,30,0,0,0
2006,1,5,11,30,0,0,0
2006,1,5,12,30,0,0,0
2006,1,5,13,30,0,0,0
2006,1,5,14,30,0,0,0
2006,1,5,15,30,0,0,0
2006,1,5,16,30,45,517,139
2006,1,5,17,30,130,192,193
2006,1,5,18,30,153,412,330
2006,1,5,19,30,173,453,395
2006,1,5,20,30,205,325,368
2006,1,5,21,30,146,516,384
2006,1,5,22,30,148,275,251
2006,1,5,23,30,81,358,170
2006,1,6,0,30,32,58,37
2006,1,6,1,30,0,0,0
2006,1,6,2,30,0,0,0
2006,1,6,3,30,0,0,0
2006,1,6,4,30,0,0,0
2006,1,6,5,30,0,0,0
2006,1,6,6,30,0,0,0
2006,1,6,7,30,0,0,0
2006,1,6,8,30,0,0,0
2006,1,6,9,30,0,0,0
2006,1,6,10,30,0,0,0
2006,1,6,11,30,0,0,0
2006,1,6,12,30,0,0,0
2006,1,6,13,30,0,0,0
2006,1,6,14,30,0,0,0
2006,1,6,15,30,0,0,0
2006,1,6,16,30,68,90,85
2006,1,6,17,30,120,310,220
2006,1,6,18,30,68,858,437
2006,1,6,19,30,71,892,509
2006,1,6,20,30,71,899,523
2006,1,6,21,30,66,882,475
2006,1,6,22,30,60,829,373
2006,1,6,23,30,49,713,228
2006,1,7,0,30,28,412,66
2006,1,7,1,30,0,0,0
2006,1,7,2,30,0,0,0
2006,1,7,3,30,0,0,0
2006,1,7,4,30,0,0,0
2006,1,7,5,30,0,0,0
2006,1,7,6,30,0,0,0
2006,1,7,7,30,0,0,0
2006,1,7,8,30,0,0,0
2006,1,7,9,30,0,0,0
2006,1,7,10,30,0,0,0
2006,1,7,11,30,0,0,0
2006,1,7,12,30,0,0,0
2006,1,7,13,30,0,0,0
2006,1,7,14,30,0,0,0
2006,1,7,15,30,0,0,0
2006,1,7,16,30,44,583,150
2006,1,7,17,30,58,772,310
2006,1,7,18,30,135,0,135
2006,1,7,19,30,81,854,501
2006,1,7,20,30,205,338,376
2006,1,7,21,30,201,81,239
2006,1,7,22,30,148,294,260
2006,1,7,23,30,96,215,151
2006,1,8,0,30,34,61,39
2006,1,8,1,30,0,0,0
2006,1,8,2,30,0,0,0
2006,1,8,3,30,0,0,0
2006,1,8,4,30,0,0,0
2006,1,8,5,30,0,0,0
2006,1,8,6,30,0,0,0
2006,1,8,7,30,0,0,0
2006,1,8,8,30,0,0,0
2006,1,8,9,30,0,0,0
2006,1,8,10,30,0,0,0
2006,1,8,11,30,0,0,0
2006,1,8,12,30,0,0,0
2006,1,8,13,30,0,0,0
2006,1,8,14,30,0,0,0
2006,1,8,15,30,0,0,0
2006,1,8,16,30,48,553,149
2006,1,8,17,30,67,740,308
2006,1,8,18,30,78,821,433
2006,1,8,19,30,83,854,505
2006,1,8,20,30,86,856,519
2006,1,8,21,30,80,840,473
2006,1,8,22,30,74,776,371
2006,1,8,23,30,61,638,225
2006,1,9,0,30,33,335,66
2006,1,9,1,30,0,0,0
2006,1,9,2,30,0,0,0
2006,1,9,3,30,0,0,0
2006,1,9,4,30,0,0,0
2006,1,9,5,30,0,0,0
2006,1,9,6,30,0,0,0
2006,1,9,7,30,0,0,0
2006,1,9,8,30,0,0,0
2006,1,9,9,30,0,0,0
2006,1,9,10,30,0,0,0
2006,1,9,11,30,0,0,0
2006,1,9,12,30,0,0,0
2006,1,9,13,30,0,0,0
2006,1,9,14,30,0,0,0
2006,1,9,15,30,0,0,0
2006,1,9,16,30,50,547,151
2006,1,9,17,30,71,733,311
2006,1,9,18,30,82,819,438
2006,1,9,19,30,88,857,513
2006,1,9,20,30,90,862,528
2006,1,9,21,30,79,866,487
2006,1,9,22,30,72,808,384
2006,1,9,23,30,59,683,236
2006,1,10,0,30,32,393,72
2006,1,10,1,30,0,0,0
2006,1,10,2,30,0,0,0
2006,1,10,3,30,0,0,0
2006,1,10,4,30,0,0,0
2006,1,10,5,30,0,0,0
2006,1,10,6,30,0,0,0
2006,1,10,7,30,0,0,0
2006,1,10,8,30,0,0,0
2006,1,10,9,30,0,0,0
2006,1,10,10,30,0,0,0
2006,1,10,11,30,0,0,0
2006,1,10,12,30,0,0,0
2006,1,10,13,30,0,0,0
2006,1,10,14,30,0,0,0
2006,1,10,15,30,0,0,0
2006,1,10,16,30,51,510,145
2006,1,10,17,30,71,708,304
2006,1,10,18,30,85,783,426
2006,1,10,19,30,92,817,498
2006,1,10,20,30,94,815,511
2006,1,10,21,30,99,764,461
2006,1,10,22,30,126,461,305
2006,1,10,23,30,100,33,108
2006,1,11,0,30,37,95,47
2006,1,11,1,30,0,0,0
2006,1,11,2,30,0,0,0
2006,1,11,3,30,0,0,0
2006,1,11,4,30,0,0,0
2006,1,11,5,30,0,0,0
2006,1,11,6,30,0,0,0
2006,1,11,7,30,0,0,0
2006,1,11,8,30,0,0,0
2006,1,11,9,30,0,0,0
2006,1,11,10,30,0,0,0
2006,1,11,11,30,0,0,0
2006,1,11,12,30,0,0,0
2006,1,11,13,30,0,0,0
2006,1,11,14,30,0,0,0
2006,1,11,15,30,3,0,3
2006,1,11,16,30,40,0,40
2006,1,11,17,30,118,6,120
2006,1,11,18,30,184,64,212
2006,1,11,19,30,222,103,274
2006,1,11,20,30,227,227,344
2006,1,11,21,30,201,57,228
2006,1,11,22,30,167,119,214
2006,1,11,23,30,96,275,170
2006,1,12,0,30,38,66,45
2006,1,12,1,30,0,0,0
2006,1,12,2,30,0,0,0
2006,1,12,3,30,0,0,0
2006,1,12,4,30,0,0,0
2006,1,12,5,30,0,0,0
2006,1,12,6,30,0,0,0
2006,1,12,7,30,0,0,0
2006,1,12,8,30,0,0,0
2006,1,12,9,30,0,0,0
2006,1,12,10,30,0,0,0
2006,1,12,11,30,0,0,0
2006,1,12,12,30,0,0,0
2006,1,12,13,30,0,0,0
