Year,Month,Day,Hour,Minute,DHI,DNI,GHI
2021,1,1,0,30,0,0,0
2021,1,1,1,30,0,0,0
2021,1,1,2,30,0,0,0
2021,1,1,3,30,0,0,0
2021,1,1,4,30,0,0,0
2021,1,1,5,30,0,0,0
2021,1,1,6,30,0,0,0
2021,1,1,7,30,0,0,0
2021,1,1,8,30,0,0,0
2021,1,1,9,30,0,0,0
2021,1,1,10,30,0,0,0
2021,1,1,11,30,0,0,0
2021,1,1,12,30,14,56,15
2021,1,1,13,30,62,491,167
2021,1,1,14,30,80,708,352
2021,1,1,15,30,86,813,506
2021,1,1,16,30,115,781,584
2021,1,1,17,30,90,879,645
2021,1,1,18,30,88,870,616
2021,1,1,19,30,100,756,500
2021,1,1,20,30,76,746,376
2021,1,1,21,30,60,572,195
2021,1,1,22,30,20,132,26
2021,1,1,23,30,0,0,0
2021,1,2,0,30,0,0,0
2021,1,2,1,30,0,0,0
2021,1,2,2,30,0,0,0
2021,1,2,3,30,0,0,0
2021,1,2,4,30,0,0,0
2021,1,2,5,30,0,0,0
2021,1,2,6,30,0,0,0
2021,1,2,7,30,0,0,0
2021,1,2,8,30,0,0,0
2021,1,2,9,30,0,0,0
2021,1,2,10,30,0,0,0
2021,1,2,11,30,0,0,0
2021,1,2,12,30,12,42,13
2021,1,2,13,30,70,20,74
2021,1,2,14,30,130,20,138
2021,1,2,15,30,230,147,306
2021,1,2,16,30,255,299,435
2021,1,2,17,30,285,128,366
2021,1,2,18,30,141,709,573
2021,1,2,19,30,236,154,318
2021,1,2,20,30,166,114,212
2021,1,2,21,30,78,362,165
2021,1,2,22,30,18,31,19
2021,1,2,23,30,0,0,0
2021,1,3,0,30,0,0,0
2021,1,3,1,30,0,0,0
2021,1,3,2,30,0,0,0
2021,1,3,3,30,0,0,0
2021,1,3,4,30,0,0,0
2021,1,3,5,30,0,0,0
2021,1,3,6,30,0,0,0
2021,1,3,7,30,0,0,0
2021,1,3,8,30,0,0,0
2021,1,3,9,30,0,0,0
2021,1,3,10,30,0,0,0
2021,1,3,11,30,0,0,0
2021,1,3,12,30,7,29,8
2021,1,3,13,30,45,394,129
2021,1,3,14,30,82,8,85
2021,1,3,15,30,120,0,120
2021,1,3,16,30,102,0,102
2021,1,3,17,30,117,0,117
2021,1,3,18,30,126,1,127
2021,1,3,19,30,212,265,353
2021,1,3,20,30,142,35,156
2021,1,3,21,30,57,277,124
2021,1,3,22,30,21,163,29
2021,1,3,23,30,0,0,0
2021,1,4,0,30,0,0,0
2021,1,4,1,30,0,0,0
2021,1,4,2,30,0,0,0
2021,1,4,3,30,0,0,0
2021,1,4,4,30,0,0,0
2021,1,4,5,30,0,0,0
2021,1,4,6,30,0,0,0
2021,1,4,7,30,0,0,0
2021,1,4,8,30,0,0,0
2021,1,4,9,30,0,0,0
2021,1,4,10,30,0,0,0
2021,1,4,11,30,0,0,0
2021,1,4,12,30,14,146,17
2021,1,4,13,30,49,651,188
2021,1,4,14,30,64,832,384
2021,1,4,15,30,72,919,548
2021,1,4,16,30,76,960,655
2021,1,4,17,30,77,976,697
2021,1,4,18,30,76,970,670
2021,1,4,19,30,70,941,574
2021,1,4,20,30,62,879,422
2021,1,4,21,30,49,737,229
2021,1,4,22,30,23,314,39
2021,1,4,23,30,0,0,0
2021,1,5,0,30,0,0,0
2021,1,5,1,30,0,0,0
2021,1,5,2,30,0,0,0
2021,1,5,3,30,0,0,0
2021,1,5,4,30,0,0,0
2021,1,5,5,30,0,0,0
2021,1,5,6,30,0,0,0
2021,1,5,7,30,0,0,0
2021,1,5,8,30,0,0,0
2021,1,5,9,30,0,0,0
2021,1,5,10,30,0,0,0
2021,1,5,11,30,0,0,0
2021,1,5,12,30,14,148,17
2021,1,5,13,30,48,650,187
2021,1,5,14,30,66,822,382
2021,1,5,15,30,77,898,542
2021,1,5,16,30,85,930,647
2021,1,5,17,30,89,936,685
2021,1,5,18,30,87,926,656
2021,1,5,19,30,137,656,490
2021,1,5,20,30,107,557,336
2021,1,5,21,30,54,676,221
2021,1,5,22,30,24,263,38
2021,1,5,23,30,0,0,0
2021,1,6,0,30,0,0,0
2021,1,6,1,30,0,0,0
2021,1,6,2,30,0,0,0
2021,1,6,3,30,0,0,0
2021,1,6,4,30,0,0,0
2021,1,6,5,30,0,0,0
2021,1,6,6,30,0,0,0
2021,1,6,7,30,0,0,0
2021,1,6,8,30,0,0,0
2021,1,6,9,30,0,0,0
2021,1,6,10,30,0,0,0
2021,1,6,11,30,0,0,0
2021,1,6,12,30,15,170,18
2021,1,6,13,30,46,693,194
2021,1,6,14,30,62,865,395
2021,1,6,15,30,70,942,559
2021,1,6,16,30,75,980,668
2021,1,6,17,30,78,984,706
2021,1,6,18,30,78,972,677
2021,1,6,19,30,76,936,581
2021,1,6,20,30,77,803,410
2021,1,6,21,30,76,398,175
2021,1,6,22,30,23,93,28
2021,1,6,23,30,0,0,0
2021,1,7,0,30,0,0,0
2021,1,7,1,30,0,0,0
2021,1,7,2,30,0,0,0
2021,1,7,3,30,0,0,0
2021,1,7,4,30,0,0,0
2021,1,7,5,30,0,0,0
2021,1,7,6,30,0,0,0
2021,1,7,7,30,0,0,0
2021,1,7,8,30,0,0,0
2021,1,7,9,30,0,0,0
2021,1,7,10,30,0,0,0
2021,1,7,11,30,0,0,0
2021,1,7,12,30,9,0,9
2021,1,7,13,30,77,36,85
2021,1,7,14,30,159,195,234
2021,1,7,15,30,196,307,355
2021,1,7,16,30,217,484,510
2021,1,7,17,30,98,897,672
2021,1,7,18,30,273,315,468
2021,1,7,19,30,243,184,343
2021,1,7,20,30,168,73,198
2021,1,7,21,30,84,7,86
2021,1,7,22,30,18,2,18
2021,1,7,23,30,0,0,0
2021,1,8,0,30,0,0,0
2021,1,8,1,30,0,0,0
2021,1,8,2,30,0,0,0
2021,1,8,3,30,0,0,0
2021,1,8,4,30,0,0,0
2021,1,8,5,30,0,0,0
2021,1,8,6,30,0,0,0
2021,1,8,7,30,0,0,0
2021,1,8,8,30,0,0,0
2021,1,8,9,30,0,0,0
2021,1,8,10,30,0,0,0
2021,1,8,11,30,0,0,0
2021,1,8,12,30,12,37,13
2021,1,8,13,30,75,339,147
2021,1,8,14,30,130,269,234
2021,1,8,15,30,205,275,348
2021,1,8,16,30,229,74,274
2021,1,8,17,30,298,214,435
2021,1,8,18,30,275,217,410
2021,1,8,19,30,243,204,354
2021,1,8,20,30,123,533,347
2021,1,8,21,30,75,484,198
2021,1,8,22,30,26,136,34
2021,1,8,23,30,0,0,0
2021,1,9,0,30,0,0,0
2021,1,9,1,30,0,0,0
2021,1,9,2,30,0,0,0
2021,1,9,3,30,0,0,0
2021,1,9,4,30,0,0,0
2021,1,9,5,30,0,0,0
2021,1,9,6,30,0,0,0
2021,1,9,7,30,0,0,0
2021,1,9,8,30,0,0,0
2021,1,9,9,30,0,0,0
2021,1,9,10,30,0,0,0
2021,1,9,11,30,0,0,0
2021,1,9,12,30,14,67,15
2021,1,9,13,30,67,434,160
2021,1,9,14,30,139,344,272
2021,1,9,15,30,187,389,390
2021,1,9,16,30,281,143,368
2021,1,9,17,30,297,198,424
2021,1,9,18,30,282,123,359
2021,1,9,19,30,196,431,432
2021,1,9,20,30,130,496,340
2021,1,9,21,30,72,366,166
2021,1,9,22,30,28,244,44
2021,1,9,23,30,0,0,0
2021,1,10,0,30,0,0,0
2021,1,10,1,30,0,0,0
2021,1,10,2,30,0,0,0
2021,1,10,3,30,0,0,0
2021,1,10,4,30,0,0,0
2021,1,10,5,30,0,0,0
2021,1,10,6,30,0,0,0
2021,1,10,7,30,0,0,0
2021,1,10,8,30,0,0,0
2021,1,10,9,30,0,0,0
2021,1,10,10,30,0,0,0
2021,1,10,11,30,0,0,0
2021,1,10,12,30,9,7,9
2021,1,10,13,30,59,568,180
2021,1,10,14,30,80,781,382
2021,1,10,15,30,100,832,535
2021,1,10,16,30,145,747,601
2021,1,10,17,30,165,719,629
2021,1,10,18,30,246,430,515
2021,1,10,19,30,144,678,517
2021,1,10,20,30,132,516,351
2021,1,10,21,30,72,556,217
2021,1,10,22,30,26,33,28
2021,1,10,23,30,0,0,0
2021,1,11,0,30,0,0,0
2021,1,11,1,30,0,0,0
2021,1,11,2,30,0,0,0
2021,1,11,3,30,0,0,0
2021,1,11,4,30,0,0,0
2021,1,11,5,30,0,0,0
2021,1,11,6,30,0,0,0
2021,1,11,7,30,0,0,0
2021,1,11,8,30,0,0,0
2021,1,11,9,30,0,0,0
2021,1,11,10,30,0,0,0
2021,1,11,11,30,0,0,0
2021,1,11,12,30,12,82,14
