Year,Month,Day,Hour,Minute,DHI,DNI
2020,1,1,0,30,0,0
2020,1,1,1,30,0,0
2020,1,1,2,30,0,0
2020,1,1,3,30,0,0
2020,1,1,4,30,0,0
2020,1,1,5,30,0,0
2020,1,1,6,30,0,0
2020,1,1,7,30,0,0
2020,1,1,8,30,0,0
2020,1,1,9,30,0,0
2020,1,1,10,30,0,0
2020,1,1,11,30,0,0
2020,1,1,12,30,7,69
2020,1,1,13,30,43,586
2020,1,1,14,30,58,778
2020,1,1,15,30,65,869
2020,1,1,16,30,67,910
2020,1,1,17,30,67,918
2020,1,1,18,30,64,905
2020,1,1,19,30,56,855
2020,1,1,20,30,44,727
2020,1,1,21,30,23,404
2020,1,1,22,30,0,0
2020,1,1,23,30,0,0
2020,1,2,0,30,0,0
2020,1,2,1,30,0,0
2020,1,2,2,30,0,0
2020,1,2,3,30,0,0
2020,1,2,4,30,0,0
2020,1,2,5,30,0,0
2020,1,2,6,30,0,0
2020,1,2,7,30,0,0
2020,1,2,8,30,0,0
2020,1,2,9,30,0,0
2020,1,2,10,30,0,0
2020,1,2,11,30,0,0
2020,1,2,12,30,3,0
2020,1,2,13,30,84,40
2020,1,2,14,30,148,126
2020,1,2,15,30,193,215
2020,1,2,16,30,208,238
2020,1,2,17,30,78,845
2020,1,2,18,30,209,242
2020,1,2,19,30,140,343
2020,1,2,20,30,73,444
2020,1,2,21,30,20,0
2020,1,2,22,30,0,0
2020,1,2,23,30,0,0
2020,1,3,0,30,0,0
2020,1,3,1,30,0,0
2020,1,3,2,30,0,0
2020,1,3,3,30,0,0
2020,1,3,4,30,0,0
2020,1,3,5,30,0,0
2020,1,3,6,30,0,0
2020,1,3,7,30,0,0
2020,1,3,8,30,0,0
2020,1,3,9,30,0,0
2020,1,3,10,30,0,0
2020,1,3,11,30,0,0
2020,1,3,12,30,1,0
2020,1,3,13,30,13,0
2020,1,3,14,30,117,14
2020,1,3,15,30,107,0
2020,1,3,16,30,193,23
2020,1,3,17,30,44,0
2020,1,3,18,30,64,0
2020,1,3,19,30,32,0
2020,1,3,20,30,36,0
2020,1,3,21,30,6,0
2020,1,3,22,30,0,0
2020,1,3,23,30,0,0
2020,1,4,0,30,0,0
2020,1,4,1,30,0,0
2020,1,4,2,30,0,0
2020,1,4,3,30,0,0
2020,1,4,4,30,0,0
2020,1,4,5,30,0,0
2020,1,4,6,30,0,0
2020,1,4,7,30,0,0
2020,1,4,8,30,0,0
2020,1,4,9,30,0,0
2020,1,4,10,30,0,0
2020,1,4,11,30,0,0
2020,1,4,12,30,1,0
2020,1,4,13,30,19,0
2020,1,4,14,30,25,0
2020,1,4,15,30,68,0
2020,1,4,16,30,105,0
2020,1,4,17,30,113,0
2020,1,4,18,30,102,0
2020,1,4,19,30,61,0
2020,1,4,20,30,50,0
2020,1,4,21,30,8,0
2020,1,4,22,30,0,0
2020,1,4,23,30,0,0
2020,1,5,0,30,0,0
2020,1,5,1,30,0,0
2020,1,5,2,30,0,0
2020,1,5,3,30,0,0
2020,1,5,4,30,0,0
2020,1,5,5,30,0,0
2020,1,5,6,30,0,0
2020,1,5,7,30,0,0
2020,1,5,8,30,0,0
2020,1,5,9,30,0,0
2020,1,5,10,30,0,0
2020,1,5,11,30,0,0
2020,1,5,12,30,7,77
2020,1,5,13,30,42,612
2020,1,5,14,30,74,693
2020,1,5,15,30,225,79
2020,1,5,16,30,190,22
2020,1,5,17,30,229,31
2020,1,5,18,30,200,149
2020,1,5,19,30,122,410
2020,1,5,20,30,51,667
2020,1,5,21,30,26,388
2020,1,5,22,30,0,0
2020,1,5,23,30,0,0
2020,1,6,0,30,0,0
2020,1,6,1,30,0,0
2020,1,6,2,30,0,0
2020,1,6,3,30,0,0
2020,1,6,4,30,0,0
2020,1,6,5,30,0,0
2020,1,6,6,30,0,0
2020,1,6,7,30,0,0
2020,1,6,8,30,0,0
2020,1,6,9,30,0,0
2020,1,6,10,30,0,0
2020,1,6,11,30,0,0
2020,1,6,12,30,3,0
2020,1,6,13,30,61,368
2020,1,6,14,30,58,778
2020,1,6,15,30,173,370
2020,1,6,16,30,167,473
2020,1,6,17,30,65,927
2020,1,6,18,30,63,906
2020,1,6,19,30,56,854
2020,1,6,20,30,45,742
2020,1,6,21,30,25,451
2020,1,6,22,30,0,0
2020,1,6,23,30,0,0
2020,1,7,0,30,0,0
2020,1,7,1,30,0,0
2020,1,7,2,30,0,0
2020,1,7,3,30,0,0
2020,1,7,4,30,0,0
2020,1,7,5,30,0,0
2020,1,7,6,30,0,0
2020,1,7,7,30,0,0
2020,1,7,8,30,0,0
2020,1,7,9,30,0,0
2020,1,7,10,30,0,0
2020,1,7,11,30,0,0
2020,1,7,12,30,7,76
2020,1,7,13,30,79,11
2020,1,7,14,30,93,543
2020,1,7,15,30,208,104
2020,1,7,16,30,79,1
2020,1,7,17,30,28,0
2020,1,7,18,30,20,0
2020,1,7,19,30,14,0
2020,1,7,20,30,30,0
2020,1,7,21,30,12,0
2020,1,7,22,30,0,0
2020,1,7,23,30,0,0
2020,1,8,0,30,0,0
2020,1,8,1,30,0,0
2020,1,8,2,30,0,0
2020,1,8,3,30,0,0
2020,1,8,4,30,0,0
2020,1,8,5,30,0,0
2020,1,8,6,30,0,0
2020,1,8,7,30,0,0
2020,1,8,8,30,0,0
2020,1,8,9,30,0,0
2020,1,8,10,30,0,0
2020,1,8,11,30,0,0
2020,1,8,12,30,3,0
2020,1,8,13,30,62,291
2020,1,8,14,30,88,606
2020,1,8,15,30,162,342
2020,1,8,16,30,171,397
2020,1,8,17,30,67,931
2020,1,8,18,30,73,878
2020,1,8,19,30,58,859
2020,1,8,20,30,46,754
2020,1,8,21,30,26,485
2020,1,8,22,30,0,0
2020,1,8,23,30,0,0
2020,1,9,0,30,0,0
2020,1,9,1,30,0,0
2020,1,9,2,30,0,0
2020,1,9,3,30,0,0
2020,1,9,4,30,0,0
2020,1,9,5,30,0,0
2020,1,9,6,30,0,0
2020,1,9,7,30,0,0
2020,1,9,8,30,0,0
2020,1,9,9,30,0,0
2020,1,9,10,30,0,0
2020,1,9,11,30,0,0
2020,1,9,12,30,9,94
2020,1,9,13,30,68,314
2020,1,9,14,30,112,478
2020,1,9,15,30,79,816
2020,1,9,16,30,86,852
2020,1,9,17,30,200,407
2020,1,9,18,30,159,524
2020,1,9,19,30,113,563
2020,1,9,20,30,77,541
2020,1,9,21,30,35,246
2020,1,9,22,30,0,0
2020,1,9,23,30,0,0
2020,1,10,0,30,0,0
2020,1,10,1,30,0,0
2020,1,10,2,30,0,0
2020,1,10,3,30,0,0
2020,1,10,4,30,0,0
2020,1,10,5,30,0,0
2020,1,10,6,30,0,0
2020,1,10,7,30,0,0
2020,1,10,8,30,0,0
2020,1,10,9,30,0,0
2020,1,10,10,30,0,0
2020,1,10,11,30,0,0
2020,1,10,12,30,4,0
2020,1,10,13,30,69,6
2020,1,10,14,30,75,4
2020,1,10,15,30,177,37
2020,1,10,16,30,165,16
2020,1,10,17,30,208,36
2020,1,10,18,30,205,54
2020,1,10,19,30,178,92
2020,1,10,20,30,50,1
2020,1,10,21,30,19,0
2020,1,10,22,30,0,0
2020,1,10,23,30,0,0
2020,1,11,0,30,0,0
2020,1,11,1,30,0,0
2020,1,11,2,30,0,0
2020,1,11,3,30,0,0
2020,1,11,4,30,0,0
2020,1,11,5,30,0,0
2020,1,11,6,30,0,0
2020,1,11,7,30,0,0
2020,1,11,8,30,0,0
2020,1,11,9,30,0,0
2020,1,11,10,30,0,0
2020,1,11,11,30,0,0
2020,1,11,12,30,1,0
2020,1,11,13,30,26,0
2020,1,11,14,30,126,29
2020,1,11,15,30,176,47
2020,1,11,16,30,197,63
2020,1,11,17,30,109,6
2020,1,11,18,30,63,1
2020,1,11,19,30,151,36
2020,1,11,20,30,118,170
2020,1,11,21,30,33,128
2020,1,11,22,30,0,0
2020,1,11,23,30,0,0
2020,1,12,0,30,0,0
2020,1,12,1,30,0,0
2020,1,12,2,30,0,0
2020,1,12,3,30,0,0
2020,1,12,4,30,0,0
2020,1,12,5,30,0,0
2020,1,12,6,30,0,0
2020,1,12,7,30,0,0
2020,1,12,8,30,0,0
2020,1,12,9,30,0,0
2020,1,12,10,30,0,0
2020,1,12,11,30,0,0
2020,1,12,12,30,5,0
