Year,Month,Day,Hour,Minute,DHI,DNI
2013,1,1,0,30,0,0
2013,1,1,1,30,0,0
2013,1,1,2,30,0,0
2013,1,1,3,30,0,0
2013,1,1,4,30,0,0
2013,1,1,5,30,0,0
2013,1,1,6,30,0,0
2013,1,1,7,30,0,0
2013,1,1,8,30,0,0
2013,1,1,9,30,0,0
2013,1,1,10,30,0,0
2013,1,1,11,30,0,0
2013,1,1,12,30,0,0
2013,1,1,13,30,17,0
2013,1,1,14,30,14,0
2013,1,1,15,30,76,0
2013,1,1,16,30,103,0
2013,1,1,17,30,191,41
2013,1,1,18,30,88,0
2013,1,1,19,30,96,0
2013,1,1,20,30,65,0
2013,1,1,21,30,53,71
2013,1,1,22,30,0,0
2013,1,1,23,30,0,0
2013,1,2,0,30,0,0
2013,1,2,1,30,0,0
2013,1,2,2,30,0,0
2013,1,2,3,30,0,0
2013,1,2,4,30,0,0
2013,1,2,5,30,0,0
2013,1,2,6,30,0,0
2013,1,2,7,30,0,0
2013,1,2,8,30,0,0
2013,1,2,9,30,0,0
2013,1,2,10,30,0,0
2013,1,2,11,30,0,0
2013,1,2,12,30,0,0
2013,1,2,13,30,28,197
2013,1,2,14,30,28,0
2013,1,2,15,30,67,876
2013,1,2,16,30,74,932
2013,1,2,17,30,107,677
2013,1,2,18,30,75,945
2013,1,2,19,30,70,895
2013,1,2,20,30,58,811
2013,1,2,21,30,38,621
2013,1,2,22,30,0,0
2013,1,2,23,30,0,0
2013,1,3,0,30,0,0
2013,1,3,1,30,0,0
2013,1,3,2,30,0,0
2013,1,3,3,30,0,0
2013,1,3,4,30,0,0
2013,1,3,5,30,0,0
2013,1,3,6,30,0,0
2013,1,3,7,30,0,0
2013,1,3,8,30,0,0
2013,1,3,9,30,0,0
2013,1,3,10,30,0,0
2013,1,3,11,30,0,0
2013,1,3,12,30,0,0
2013,1,3,13,30,27,442
2013,1,3,14,30,54,737
2013,1,3,15,30,68,861
2013,1,3,16,30,76,906
2013,1,3,17,30,81,923
2013,1,3,18,30,82,908
2013,1,3,19,30,78,862
2013,1,3,20,30,67,765
2013,1,3,21,30,46,547
2013,1,3,22,30,0,0
2013,1,3,23,30,0,0
2013,1,4,0,30,0,0
2013,1,4,1,30,0,0
2013,1,4,2,30,0,0
2013,1,4,3,30,0,0
2013,1,4,4,30,0,0
2013,1,4,5,30,0,0
2013,1,4,6,30,0,0
2013,1,4,7,30,0,0
2013,1,4,8,30,0,0
2013,1,4,9,30,0,0
2013,1,4,10,30,0,0
2013,1,4,11,30,0,0
2013,1,4,12,30,0,0
2013,1,4,13,30,27,453
2013,1,4,14,30,53,742
2013,1,4,15,30,69,857
2013,1,4,16,30,79,909
2013,1,4,17,30,85,922
2013,1,4,18,30,84,912
2013,1,4,19,30,79,868
2013,1,4,20,30,67,778
2013,1,4,21,30,44,583
2013,1,4,22,30,0,0
2013,1,4,23,30,0,0
2013,1,5,0,30,0,0
2013,1,5,1,30,0,0
2013,1,5,2,30,0,0
2013,1,5,3,30,0,0
2013,1,5,4,30,0,0
2013,1,5,5,30,0,0
2013,1,5,6,30,0,0
2013,1,5,7,30,0,0
2013,1,5,8,30,0,0
2013,1,5,9,30,0,0
2013,1,5,10,30,0,0
2013,1,5,11,30,0,0
2013,1,5,12,30,0,0
2013,1,5,13,30,28,406
2013,1,5,14,30,55,717
2013,1,5,15,30,103,521
2013,1,5,16,30,78,890
2013,1,5,17,30,146,548
2013,1,5,18,30,173,397
2013,1,5,19,30,160,285
2013,1,5,20,30,60,779
2013,1,5,21,30,40,580
2013,1,5,22,30,0,0
2013,1,5,23,30,0,0
2013,1,6,0,30,0,0
2013,1,6,1,30,0,0
2013,1,6,2,30,0,0
2013,1,6,3,30,0,0
2013,1,6,4,30,0,0
2013,1,6,5,30,0,0
