Year,Month,Day,Hour,Minute,DHI,DNI
2013,1,1,0,30,0,0
2013,1,1,1,30,0,0
2013,1,1,2,30,0,0
2013,1,1,3,30,0,0
2013,1,1,4,30,0,0
2013,1,1,5,30,0,0
2013,1,1,6,30,0,0
2013,1,1,7,30,0,0
2013,1,1,8,30,0,0
2013,1,1,9,30,0,0
2013,1,1,10,30,0,0
2013,1,1,11,30,0,0
2013,1,1,12,30,0,0
2013,1,1,13,30,31,30
2013,1,1,14,30,8,0
2013,1,1,15,30,135,47
2013,1,1,16,30,101,0
2013,1,1,17,30,147,3
2013,1,1,18,30,177,162
2013,1,1,19,30,103,0
2013,1,1,20,30,91,122
2013,1,1,21,30,29,0
2013,1,1,22,30,0,0
2013,1,1,23,30,0,0
2013,1,2,0,30,0,0
2013,1,2,1,30,0,0
2013,1,2,2,30,0,0
2013,1,2,3,30,0,0
2013,1,2,4,30,0,0
2013,1,2,5,30,0,0
2013,1,2,6,30,0,0
2013,1,2,7,30,0,0
2013,1,2,8,30,0,0
2013,1,2,9,30,0,0
2013,1,2,10,30,0,0
2013,1,2,11,30,0,0
2013,1,2,12,30,0,0
2013,1,2,13,30,31,63
2013,1,2,14,30,82,262
2013,1,2,15,30,138,63
2013,1,2,16,30,142,3
2013,1,2,17,30,180,53
2013,1,2,18,30,97,0
2013,1,2,19,30,122,5
2013,1,2,20,30,86,19
2013,1,2,21,30,33,94
2013,1,2,22,30,0,0
2013,1,2,23,30,0,0
2013,1,3,0,30,0,0
2013,1,3,1,30,0,0
2013,1,3,2,30,0,0
2013,1,3,3,30,0,0
2013,1,3,4,30,0,0
2013,1,3,5,30,0,0
2013,1,3,6,30,0,0
2013,1,3,7,30,0,0
2013,1,3,8,30,0,0
2013,1,3,9,30,0,0
2013,1,3,10,30,0,0
2013,1,3,11,30,0,0
2013,1,3,12,30,0,0
2013,1,3,13,30,30,397
2013,1,3,14,30,87,39
2013,1,3,15,30,105,0
2013,1,3,16,30,159,28
2013,1,3,17,30,157,11
2013,1,3,18,30,163,34
2013,1,3,19,30,120,2
2013,1,3,20,30,38,0
2013,1,3,21,30,26,0
2013,1,3,22,30,0,0
2013,1,3,23,30,0,0
2013,1,4,0,30,0,0
2013,1,4,1,30,0,0
2013,1,4,2,30,0,0
2013,1,4,3,30,0,0
2013,1,4,4,30,0,0
2013,1,4,5,30,0,0
2013,1,4,6,30,0,0
2013,1,4,7,30,0,0
2013,1,4,8,30,0,0
2013,1,4,9,30,0,0
2013,1,4,10,30,0,0
2013,1,4,11,30,0,0
2013,1,4,12,30,0,0
2013,1,4,13,30,28,440
2013,1,4,14,30,50,723
2013,1,4,15,30,63,834
2013,1,4,16,30,71,880
2013,1,4,17,30,75,891
2013,1,4,18,30,79,866
2013,1,4,19,30,71,817
2013,1,4,20,30,56,712
2013,1,4,21,30,31,457
2013,1,4,22,30,0,0
2013,1,4,23,30,0,0
2013,1,5,0,30,0,0
2013,1,5,1,30,0,0
2013,1,5,2,30,0,0
2013,1,5,3,30,0,0
2013,1,5,4,30,0,0
2013,1,5,5,30,0,0
2013,1,5,6,30,0,0
2013,1,5,7,30,0,0
2013,1,5,8,30,0,0
2013,1,5,9,30,0,0
2013,1,5,10,30,0,0
2013,1,5,11,30,0,0
2013,1,5,12,30,0,0
2013,1,5,13,30,29,438
2013,1,5,14,30,49,0
2013,1,5,15,30,113,0
2013,1,5,16,30,178,114
2013,1,5,17,30,151,454
2013,1,5,18,30,146,426
2013,1,5,19,30,128,344
2013,1,5,20,30,92,38
2013,1,5,21,30,35,156
2013,1,5,22,30,0,0
2013,1,5,23,30,0,0
2013,1,6,0,30,0,0
2013,1,6,1,30,0,0
2013,1,6,2,30,0,0
2013,1,6,3,30,0,0
2013,1,6,4,30,0,0
2013,1,6,5,30,0,0
