Year,Month,Day,Hour,Minute,DHI,DNI
2017,1,1,0,30,0,0
2017,1,1,1,30,0,0
2017,1,1,2,30,0,0
2017,1,1,3,30,0,0
2017,1,1,4,30,0,0
2017,1,1,5,30,0,0
2017,1,1,6,30,0,0
2017,1,1,7,30,0,0
2017,1,1,8,30,0,0
2017,1,1,9,30,0,0
2017,1,1,10,30,0,0
2017,1,1,11,30,0,0
2017,1,1,12,30,0,0
2017,1,1,13,30,0,0
2017,1,1,14,30,0,0
2017,1,1,15,30,58,322
2017,1,1,16,30,42,896
2017,1,1,17,30,46,964
2017,1,1,18,30,49,991
2017,1,1,19,30,49,992
2017,1,1,20,30,48,967
2017,1,1,21,30,134,226
2017,1,1,22,30,76,99
2017,1,1,23,30,12,0
2017,1,2,0,30,0,0
2017,1,2,1,30,0,0
2017,1,2,2,30,0,0
2017,1,2,3,30,0,0
2017,1,2,4,30,0,0
2017,1,2,5,30,0,0
2017,1,2,6,30,0,0
2017,1,2,7,30,0,0
2017,1,2,8,30,0,0
2017,1,2,9,30,0,0
2017,1,2,10,30,0,0
2017,1,2,11,30,0,0
2017,1,2,12,30,0,0
2017,1,2,13,30,0,0
2017,1,2,14,30,0,0
2017,1,2,15,30,51,420
2017,1,2,16,30,38,918
2017,1,2,17,30,143,462
2017,1,2,18,30,141,567
2017,1,2,19,30,161,502
2017,1,2,20,30,113,610
2017,1,2,21,30,78,630
2017,1,2,22,30,75,164
2017,1,2,23,30,16,0
2017,1,3,0,30,0,0
2017,1,3,1,30,0,0
2017,1,3,2,30,0,0
2017,1,3,3,30,0,0
2017,1,3,4,30,0,0
2017,1,3,5,30,0,0
2017,1,3,6,30,0,0
2017,1,3,7,30,0,0
2017,1,3,8,30,0,0
2017,1,3,9,30,0,0
2017,1,3,10,30,0,0
2017,1,3,11,30,0,0
2017,1,3,12,30,0,0
2017,1,3,13,30,0,0
2017,1,3,14,30,0,0
2017,1,3,15,30,67,100
2017,1,3,16,30,128,203
2017,1,3,17,30,149,428
2017,1,3,18,30,108,691
2017,1,3,19,30,189,367
2017,1,3,20,30,107,639
2017,1,3,21,30,83,606
2017,1,3,22,30,42,705
2017,1,3,23,30,15,0
2017,1,4,0,30,0,0
2017,1,4,1,30,0,0
2017,1,4,2,30,0,0
2017,1,4,3,30,0,0
2017,1,4,4,30,0,0
2017,1,4,5,30,0,0
2017,1,4,6,30,0,0
2017,1,4,7,30,0,0
2017,1,4,8,30,0,0
2017,1,4,9,30,0,0
2017,1,4,10,30,0,0
2017,1,4,11,30,0,0
2017,1,4,12,30,0,0
2017,1,4,13,30,0,0
2017,1,4,14,30,0,0
2017,1,4,15,30,37,0
2017,1,4,16,30,117,23
2017,1,4,17,30,126,0
2017,1,4,18,30,99,0
2017,1,4,19,30,193,44
2017,1,4,20,30,188,121
2017,1,4,21,30,106,0
2017,1,4,22,30,57,0
2017,1,4,23,30,9,0
2017,1,5,0,30,0,0
2017,1,5,1,30,0,0
2017,1,5,2,30,0,0
2017,1,5,3,30,0,0
2017,1,5,4,30,0,0
2017,1,5,5,30,0,0
2017,1,5,6,30,0,0
2017,1,5,7,30,0,0
2017,1,5,8,30,0,0
2017,1,5,9,30,0,0
2017,1,5,10,30,0,0
2017,1,5,11,30,0,0
2017,1,5,12,30,0,0
2017,1,5,13,30,0,0
2017,1,5,14,30,0,0
2017,1,5,15,30,56,0
2017,1,5,16,30,111,8
2017,1,5,17,30,172,293
2017,1,5,18,30,199,60
2017,1,5,19,30,176,21
2017,1,5,20,30,169,35
2017,1,5,21,30,120,383
2017,1,5,22,30,75,22
2017,1,5,23,30,15,0
2017,1,6,0,30,0,0
2017,1,6,1,30,0,0
2017,1,6,2,30,0,0
2017,1,6,3,30,0,0
2017,1,6,4,30,0,0
2017,1,6,5,30,0,0
2017,1,6,6,30,0,0
2017,1,6,7,30,0,0
2017,1,6,8,30,0,0
2017,1,6,9,30,0,0
2017,1,6,10,30,0,0
2017,1,6,11,30,0,0
2017,1,6,12,30,0,0
2017,1,6,13,30,0,0
2017,1,6,14,30,0,0
2017,1,6,15,30,49,451
2017,1,6,16,30,43,959
2017,1,6,17,30,51,1021
2017,1,6,18,30,54,1048
2017,1,6,19,30,55,1050
2017,1,6,20,30,53,1005
2017,1,6,21,30,47,951
2017,1,6,22,30,36,830
2017,1,6,23,30,16,491
2017,1,7,0,30,0,0
2017,1,7,1,30,0,0
2017,1,7,2,30,0,0
2017,1,7,3,30,0,0
2017,1,7,4,30,0,0
2017,1,7,5,30,0,0
2017,1,7,6,30,0,0
2017,1,7,7,30,0,0
2017,1,7,8,30,0,0
2017,1,7,9,30,0,0
2017,1,7,10,30,0,0
2017,1,7,11,30,0,0
2017,1,7,12,30,0,0
2017,1,7,13,30,0,0
2017,1,7,14,30,4,0
2017,1,7,15,30,54,390
2017,1,7,16,30,47,929
2017,1,7,17,30,165,347
2017,1,7,18,30,189,372
2017,1,7,19,30,60,1007
2017,1,7,20,30,56,987
2017,1,7,21,30,78,648
2017,1,7,22,30,40,779
2017,1,7,23,30,19,179
2017,1,8,0,30,0,0
2017,1,8,1,30,0,0
2017,1,8,2,30,0,0
2017,1,8,3,30,0,0
2017,1,8,4,30,0,0
2017,1,8,5,30,0,0
2017,1,8,6,30,0,0
2017,1,8,7,30,0,0
2017,1,8,8,30,0,0
2017,1,8,9,30,0,0
2017,1,8,10,30,0,0
2017,1,8,11,30,0,0
2017,1,8,12,30,0,0
2017,1,8,13,30,0,0
2017,1,8,14,30,5,0
2017,1,8,15,30,68,109
2017,1,8,16,30,113,368
2017,1,8,17,30,182,214
2017,1,8,18,30,140,581
2017,1,8,19,30,147,566
2017,1,8,20,30,56,936
2017,1,8,21,30,129,347
2017,1,8,22,30,70,359
2017,1,8,23,30,20,153
2017,1,9,0,30,0,0
2017,1,9,1,30,0,0
2017,1,9,2,30,0,0
2017,1,9,3,30,0,0
2017,1,9,4,30,0,0
2017,1,9,5,30,0,0
2017,1,9,6,30,0,0
2017,1,9,7,30,0,0
2017,1,9,8,30,0,0
2017,1,9,9,30,0,0
2017,1,9,10,30,0,0
2017,1,9,11,30,0,0
2017,1,9,12,30,0,0
2017,1,9,13,30,0,0
2017,1,9,14,30,6,0
2017,1,9,15,30,59,324
2017,1,9,16,30,133,99
2017,1,9,17,30,181,244
2017,1,9,18,30,192,371
2017,1,9,19,30,164,513
