Year,Month,Day,Hour,Minute,DHI,DNI
2004,1,1,0,30,0,0
2004,1,1,1,30,0,0
2004,1,1,2,30,0,0
2004,1,1,3,30,0,0
2004,1,1,4,30,0,0
2004,1,1,5,30,0,0
2004,1,1,6,30,0,0
2004,1,1,7,30,0,0
2004,1,1,8,30,0,0
2004,1,1,9,30,0,0
2004,1,1,10,30,0,0
2004,1,1,11,30,0,0
2004,1,1,12,30,0,0
2004,1,1,13,30,0,0
2004,1,1,14,30,32,0
2004,1,1,15,30,96,0
2004,1,1,16,30,124,0
2004,1,1,17,30,172,22
2004,1,1,18,30,152,1
2004,1,1,19,30,189,84
2004,1,1,20,30,131,362
2004,1,1,21,30,87,268
2004,1,1,22,30,27,0
2004,1,1,23,30,0,0
2004,1,2,0,30,0,0
2004,1,2,1,30,0,0
2004,1,2,2,30,0,0
2004,1,2,3,30,0,0
2004,1,2,4,30,0,0
2004,1,2,5,30,0,0
2004,1,2,6,30,0,0
2004,1,2,7,30,0,0
2004,1,2,8,30,0,0
2004,1,2,9,30,0,0
2004,1,2,10,30,0,0
2004,1,2,11,30,0,0
2004,1,2,12,30,0,0
2004,1,2,13,30,0,0
2004,1,2,14,30,33,0
2004,1,2,15,30,104,261
2004,1,2,16,30,162,208
2004,1,2,17,30,160,446
2004,1,2,18,30,124,622
2004,1,2,19,30,190,215
2004,1,2,20,30,131,368
2004,1,2,21,30,96,140
2004,1,2,22,30,33,80
2004,1,2,23,30,0,0
2004,1,3,0,30,0,0
2004,1,3,1,30,0,0
2004,1,3,2,30,0,0
2004,1,3,3,30,0,0
2004,1,3,4,30,0,0
2004,1,3,5,30,0,0
2004,1,3,6,30,0,0
2004,1,3,7,30,0,0
2004,1,3,8,30,0,0
2004,1,3,9,30,0,0
2004,1,3,10,30,0,0
2004,1,3,11,30,0,0
2004,1,3,12,30,0,0
2004,1,3,13,30,0,0
2004,1,3,14,30,17,0
2004,1,3,15,30,32,0
2004,1,3,16,30,29,0
2004,1,3,17,30,120,0
2004,1,3,18,30,206,83
2004,1,3,19,30,154,7
2004,1,3,20,30,91,0
2004,1,3,21,30,93,31
2004,1,3,22,30,34,66
2004,1,3,23,30,0,0
2004,1,4,0,30,0,0
2004,1,4,1,30,0,0
2004,1,4,2,30,0,0
2004,1,4,3,30,0,0
2004,1,4,4,30,0,0
2004,1,4,5,30,0,0
2004,1,4,6,30,0,0
2004,1,4,7,30,0,0
2004,1,4,8,30,0,0
2004,1,4,9,30,0,0
2004,1,4,10,30,0,0
2004,1,4,11,30,0,0
2004,1,4,12,30,0,0
2004,1,4,13,30,0,0
2004,1,4,14,30,24,0
2004,1,4,15,30,15,0
2004,1,4,16,30,149,516
2004,1,4,17,30,21,0
2004,1,4,18,30,52,0
2004,1,4,19,30,51,0
2004,1,4,20,30,47,0
2004,1,4,21,30,48,0
2004,1,4,22,30,16,0
2004,1,4,23,30,0,0
2004,1,5,0,30,0,0
2004,1,5,1,30,0,0
2004,1,5,2,30,0,0
2004,1,5,3,30,0,0
2004,1,5,4,30,0,0
2004,1,5,5,30,0,0
2004,1,5,6,30,0,0
2004,1,5,7,30,0,0
2004,1,5,8,30,0,0
2004,1,5,9,30,0,0
2004,1,5,10,30,0,0
2004,1,5,11,30,0,0
2004,1,5,12,30,0,0
2004,1,5,13,30,0,0
2004,1,5,14,30,26,0
2004,1,5,15,30,98,0
2004,1,5,16,30,163,78
2004,1,5,17,30,169,404
2004,1,5,18,30,72,940
2004,1,5,19,30,71,921
2004,1,5,20,30,67,852
2004,1,5,21,30,52,752
2004,1,5,22,30,31,486
2004,1,5,23,30,0,0
2004,1,6,0,30,0,0
2004,1,6,1,30,0,0
2004,1,6,2,30,0,0
2004,1,6,3,30,0,0
2004,1,6,4,30,0,0
2004,1,6,5,30,0,0
2004,1,6,6,30,0,0
2004,1,6,7,30,0,0
2004,1,6,8,30,0,0
2004,1,6,9,30,0,0
2004,1,6,10,30,0,0
2004,1,6,11,30,0,0
2004,1,6,12,30,0,0
2004,1,6,13,30,0,0
2004,1,6,14,30,47,207
2004,1,6,15,30,109,206
2004,1,6,16,30,94,625
2004,1,6,17,30,58,1001
2004,1,6,18,30,63,1002
2004,1,6,19,30,59,992
2004,1,6,20,30,53,948
2004,1,6,21,30,42,858
2004,1,6,22,30,25,627
2004,1,6,23,30,0,0
2004,1,7,0,30,0,0
2004,1,7,1,30,0,0
2004,1,7,2,30,0,0
2004,1,7,3,30,0,0
2004,1,7,4,30,0,0
2004,1,7,5,30,0,0
2004,1,7,6,30,0,0
2004,1,7,7,30,0,0
2004,1,7,8,30,0,0
2004,1,7,9,30,0,0
2004,1,7,10,30,0,0
2004,1,7,11,30,0,0
2004,1,7,12,30,0,0
2004,1,7,13,30,0,0
2004,1,7,14,30,32,0
2004,1,7,15,30,59,0
2004,1,7,16,30,167,132
2004,1,7,17,30,198,79
2004,1,7,18,30,180,19
2004,1,7,19,30,176,29
2004,1,7,20,30,121,0
2004,1,7,21,30,101,76
2004,1,7,22,30,37,192
2004,1,7,23,30,0,0
2004,1,8,0,30,0,0
2004,1,8,1,30,0,0
2004,1,8,2,30,0,0
2004,1,8,3,30,0,0
2004,1,8,4,30,0,0
2004,1,8,5,30,0,0
2004,1,8,6,30,0,0
2004,1,8,7,30,0,0
2004,1,8,8,30,0,0
2004,1,8,9,30,0,0
2004,1,8,10,30,0,0
2004,1,8,11,30,0,0
2004,1,8,12,30,0,0
2004,1,8,13,30,0,0
2004,1,8,14,30,49,49
2004,1,8,15,30,111,190
2004,1,8,16,30,167,177
2004,1,8,17,30,189,45
2004,1,8,18,30,212,219
2004,1,8,19,30,189,275
2004,1,8,20,30,110,0
2004,1,8,21,30,99,210
2004,1,8,22,30,33,443
2004,1,8,23,30,0,0
2004,1,9,0,30,0,0
2004,1,9,1,30,0,0
2004,1,9,2,30,0,0
2004,1,9,3,30,0,0
2004,1,9,4,30,0,0
2004,1,9,5,30,0,0
2004,1,9,6,30,0,0
2004,1,9,7,30,0,0
2004,1,9,8,30,0,0
2004,1,9,9,30,0,0
2004,1,9,10,30,0,0
2004,1,9,11,30,0,0
2004,1,9,12,30,0,0
2004,1,9,13,30,0,0
2004,1,9,14,30,46,422
2004,1,9,15,30,33,0
2004,1,9,16,30,130,0
2004,1,9,17,30,190,45
2004,1,9,18,30,162,497
2004,1,9,19,30,190,55
2004,1,9,20,30,136,8
2004,1,9,21,30,58,0
2004,1,9,22,30,23,0
2004,1,9,23,30,0,0
2004,1,10,0,30,0,0
2004,1,10,1,30,0,0
2004,1,10,2,30,0,0
2004,1,10,3,30,0,0
2004,1,10,4,30,0,0
2004,1,10,5,30,0,0
2004,1,10,6,30,0,0
2004,1,10,7,30,0,0
2004,1,10,8,30,0,0
2004,1,10,9,30,0,0
2004,1,10,10,30,0,0
2004,1,10,11,30,0,0
2004,1,10,12,30,0,0
2004,1,10,13,30,0,0
2004,1,10,14,30,39,511
2004,1,10,15,30,63,715
2004,1,10,16,30,74,820
2004,1,10,17,30,80,868
2004,1,10,18,30,90,855
2004,1,10,19,30,84,846
2004,1,10,20,30,75,796
2004,1,10,21,30,60,694
2004,1,10,22,30,35,452
2004,1,10,23,30,0,0
2004,1,11,0,30,0,0
2004,1,11,1,30,0,0
2004,1,11,2,30,0,0
2004,1,11,3,30,0,0
2004,1,11,4,30,0,0
2004,1,11,5,30,0,0
2004,1,11,6,30,0,0
2004,1,11,7,30,0,0
2004,1,11,8,30,0,0
2004,1,11,9,30,0,0
2004,1,11,10,30,0,0
2004,1,11,11,30,0,0
2004,1,11,12,30,0,0
2004,1,11,13,30,0,0
2004,1,11,14,30,35,561
2004,1,11,15,30,51,776
2004,1,11,16,30,58,874
