Metro,Total,"Owner occupied","Renter occupied"
"Baltimore-Columbia-Towson, MD",2775565,1979220,796345
"Birmingham-Hoover, AL",1151848,862945,288903
"Cincinnati, OH-KY-IN",2225379,1612606,612773
"Cleveland-Elyria, OH",2113133,1526991,586142
"Denver-Aurora-Lakewood, CO",2971555,2022152,949403
"Kansas City, MO-KS",2190262,1568502,621760
"Las Vegas-Henderson-Paradise, NV",2317451,1388346,929105
"Memphis, TN-MS-AR",1315131,821085,494046
"Milwaukee-Waukesha-West Allis, WI",1535549,1031511,504038
"Minneapolis-St. Paul-Bloomington, MN-WI",3641421,2773848,867573
"New Orleans-Metairie, LA",942684,623781,318903
"Oklahoma City, OK",1444595,962493,482102
"Pittsburgh, PA",2358165,1788594,569571
"Portland-Vancouver-Hillsboro, OR-WA",2465347,1663810,801537
"Raleigh, NC",1485208,1049487,435721
"Richmond, VA",1311382,923333,388049
"Rochester, NY",1010275,721267,289008
"San Antonio-New Braunfels, TX",2656379,1819078,837301
"San Jose-Sunnyvale-Santa Clara, CA",1904164,1086327,817837
"Tampa-St. Petersburg-Clearwater, FL",3281125,2300777,980348
